itemNo,name,price,salePrice,brand
10195535,Bánh Lambertz Composition 500g,258000.0,141900.0,LAMBERTZ
10616444,Bánh Lambertz Composition 1kg,411000.0,226400.0,LAMBERTZ
10305451,Lambertz Luxury hộp thiếc hộp 420g,294400.0,178800.0,LAMBERTZ
10056641,Kẹo mềm hương trái cây Sugus hộp 120g,34300.0,21000.0,SUGUS
10196313,Bánh Choco Kaya Singapore 216g,33000.0,21000.0,PHẠM NGUYÊN
10325507,Bánh yến mạch Richy hộp thiếc 368g,149000.0,103800.0,RICHY
10194008,Kẹo Mentos nhai hương trái cây 1kg,99700.0,70000.0,MENTOS
10013857,Bánh gạo vị ngọt Richy gói 315g,41600.0,31300.0,RICHY
10236533,Bánh gạo mật ong Richy gói 108g,22000.0,16600.0,RICHY
10015622,Snack khoai tây Lay's vị khoai tây tự nhiên Classic 95g,22000.0,16700.0,LAY'S
10313111,Snack Lay's vị tảo biển Nori 95g,22000.0,16700.0,LAY'S
10640388,Kẹo dẻo Playmore hình bánh cup cake gói 48g,21600.0,16400.0,PLAYMORE
10015616,Snack khoai tây Lay's vị khoai tây tự nhiên Classic 56g,10900.0,8300.0,LAY'S
10015618,Snack Lay's vị tảo biển Nori gói 52g,10900.0,8300.0,LAY'S
10015923,Snach khoai tây Lay's tôm hùm cay lon 105 g,35400.0,27000.0,LAY'S
10015924,Snack khoai tây Lay's Stax vị tự nhiên lon 110g,35400.0,27000.0,LAY'S
10013863,Bánh Mochi đậu đỏ Royal Family 120g,49400.0,37700.0,ROYAL FAMILY
10195191, Kẹo dẻo Happy Grapes Haribo gói 80g ,25000.0,19700.0,HARIBO
10014414,Kẹo dẻo Haribo Fruity Basket 80g,25000.0,19800.0,HARIBO
10195893, Bánh Kenju kem dẻo Richy túi 186g,45400.0,36000.0,RICHY
10013957,Bánh kem xốp phômai Richeese Nabati cheese wafer  hộp 160g,40800.0,32400.0,RICHESESE
10195450,Kẹo dẻo Haribo Happy Worm Sour gói 80g,25400.0,20300.0,HARIBO
10625390,Snack bắp vị sữa bắp Koimucho gói 64g,9900.0,8000.0,KOIMUCHO
10195960,Snack Ponnie khô gà lá chanh 50g,23900.0,19500.0,PONNIE
10195964,Snack Ponnie khô gà bơ tỏi túi 50g,23900.0,19500.0,PONNIE
10623373,Kẹo gum Doraemon Lotte Hương cam 3.2g/3g,31800.0,26000.0,LOTTE
10324065,Bánh quy bơ LU Pháp 505g/540g ,200000.0,166100.0,LU
10635417,Socola đen Ritter Sport 74% 100g,61200.0,51000.0,RITTER SPORT
10195495,Bánh quy bơ Marika vị tự nhiên hộp 252g,112600.0,93900.0,MARIKA
10013502,Bánh cao cấp Custas Orion hộp 460g,107000.0,89300.0,CUSTAS
10011147,Snack mực tẩm gia vị cay ngọt Bento gói 24g,27500.0,23000.0,BENTO
10011145,Mực tẩm gia vị Thái Bento gói 24g,28100.0,23600.0,BENTO
10014565, Socola sữa Hershey Kisses 36g,28800.0,24200.0,HERSHEY'S
10625389,Snack khoai tây Karamucho lát dày cay đặc biệt 44g,11300.0,9500.0,KARAMUCHO
10191663,Snack Khoai tây Karamucho rong biển 44g,11600.0,9800.0,KARAMUCHO
10196010,Snack Khoai tây Gokochi vị muối tự nhiên gói 65g,19400.0,16400.0,KARAMUCHO
10628640,Snack bắp vị bơ tỏi Koimucho 64g,9900.0,8400.0,KOIMUCHO
10013618,Bánh cracker dinh dưỡng AFC vị lúa mì hộp 200g,30500.0,26000.0,AFC
10013962,Bánh kem xốp phômai Richeese Nabati cheese wafer 320g (16gr x20) ,51000.0,43500.0,NABATI
10196293,Bánh quy bơ tự nhiên Marika 126g,37700.0,32300.0,MARIKA
10192262,Kẹo the Playmore  vị nho hũ 22g ,33400.0,28700.0,PLAYMORE
10196355,Kẹo Socola Choco Rock bi trái tim 250g,86600.0,74700.0,CHOCO ROCK
10194747,Bánh quy bơ hạt điều Cosy gói 168g,25700.0,22200.0,COSY
10016104,Hạt điều rang muối Tuấn Đạt hộp 300g,162000.0,141900.0,TUẤN ĐẠT
10013619,Bánh cracker dinh dưỡng AFC vị rau hộp 200g,30100.0,26400.0,AFC
10015748,Đậu phộng da cá Tân Tân gói 285g,45400.0,39900.0,TÂN TÂN
10060890,Socola  Ritter Sport sữa hạnh nhân 100g,61200.0,53800.0,RITTER SPORT
10060898,Socola đen Ritter Sport hạt dẻ 100g,61200.0,53800.0,RITTER SPORT
10060901,Socola sữa hạt dẻ Ritter Sport 100g,61200.0,53800.0,RITTER SPORT
10192430,Xoài sấy dẻo Tuấn Đạt gói 200g ,77000.0,67700.0,TUẤN ĐẠT
10195353,Kẹo dẻo Playmore mì jajang 60g,38400.0,33800.0,PLAYMORE
10014498,Kẹo dẻo burger Yubi gói 96g/90g,31900.0,28100.0,YUBI
10195352,Kẹo dẻo PLAYMORE hình trứng chiên gói 48g,29500.0,26000.0,PLAYMORE
10193761,Kẹo búp bê Relkon Hello Kitty,33800.0,29800.0,RELKON
10193763,Kẹo búp bê Relkon Justice League,33800.0,29800.0,RELKON
10015269,Bánh ống vani pirouette Choco Rock 250g,161600.0,142500.0,CHOCO ROCK
10194010,Kẹo Alpenliebe Sữa Caramen 34 viên,32300.0,28500.0,ALPENLIEBE
10015268,Kẹo socola Chocorock đá trái tim 250g,102300.0,90500.0,CHOCO ROCK
10193759,Kẹo trái tim đồ chơi Shimmer & shine Relkon,30400.0,26900.0,RELKON
10014779,Bánh sô cô la KitKat Nestlé gói 35g,15800.0,14000.0,KITKAT
10195938,Snack rong biển Kimmy truyền thống 25g,15800.0,14000.0,KIMMY
10195939,Snack rong biển Kimmy vị phô mai 25g,15800.0,14000.0,KIMMY
10195060,Snack Kimmy rong biển vị phô mai gói 6g ,12300.0,11000.0,KIMMY
10195061,Snack Kimmy rong biển truyền thống gói 6g ,12300.0,11000.0,KIMMY
10194651,Bánh Socola Pie Cadbury Oreo hộp 180g,34900.0,31300.0,OREO
10013503,Bánh Custas kem trứng Orion hộp 276g,61200.0,54900.0,CUSTAS
10013620,Bánh cracker vị bò bít tết AFC hộp 200g,30500.0,27500.0,AFC
10013621,Bánh cracker AFC vị tảo biển hộp 200g,30500.0,27500.0,AFC
10015712,Khoai tây vị Barbecue Slide lon 160g,46400.0,41900.0,SLIDE
10015713,Bánh lát khoai tây vị phô mai Slide hộp 160g,46400.0,41900.0,SLIDE
10013560,Bánh gấu vị sô cô la Lotte Koala's March hộp 37g,16100.0,14700.0,KOALAS MARCH
10013499,Bánh Choco-Pie Orion hộp 660g,86000.0,78800.0,CHOCOPIE
10194740,Bánh que Toppo nhân kem dâu 40g,17100.0,15700.0,TOPPO
10013561,Bánh gấu nhân kem dâu Lotte Koala's March hộp 37g,17200.0,15800.0,KOALAS MARCH
10013811,Bánh que sô cô la Toppo hộp 40g,16000.0,14700.0,TOPPO
10015714,Bánh lát khoai tây vị thơm cay Slide hộp 160g,46400.0,43400.0,SLIDE
10015715,Khoai tây Slide Original hộp 160g,46400.0,43400.0,SLIDE
10015716,Snack khoai tây Slide hành lon 160g,46400.0,43400.0,SLIDE
10195470,Chocolate Ferrero Rocher Collection,317200.0,297500.0,FERRERO
10056640,Sô cô la Ferrero Rocher hộp 200g,225200.0,211500.0,FERRERO
10013472,Bánh quy bơ Danisa hộp 908g,269000.0,269000.0,DANISA
10013533,Bánh gạo OneOne vị ngọt dịu 150/162g,26500.0,26500.0,ONEONE
10013799,Bánh quy Rosy sanwich phô mai 100g,16100.0,16100.0,ROSY
10014047,Bánh Mochi nhân tổng hợp Yuki& Love  450g,140600.0,140600.0,YUKI&LOVE
10014048,Bánh Mochi hỗn hợp SanShuGong 300g,137500.0,137500.0,SAN SHU GONG
10014290,WANT WANT Bánh Gạo Hot-Kid 108g (T20),49900.0,49900.0,WANT WANT
10014771,Kẹo gừng Ginberbon  125g,20200.0,20200.0,GINGERBON
10015014,Kẹo dẻo hương trái cây Bibica Zoo Jelly gói 200g,20200.0,20200.0,BIBICA
10015255,Hạt điều vị tỏi Yến Nhung túi 200g,130100.0,130100.0,YẾN NHUNG
10015365,Kẹo Xylitol Gum Lime Mint 26.1g,16500.0,16500.0,XYLITOL
10015400,Kẹo Hạt Điều Yến Nhung 90g,45000.0,45000.0,YẾN NHUNG
10015606,Snack vị mực lăn muối ớt Poca gói 37g,5400.0,5400.0,POCA
10015615,Snack Lay's vị sườn nướng BBQ Brazil gói 52g,10900.0,10900.0,LAY'S
10015619,Bánh snack Partyz vị bò lúc lắc Texas gói 40g,5400.0,5400.0,PARTYZ
10015620,Bánh snack Partyz vị tôm hùm nướng gói 37g,5400.0,5400.0,PARTYZ
10015753,Đậu Hà Lan wasabi Tân Tân hộp 190g,50000.0,50000.0,TÂN TÂN
10015825,Snack vị bắp ngọt Partyz Poca gói 37g,5400.0,5400.0,POCA
10015903,Snack tôm Hanami gói 60g/52g,23100.0,23100.0,HANAMI
10015978,Hạt dẻ cười tự nhiên Camel gói 40g,38100.0,38100.0,CAMEL
10016038,Bánh snack rong biển mực TaoKaeNoi 24g,38200.0,38200.0,TAO KAE NOI
10056626,Kẹo Butter Toffees Arcor hộp 180g,146500.0,146500.0,ARCOR
10056688,Snack vị mực Big Bang 6g,10600.0,10600.0,TAO KAE NOI
10191598,Snack bánh mì hương tỏi An Viên HN  120g,40800.0,40800.0,AN VIÊN HỢP NHẤT
10191599,Snack bánh mì pizza  An Viên HN 120g,40800.0,40800.0,AN VIÊN HỢP NHẤT
10191602,Quẩy xoắn vị rong biển MCGoods  140g,33000.0,33000.0,AN VIÊN HỢP NHẤT
10191621,Yến Mạch Cosy Soco 80g,13500.0,13500.0,COSY SOCO
10192793,Bánh quy Zooland 70g,37200.0,37200.0,NOBRAND
10192830,Bắp rang Oishi Caramen Phô Mai 80g/75g,11000.0,11000.0,OISHI
10192831,Bánh gạo Oishi nhật vị tảo biển 100g,17100.0,17100.0,OISHI
10192986,Me thái ngọt Fito hộp 200g,35200.0,35200.0,FITO
10193296,Bánh trứng caramel Tipo 60g,14100.0,14100.0,TIPO
10193302,Bánh ngũ cốc nestle vị chuối Fitness 23.5g,14600.0,14600.0,FITNESSE
10193885,Hạnh nhân rang sấy Faminuts bịch chân không 500g,327400.0,327400.0,FAMI NUTS
10193943,Kẹo dồi lạc McGoods  120g,21100.0,21100.0,MCGOODS
10193969,Bánh quy tổng hợp 650g,294000.0,294000.0,PREMIUM
10194737,Kẹo nhẫn Pororo Magic,14100.0,14100.0,PORORO
10194738,Đậu phộng mix Tân Việt 180g,50500.0,50500.0,TÂN VIỆT
10194806,Socola M&M's Crispy 30g,20200.0,20200.0,M&M
10195159,Snack Lay's wavy cua xốt XO gói 63g,12100.0,12100.0,LAY'S
10195176,Snack Karamucho dày thịt nướng Tokyo 80g,22600.0,22600.0,KARAMUCHO
10195190,Kẹo nhai hương sữa chua Mentos 90g,28800.0,28800.0,MENTOS
10195382,Snack Lay's Tax  wavy gà cay phô mai Hàn Quốc 56g,11000.0,11000.0,LAY'S
10195390,Bánh Tipo kẹp kem phô mai 112g,14300.0,14300.0,TIPO
10195443,Kẹo nhai cầu vồng trái cây  Mentos 120g,16500.0,16500.0,MENTOS
10195456,Kẹo mềm hương trái cây tự nhiên Hi Chew 90g,31600.0,31600.0,HI-CHEW
10195457,Kẹo mềm vị chua ngọt Hi Chew 90g,31600.0,31600.0,HI-CHEW
10195468,Kẹo hồng sâm Hần Quốc cao cấp Jinny J,47000.0,47000.0,VẠN THỊNH
10195475,Hạnh nhân rang sấy Faminuts 120g,104100.0,104100.0,FAMI NUTS
10195578,Hướng dương Nga KDV 400g,219300.0,219300.0,NGUYÊN HUY
10195730,Bánh Cracker Gấc Omeli 128g,28100.0,28100.0,OMELI
10195837,Hạt hướng dương Nga Cha Cheer 300g,149100.0,149100.0,CHA CHEER
10195929,Snack Frozen & Doremon 15g,8400.0,8400.0,MCGOODS
10195937,Ganyuan Đậu tằm vị gạch cua 75g,29100.0,29100.0,VẠN THỊNH
10196257,Thạch Việt Quốc Pudding Mikku,84500.0,84500.0,DEEDO
10196409,Bánh hạt bí Tuấn Đạt 120g,62100.0,62100.0,TUẤN ĐẠT
10196422,Hạnh nhân rang Yến Nhung 150g,101300.0,101300.0,YẾN NHUNG
10196439,Rong sụn VN Foods sợi vị chanh leo 100g,56000.0,56000.0,VNFOODS
10196440,Rong sụn VN Foods sợi vị chanh leo 100g,56000.0,56000.0,VNFOODS
10225962,Bánh Kancho socola 95g,45300.0,45300.0,KANCHO
10229108,Kẹo Socola hạnh nhân Nga Ivan 400g,203900.0,203900.0,IVAN
10250346,Kẹo dẻo trái cây hỗn hợp Playmore 48g,22200.0,22200.0,PLAYMORE
10250347,Kẹo dẻo hình khủng long Playmore 48g,22200.0,22200.0,PLAYMORE
10270025,Bánh tự DIY làm khu vườn nấm 46g,40300.0,40300.0,DIY
10303015,Kẹo Hương cam Tic Tac  14.5g,11800.0,11800.0,TICTAC
10322002,Bánh que Pepero lotte hạnh nhân 32g,21900.0,21900.0,LOTTE
10322821,Bỏng ngô Poppedcorn mật ong nhỏ 110g,35200.0,35200.0,POPPEDCORN
10324075,Bỏng ngô  PoppedcornPhô Mai 110g,35200.0,35200.0,POPPEDCORN
10324077,Kẹo thảo  mộc Ricola Chanh & Bạc Hà 40g,32100.0,32100.0,RICOLA
10324080,Kẹo thảo  mộc Ricola trái cây Cranberry 40g,32100.0,32100.0,RICOLA
10602083,Socola Ferrero  Rocher 37.5g,36300.0,36300.0,FERRERO
10603115,Snack Xoắn MCGoods 140g,33000.0,33000.0,MCGOODS
10607315,Kẹo Caramel Chew Werther's  80g,33700.0,33700.0,NGUYÊN HUY
10607316,Bánh bao chỉ tổng hợp 300g,140600.0,140600.0,NGUYÊN HUY
10613667,Bánh vị chuối Pororo 54g,53000.0,53000.0,PORORO
10618981,Bánh cuộn vị trứng roll Serena 512g,492000.0,492000.0,NGUYÊN HUY
10623326,Snack Poca vị mực cay đặc biệt gói 35g,5500.0,5500.0,POCA
10626526,Kẹo dẻo hình quả chuối Vidal 100g/80g,32800.0,32800.0,VIDAL
10626527,Kẹo dẻo hàm răng Vidal 100g/80g,32800.0,32800.0,VIDAL
10635438,Kẹo Popit Socola sữa 20g,6800.0,6800.0,NOBRAND
10639589,Bắp Oishis 4 Lớp Sốt Sriracha Cay35/39g,5700.0,5700.0,OISHI
10640267,Kẹo Sing-gum không đường Số 5 Bạc Hà 32g,28300.0,28300.0,DOUBLEMINT
10014733,Kẹo sữa caramen Alpenliebe gói 120g,14200.0,14200.0,ALPENLIEBE
10406918,Kẹo dẻo Cola Chupa Chups gói 90g,23100.0,23100.0,CHUPA CHUPS
10195059,Snack mực lăn muối ớt Poca gói 75g,10600.0,10600.0,POCA
10015875,Snack khoai tây Lay's vị bò bít tết Manhattan gói 95g,21500.0,21500.0,LAY'S
10305224,Bánh Tipo Hữu Nghị trà xanh hộp 75g,22000.0,22000.0,TIPO
10013650,Bánh quế vị kem lá dứa Cosy gói 132g,15200.0,15200.0,COSY
10014528,Kẹo gum không đường hương Dâu Bạc Hà Xylitol hộp 58g,29000.0,29000.0,XYLITOL
