itemNo,name,price,salePrice,brand
10263668,Dép lê Xuyên Á H21 108 size 36,129000.0,59000.0,XUYÊN Á
10017378,Sữa tắm tinh chất sữa và gạo Johnson & Johnson 500ml,282000.0,141000.0,JOHNSON'S
10406482,Bộ 2 bàn chải đánh răng P/S lông tơ mềm mại,34600.0,28000.0,P/S
10600867,Lốc 4 hộp sữa dinh dưỡng Similac Eye-Q hương vani 180ml,76100.0,70400.0,SIMILAC
10195065,Sữa dinh dưỡng Abbott Similac HMO hương vani 110ml - Lốc 4 hộp,644200.0,644200.0,SIMILAC
10196808,Lốc 4 hộp sữa uống dinh dưỡng Vinamilk Pedia Kenji 180ml,110000.0,110000.0,VINAMILK
10622549,Sữa tắm gội toàn thân trẻ em Cetaphil,159000.0,159000.0,CETAPHIL
10326626,Bàn chải đánh răng trẻ em Colgate Ultra Soft siêu mềm Barbie/Spiderman,35100.0,35100.0,COLGATE
10005487,VNM Sữa d. dưỡng Dielac grow 180ml*4,55900.0,55900.0,DIELAC GROW
10009704,"Bột ăn dặm lúa mì, sữa Nestlé Cerelac 200g - Hàng chính hãng",56900.0,56900.0,CERELAC
10009706,Bột ăn dặm gạo lức trộn sữa Nestlé Cerelac 200g,62100.0,62100.0,CERELAC
10009708,Bột ăn dặm Nestlé Cerelac rau xanh và bí đỏ 200g,62100.0,62100.0,CERELAC
10009711,"Bột ăn dặm vị gà hầm, cà rốt Nestlé Cerelac 200g",72600.0,72600.0,CERELAC
10010510,NUTIFOOD Sữa DD Grow plus TCKM 110ml*4,39000.0,39000.0,GROWPLUS
10010512,Sữa dinh dưỡng NutiFood Grow Plus+  hộp 110ml,41500.0,41500.0,GROWPLUS
10010513,Sữa dinh dưỡng hương vani Grow Plus+ NutiFood hộp 180ml,61900.0,61900.0,GROWPLUS
10010514,Sữa bột nguyên kem Nutifood gói 400g,72300.0,72300.0,NUTIFOOD
10010516,Sữa bột Nutifood nutri nguyên kem 900g,169600.0,169600.0,NUTIFOOD
10010556,Sữa bột Abbott Grow 4 hương vani 900g,349000.0,349000.0,GROW
10010557,Sữa bột Abbott Grow 4 Abbott 1.7kg ,601200.0,601200.0,GROW
10010558,Sữa bột hương vani Abbott Grow G-Power 3 - 6 tuổi 900g,440000.0,440000.0,GROW
10010560,Sữa bột Abbott Grow Gold lon 900g( Trên 6 tuổi),427000.0,427000.0,GROW
10011169,Hộp sữa dinh dưỡng Abbott Grow  180ml,70300.0,70300.0,ABBOTT GROW
10016362,Phấn thơm em bé Johnson's Baby Johnson & Johnson 100g,30500.0,30500.0,JOHNSON'S
10016723,Dầu gội không cay mắt Johnson's Baby Shampoo 800ml,193000.0,193000.0,JOHNSON'S
10017376,Sữa tắm gội toàn thân không cay mắt Johnson's Baby 500ml,155000.0,155000.0,JOHNSON'S
10017711,Tắm gội toàn thân em bé D-nee hồng 380ml,84000.0,84000.0,D-NEE
10018341,Bàn chải đánh răng Lipzo kid S2,20000.0,20000.0,LIPZO
10018378,Bàn chải đánh răng Jordan Step 2 cho trẻ 3 - 5 tuổi (Giao màu ngẫu nhiên),37200.0,37200.0,JORDAN
10018392,Bàn chải đánh răng Aquafresh trẻ em 3-5 tuổi,46400.0,46400.0,AQUAFRESH
10018458,Kem đánh răng trẻ em P/S bé ngoan hương dâu 35g,6000.0,6000.0,P/S
10018467,Nước súc miệng P/S Expert Protection Pro Complete chai 500ml,75000.0,75000.0,P/S
10018505,Kem đánh răng Xylitol hương dâu tây Kodomo,22000.0,22000.0,KODOMO
10018506,Kem đánh răng Xylitol hương nho Kodomo 45g,22000.0,22000.0,KODOMO
10018681,Bàn chải cho bé 1 - 5 tuổi Lipzo Kids 1 lông mềm (giao màu ngẫu nhiên),39000.0,39000.0,LIPZO
10018995,Sữa tắm gội trẻ em hằng ngày Milky Lactacyd 250ml,97000.0,97000.0,LACTACYD
10020223,Tã-bỉm quần Bobby M40/42,239000.0,239000.0,BOBBY
10020224,Tã-bỉm quần Bobby L36/38,259000.0,259000.0,BOBBY
10020231,Tã quần Bobby L54 54 miếng,348000.0,348000.0,BOBBY
10020232,Tã quần Bobby XL48 48 miếng,348000.0,348000.0,BOBBY
10020234,Tã quần Huggies Dry L68 ,449000.0,449000.0,HUGGIES
10020380,Tã dán Bobby Fresh siêu mỏng M46,222000.0,222000.0,BOBBY
10020381,Tã dán Bobby siêu mỏng L42,229000.0,229000.0,BOBBY
10020382,Tã dán Bobby siêu thấm khô thoáng XL38,229000.0,229000.0,BOBBY
10020385,Tã giấy người lớn Caryn XL10,141000.0,141000.0,CARYN
10020387,Miếng lót siêu thấm Bobby newborn 40 miếng,98000.0,98000.0,BOBBY
10023025,Kem đánh răng trẻ em Bee hương dâu ,38000.0,38000.0,BEE
10057097,Phấn thơm Johnson Baby mùi blossoms 100g,30500.0,30500.0,JOHNSON'S
10071648,Tã quần Bobby XXL44,348000.0,348000.0,BOBBY
10086506,Lốc 4 hộp sữa uống dinh dưỡng  Otimum Gold 110ml,42100.0,42100.0,OPTIMUM
10086673,Tã dán người lớn Caryn M20,197000.0,197000.0,CARYN
10134070,Sữa tắm trẻ em Babi Mild bioganik  chai 850ml,160000.0,160000.0,BABI MILD
10134071,Sữa tắm trẻ em toàn thân Babi Mild Pure Natural chai 400ml,85000.0,85000.0,BABI MILD
10134075,Sữa tắm trẻ em Babi Mild white sakura chai 850ml,160000.0,160000.0,BABI MILD
10134076,Sữa tắm trẻ em toàn thân Babi Mild White Sakura chai 400ml,85000.0,85000.0,BABI MILD
10134079,Kem dưỡng da Babimilk pure natural 50g,50000.0,50000.0,BABI MILD
10141618, Sữa bột Nutifood IQ Gold 3 lon 900g,270400.0,270400.0,NUTIFOOD
10161429,Tã quần Merries Good Skin size M 50 miếng,299000.0,299000.0,MERRIES
10161495,Nước súc miệng Listerine Trẻ em hương dâu 250ml,55000.0,55000.0,LISTERINE
10161761,"BOBBY Tã dán Fresh s.thấm,khô thoáng S80",333000.0,333000.0,BOBBY
10161875,Sữa tắm gội trẻ em Lactacyd BB 250ml,97000.0,97000.0,LACTACYD
10162075,Quần Pampers tiết kiệm size XL32,279000.0,279000.0,PAMPERS
10162097,Dung dịch súc rửa bình sữa Pigeon và rau củ 450ml,73000.0,73000.0,PIGEON
10162098,"Nước rửa bình sữa, rau củ quả Pigeon 500ml",102000.0,102000.0,PIGEON
10162136,Tã quần Pampers super Jumbo XL62,473500.0,473500.0,PAMPERS
10162210,Dầu gội thơm mát năng động  Johnson's Active Kids Shiny Drops chai 500ml,128000.0,128000.0,JOHNSON'S
10162323,Kem đánh răng trẻ em Lipzo vị chuối 75g,39000.0,39000.0,LIPZO
10162329,Sữa tắm chứa sữa & yến mạch Johnson chai 500ml ,141000.0,141000.0,JOHNSON'S
10170141,Sữa dinh dưỡng hương vani Pediasure 180ml,33000.0,33000.0,PEDIASURE
10170142, Sữa dinh dưỡng Pesiasure hương vani  hộp 110ml,22500.0,22500.0,PEDIASURE
10170169,Lốc 4 hộp sữa dinh dưỡng pha sẵn Vinamilk Yoko Gold 180ml,69000.0,69000.0,VINAMILK
10170170,Lốc 4 hộp sữa dinh dưỡng pha sẵn Vinamilk Yoko Gold 110mll,43700.0,43700.0,VINAMILK
10170542, Bàn chải đánh răng trẻ em Kodomo (6 tháng - 2 tuổi),38500.0,38500.0,KODOMO
10170543, Bàn chải đánh răng trẻ em Kodomo (3 tuổi - 5 tuổi),37000.0,37000.0,KODOMO
10170544, Bàn chải đánh răng trẻ em Kodomo (6 tuổi - 9 tuổi),37000.0,37000.0,KODOMO
10170842,Bàn chải đánh răng trẻ em Taiyo màu hồng 6-12 tuổi,27000.0,27000.0,TAIYO
10170880,Bàn chải đánh răng trẻ em Taiyo màu xanh 6-12 tuổi,27000.0,27000.0,TAIYO
10170943,Sản phẩm vệ sinh mũi và dụng cụ Rohto Nosewash hộp 400ml,95000.0,95000.0,ROHTO NOSEWASH
10194797,Nestle Sữa nước Socola Thụy Sĩ 180ml,31600.0,31600.0,NESTLE
10195052,Lốc 4 hộp sữa dinh dưỡng Pediasure vani 10+ 180ml,132500.0,132500.0,PEDIASURE
10195088,Lốc 4 hộp Sữa GrowPLUS+ Ít đường hộp 110ml,43700.0,43700.0,NUTIFOOD
