sku,productName,category,listedPrice,brand,__mediaUrl
10196217,Café Vinacafé 3in1 Gold Original 306g,ca-phe--c01162,51000.0,VINACAFÉ,https://ss-hn.fptvds.vn/images/2022/40bcdfb6cc14f243d8fed611251d556a.jpg
10013013,Cà phê Sáng Tạo số 3 Trung Nguyên gói 340g,ca-phe--c01162,90800.0,TRUNG NGUYÊN,https://ss-hn.fptvds.vn/images/2022/162427295030610013013-g1-cà-pho-song-tao-so-5-gui-340g-og.jpg
10012979,Cà phê hòa tan 3in1 G7 Trung Nguyên gói 20 túi,ca-phe--c01162,56100.0,G7,https://ss-hn.fptvds.vn/images/2022/ca-phe-hoa-tan-3in1-g7-trung-nguyen-goi-20-tui_61d0f11a-d611-4cf3-ad82-53a0c271634e-og.jpg
10011738,Café Mr.Brown Blue Mountain Blend lon 240ml,ca-phe--c01162,14600.0,MR.BROWN,https://ss-hn.fptvds.vn/images/2022/cafe-mr.brown blue mountain blend lon 240ml
10012783,Cà phê hòa tan đậm đà hài hòa 3 trong 1 Nescafé hộp 340g,ca-phe--c01162,58200.0,NESCAFE,https://ss-hn.fptvds.vn/images/2022/162428163656810012783-hop-nescafe-3in1-vi-cà-pho-socola-200g-og.jpg
10012784,Cà phê hòa tan rang xay đậm vị 3 trong 1 Nescafé hộp 340g,ca-phe--c01162,58200.0,NESCAFE,https://ss-hn.fptvds.vn/images/2022/8934804023687.jpg
10012787,NESCAFE Café tan Nchất Red Cup lọ 200g,ca-phe--c01162,159000.0,NESCAFE,https://ss-hn.fptvds.vn/images/2022/162428162343410012787-lo-trà-sua-nestea-milk-tea-160g-(8-gui-x-20g)-og.jpg
10012821,Cà phê hòa tan 3in1 G7 hộp 288g,ca-phe--c01162,55600.0,G7,https://ss-hn.fptvds.vn/images/2022/162428423469710012821-hop-gà-ta-huynh-de-benh-minh-og.jpg
10012822,Cà phê hòa tan 3in1 G7 hộp 336g,ca-phe--c01162,61200.0,G7,https://ss-hn.fptvds.vn/images/2022/162428423463010012822-hop-gà-ta-tha-vuon-nguyon-con-benh-minh-og.jpg
10012823,Cà phê hòa tan 3in1 G7 gói 800g,ca-phe--c01162,139000.0,G7,https://ss-hn.fptvds.vn/images/2022/162428423579210012823-g1-cà-pho-passiona-g7-trung-nguyon-hop-224g-og.jpg
