sku,productName,category,listedPrice,brand,__mediaUrl
10183518,Giò lụa  hảo hạng 300g,cha-gio--c01159,61900.0,NGỰ BẢO,https://ss-hn.fptvds.vn/images/2023/02/gio-lua-hao-hang-300g-20230228070958.jpg
10005677,Chả lụa Le Gourmet gói 200g,cha-gio--c01159,46100.0,LE GOURMET,https://ss-hn.fptvds.vn/images/2022/cha-lua-le-gourmet-goi-200g_9ca9e27a-b9a1-4671-97e1-ffe49feaf9c3-og.jpg
10005925,Nem chua Vissan cây 200g,cha-gio--c01159,42100.0,VISSAN,https://ss-hn.fptvds.vn/images/2022/nem-chua-cay-vissan-200g-20221014063119-og.jpg
10005926,Nem chua Ước Lễ Thủy Hùng cây 200g,cha-gio--c01159,49100.0,THỦY HÙNG,https://ss-hn.fptvds.vn/images/2022/sdf.jpg
10005927,Nem chua Ước Lễ Thủy Hùng gói 200g,cha-gio--c01159,54200.0,THỦY HÙNG,https://ss-hn.fptvds.vn/images/2022/9597886332958-og.jpg
10005930,Giò lụa Ước Lễ Thủy Hùng cây 500g,cha-gio--c01159,120100.0,THỦY HÙNG,https://ss-hn.fptvds.vn/images/2022/162427307445410005930-cai-giu-tai-uoc-le-thuy-hung-gui-200g-og.jpg
10005931,Giò bò Ước Lễ Thủy Hùng cây 500g,cha-gio--c01159,134100.0,THỦY HÙNG,https://ss-hn.fptvds.vn/images/2022/162427307462410005931-cai-giu-tai-thuy-hung-coy-500g-og.jpg
10005934,Giò bò Ước Lễ Thủy Hùng cây 200g,cha-gio--c01159,53100.0,THỦY HÙNG,https://ss-hn.fptvds.vn/images/2022/gio-bo-uoc-le-thuy-hung-cay-200g.jpg
10005938,Giò lụa Ước Lễ Thủy Hùng gói 200g,cha-gio--c01159,54200.0,THỦY HÙNG,https://ss-hn.fptvds.vn/images/2022/gio-lua-uoc-le-thuy-hung-goi-200g.jpg
10005939,Giò tai Ước Lễ Thủy Hùng gói 200g,cha-gio--c01159,54200.0,THỦY HÙNG,https://ss-hn.fptvds.vn/images/2022/gio-tai-uoc-le-thuy-hung-goi-200g.jpg
10005941,Giò lụa Vissan cây 250g,cha-gio--c01159,59500.0,VISSAN,https://ss-hn.fptvds.vn/images/2022/162427259338710005941-cai-giu-lua-vissan-coy-500g-og.png
10005946,Nem giòn CP gói 180g,cha-gio--c01159,32100.0,CP,https://ss-hn.fptvds.vn/images/2022/162428498664710005946-cai-cp-thit-vai-heo-og.jpg
10007064,Chả giò Cầu Tre gói 500g,cha-gio--c01159,54600.0,CẦU TRE,https://ss-hn.fptvds.vn/images/2022/cha-gio-cau-tre-goi-500g-20221007080627-og.png
10007065,Chả giò đặc biệt hải sản Thực Phẩm Cầu Tre gói 500g,cha-gio--c01159,74300.0,CẦU TRE,https://ss-hn.fptvds.vn/images/2022/cha-gio-dac-biet-hai-san-thuc-pham-cau-tre-goi-500g_cc3f8ffe-5595-40e8-a77b-448ffef35aae-og.jpg
10007066,Chả giò đặc biệt thịt Cầu Tre gói 500g,cha-gio--c01159,72300.0,CẦU TRE,https://ss-hn.fptvds.vn/images/2022/162428525413410007066-g1-ho-cao-thuc-pham-cau-tre-gui-500g-og.jpg
10007073,Chả giò rế Cầu Tre tôm cua (hải sản) 500g,cha-gio--c01159,69200.0,CẦU TRE,https://ss-hn.fptvds.vn/images/2022/162428525381710007073-g1-ho-cao-tum-cua-thuc-pham-cau-tre-gui-500g-og.jpg
10007077,Chả lụa quết thượng hạng Cầu Tre gói 500g,cha-gio--c01159,147200.0,CẦU TRE,https://ss-hn.fptvds.vn/images/2022/162428525199410007077-cai-xou-mai-thuc-pham-cau-tre-gui-500g-og.jpg
10170088,Chả giò hải sản con tôm M-ngon 400g,cha-gio--c01159,72100.0,M-NGON,https://ss-hn.fptvds.vn/images/2022/cha-gio-hai-san-con-tom-m-ngon-400g.jpg
10170089,Chả giò tôm thịt M-ngon 400g,cha-gio--c01159,54800.0,M-NGON,https://ss-hn.fptvds.vn/images/2022/cha-gio-tom-thit-m-ngon-400g.jpg
10170216,Chả giò da xốp tôm thịt Cầu Tre gói 400g,cha-gio--c01159,71200.0,CẦU TRE,https://ss-hn.fptvds.vn/images/2022/162520175530810170216-g1-cha-gio-da-xop-tom-thit--cau-tre-400g-og.jpg
10170217,Chả giò da xốp chay Cầu Tre gói 400g,cha-gio--c01159,46600.0,CẦU TRE,https://ss-hn.fptvds.vn/images/2022/cha-gio-da-xop-chay-cau-tre-goi-400g-20221007080652-og.jpg
10170332,Giò lụa NGỌC THƠM 500g,cha-gio--c01159,128100.0,THU HẰNG,https://ss-hn.fptvds.vn/images/2022/162427612449710170332-g1-ngon-rau-lang-og.jpg
10170403,Chả giò phô mai hải sản M-ngon 400g,cha-gio--c01159,75200.0,M-NGON,https://ss-hn.fptvds.vn/images/2022/cha-gio-pho-mai-hai-san-m-ngon-400g.jpg
10170404,Chả giò đặc biệt thịt M-ngon 500g,cha-gio--c01159,81200.0,M-NGON,https://ss-hn.fptvds.vn/images/2022/cha-gio-dac-biet-thit-m-ngon-500g.jpg
10170406,Chả giò rế đặc biệt thịt M-ngon 500g,cha-gio--c01159,74100.0,M-NGON,https://ss-hn.fptvds.vn/images/2022/cha-gio-re-dac-biet-thit-m-ngon-500g.jpg
10170487,Phô mai da xốp tôm mayonaise CJ Foods 300g,cha-gio--c01159,75800.0,CJ FOOD,https://ss-hn.fptvds.vn/images/2022/pho-mai-da-xop-tom-mayonaise-cj-foods-300g-20221007080934-og.jpg
10182348,Giò lụa Ngọc Thơm 250g,cha-gio--c01159,79900.0,NOBRAND,https://ss-hn.fptvds.vn/images/2022/gio-lua-ngoc-thom-250g.jpg
10182349,Giò sụn Ngọc Thơm 250g,cha-gio--c01159,82100.0,NOBRAND,https://ss-hn.fptvds.vn/images/2022/gio-sun-ngoc-thom-250g.jpg
