sku,productName,category,listedPrice,brand,__mediaUrl
10017287,Mặt nạ đất sét bùn non Vedette 12g,cham-soc-da--c0146,14000.0,VEDETTE,https://ss-hn.fptvds.vn/images/2023/03/mat-na-dat-set-bun-non-vedette-12g-20230324160207.jpg
10017343,Kem rửa mặt ngăn ngừa mụn Acnes 50g,cham-soc-da--c0146,39000.0,ACNES,https://ss-hn.fptvds.vn/images/2023/03/kem-rua-mat-ngan-ngua-mun-acnes-50g-20230324160434.jpg
10017354,Kem rửa mặt Oxy tác động sau 50g,cham-soc-da--c0146,49000.0,OXY,https://ss-hn.fptvds.vn/images/2023/03/kem-rua-mat-oxy-tac-dong-sau-50g-20230324160254.jpg
10017437,Mặt nạ giấy nha đam Purederm 23ml,cham-soc-da--c0146,22000.0,PUREDERM,https://ss-hn.fptvds.vn/images/2023/03/mat-na-giay-nha-dam-purederm-23ml-20230324160154.jpg
10017438,Mặt nạ giấy giấy ngọc trai Purederm 23ml,cham-soc-da--c0146,22000.0,PUREDERM,https://ss-hn.fptvds.vn/images/2023/03/mat-na-giay-giay-ngoc-trai-purederm-23ml-20230324160047.jpg
10017439,Mặt nạ giấy Purederm rong biển 23ml,cham-soc-da--c0146,22000.0,PUREDERM,https://ss-hn.fptvds.vn/images/2023/03/mat-na-giay-purederm-rong-bien-23ml-20230324160307.jpg
10017446,Mặt nạ giấy giấy  Purederm nhân sâm 23ml,cham-soc-da--c0146,22000.0,PUREDERM,https://ss-hn.fptvds.vn/images/2023/03/mat-na-giay-giay-purederm-nhan-sam-23ml-20230324160041.jpg
10017721,Khăn giấy tẩy trang Bioré 10Mm,cham-soc-da--c0146,27500.0,BIORE,https://ss-hn.fptvds.vn/images/2023/03/khan-giay-tay-trang-duong-am-biore-10-mieng-hong_1_1-20230327032248.jpg
10017741,Xà bông hoa Doublerich  Iris,cham-soc-da--c0146,15000.0,DOUBLE RICH,https://ss-hn.fptvds.vn/images/2023/03/xa-bong-hoa-doublerich-iris-20230324160158.jpg
10018186,Sữa rửa mặt Nivea  Men serum sáng da vượt trội 100ml,cham-soc-da--c0146,99000.0,NIVEA,https://ss-hn.fptvds.vn/images/2023/03/sua-rua-mat-nivea-men-serum-sang-da-vuot-troi-100ml-20230324160422.jpg
10018286,Sữa rửa mặt nghệ E100 100g,cham-soc-da--c0146,43000.0,E100,https://ss-hn.fptvds.vn/images/2023/03/sua-rua-mat-nghe-e100-100g-20230324160141.webp
10018287,Sữa rửa mặt E100  hạt nghệ 100g,cham-soc-da--c0146,39000.0,E100,https://ss-hn.fptvds.vn/images/2023/03/sua-rua-mat-e100-hat-nghe-100g-20230324160153.png
10018955,Dao cạo râu Gillette Blue 2 Plus gói 2 chiếc,cham-soc-da--c0146,19000.0,GILLETTE,https://ss-hn.fptvds.vn/images/2023/03/dao-cao-rau-gillette-blue-2-plus-goi-2-chiec-20230324160016.jpg
