sku,productName,category,listedPrice,brand,__mediaUrl
10020125,Băng vệ sinh không cánh Kotex Freedom gói 8 miếng,cham-soc-phu-nu--c0148,9900.0,KOTEX,https://ss-hn.fptvds.vn/images/2022/bang-ve-sinh-khong-canh-kotex-freedom-goi-8-mieng.jpg
10020128,Băng vệ sinh Kotex hàng ngày hương tự nhiên 20 miếng,cham-soc-phu-nu--c0148,16500.0,KOTEX,https://ss-hn.fptvds.vn/images/2022/16866449522718-og.jpg
10020129,Băng vệ sinh Kotex hàng ngày hương tự nhiên 40 miếng,cham-soc-phu-nu--c0148,29500.0,KOTEX,https://ss-hn.fptvds.vn/images/2022/162428259410510020129-g1-bang-ve-sinh-kotex-siou-mem-ban-dom-35cm-og.jpg
10020131,Băng vệ sinh Kotex Style siêu mỏng cánh 8 miếng,cham-soc-phu-nu--c0148,20900.0,KOTEX,https://ss-hn.fptvds.vn/images/2022/162428257947210020131-g1-ngu-coc-vi-cacao-koko-krunch-duo-nestlo-hop-330g-og.jpg
10020132,Băng vệ sinh Kotex Style siêu mỏng không cánh 8 miếng,cham-soc-phu-nu--c0148,19900.0,KOTEX,https://ss-hn.fptvds.vn/images/2022/162428257895110020132-g1-ngu-coc-an-song-koko-krunch-vi-su-cu-la-nestlo-hop-330g-og.jpg
10020133,Băng vệ sinh Kotex Style ban đêm có cánh 4 miếng,cham-soc-phu-nu--c0148,16900.0,KOTEX,https://ss-hn.fptvds.vn/images/2022/10208414138398-og.jpg
10020136,Băng vệ sinh Kotex Pro siêu mỏng cánh 8 miếng,cham-soc-phu-nu--c0148,19700.0,KOTEX,https://ss-hn.fptvds.vn/images/2022/bang-ve-sinh-kotex-pro-sieu-mong-canh-8-mieng.jpg
10020139,Băng vệ sinh Kotex Pro siêu mỏng cánh 20 miếng,cham-soc-phu-nu--c0148,42300.0,KOTEX,https://ss-hn.fptvds.vn/images/2022/bang-ve-sinh-kotex-pro-sieu-mong-canh-20-mieng-20221007081126-og.jpg
10020144,Băng vệ sinh Diana Mama cho mẹ sau sinh 12 miếng,cham-soc-phu-nu--c0148,31000.0,DIANA,https://ss-hn.fptvds.vn/images/2022/diana-mama_da7b7a18-2607-4a51-b0c4-baaf0779930b-og.jpg
10020154,Băng vệ sinh Whisper Wings có cánh 10 miếng,cham-soc-phu-nu--c0148,25500.0,WHISPER,https://ss-hn.fptvds.vn/images/2022/4902430044257.jpeg
