sku,productName,category,listedPrice,brand,__mediaUrl
10162282,Kem đánh răng Oral-Clean Vitamin Healthy White 100ml,cham-soc-rang-mieng--c0147,69900.0,ORAL CLEAN,https://ss-hn.fptvds.vn/images/2022/oral-clean-kdr-vitamin-sang-trang-100ml_710c6c09-0366-4b72-85c8-956cf39850f1-og.jpg
10162280,Nước súc miệng Oral Clean Fresh To Go 300ml,cham-soc-rang-mieng--c0147,69000.0,ORAL CLEAN,https://ss-hn.fptvds.vn/images/2022/nuoc-suc-mieng-oral-clean-fresh-to-go-300ml_5de86908-f894-46a3-8667-4e1f683d4f35-og.jpg
10018429,OKAMURA Chỉ kẽ răng 80p hồng,cham-soc-rang-mieng--c0147,32500.0,OKAMURA,https://ss-hn.fptvds.vn/images/2022/tam-nha-khoa-dr_d9a191f0-2d81-4db6-9433-69c8865fc5ee-og.polir 80 cây
10406482,Bộ 2 bàn chải đánh răng P/S lông tơ mềm mại,cham-soc-rang-mieng--c0147,34600.0,P/S,https://ss-hn.fptvds.vn/images/2023/02/10406482.jpg
10160639,Bàn chải đánh răng COLGATE 360 Charcoal Spiral xoắn kép,cham-soc-rang-mieng--c0147,71300.0,COLGATE,https://ss-hn.fptvds.vn/images/2023/02/8850006332030.png
10617604,Kem đánh răng Colgage trắng và sáng bóng 100g,cham-soc-rang-mieng--c0147,48000.0,COLGATE,https://ss-hn.fptvds.vn/images/2022/162428508609510617604-tuy-nuoc-syc-mieng-colgate-plax-peppermint-500ml-og.jpg
10018354,Kem đánh răng 2080  Dong-ui Seang-gum 120g,cham-soc-rang-mieng--c0147,40000.0,2080,https://ss-hn.fptvds.vn/images/2023/03/kem-danh-rang-2080-dong-ui-seang-gum-120g-20230324160202.jpg
10018412,Nước súc miêng Listerine tartar protection 250ml,cham-soc-rang-mieng--c0147,74000.0,LISTERINE,https://ss-hn.fptvds.vn/images/2023/03/nuoc-suc-mieng-listerine-tartar-protection-250ml-20230324160142.jpg
10018497,Chỉ xỉa răng BF100m,cham-soc-rang-mieng--c0147,72000.0,BEAUTY FORMULA,https://ss-hn.fptvds.vn/images/2023/03/chi-xia-rang-bf100m-20230324160432.png
10018629,Bàn chải đánh răng Bamboo shinrinnee chăm sóc răng ê buốt,cham-soc-rang-mieng--c0147,43800.0,BAMBOO,https://ss-hn.fptvds.vn/images/2023/03/ban-chai-danh-rang-bamboo-shinrinnee-cham-soc-rang-e-buot-20230324160258.jpg
10160635,Kem đánh răng Colgage Optic white Khoáng núi lửa,cham-soc-rang-mieng--c0147,48000.0,COLGATE,https://ss-hn.fptvds.vn/images/2023/03/kem-danh-rang-colgate-optic-white-khoang-nui-lua-20230324160209.webp
10161644,Bộ 2 bàn chải đánh răng Colgate Flex Clean Charcoal,cham-soc-rang-mieng--c0147,80500.0,COLGATE,https://ss-hn.fptvds.vn/images/2023/03/bo-2-ban-chai-danh-rang-colgate-flex-clean-charcoal-20230324160018.jpg
10161645,Bộ 2 bàn chải đánh răng Colgate SlimSoft Flex Clean,cham-soc-rang-mieng--c0147,80500.0,COLGATE,https://ss-hn.fptvds.vn/images/2023/03/bo-2-ban-chai-danh-rang-colgate-slimsoft-flex-clean-20230324160022.jpg
10171137,Nước súc miệng Mondahmin PeperMint 300ml,cham-soc-rang-mieng--c0147,56000.0,MONDAHMIN,https://ss-hn.fptvds.vn/images/2023/03/nuoc-suc-mieng-mondahmin-pepermint-300ml-20230324160300.jpg
