sku,productName,category,listedPrice,brand,__mediaUrl
10141653,Đường tinh luyện WinMart Good 500g,duong--c01151,15500.0,WINMART GOOD,https://ss-hn.fptvds.vn/images/2023/02/wmgood-duong-tinh-luyen-500g-mat-truoc.jpg
10141654,Đường tinh luyện WinMart Good 1 Kg,duong--c01151,27500.0,WINMART GOOD,
10141656,Đường trắng  WinMart Good 1 Kg,duong--c01151,22000.0,WINMART GOOD,
10008632,Đường tinh luyện Cuộc Sống Việt gói 1kg,duong--c01151,26500.0,VILITAS,https://ss-hn.fptvds.vn/images/2022/162427277990410008632-g1-tay-toilet-vim-xanh-bien-500ml-og.jpg
10008633,Đường tinh luyện Biên Hòa gói 500g,duong--c01151,16500.0,BIÊN HÒA,https://ss-hn.fptvds.vn/images/2022/duong-tinh-luyen-bien-hoa-goi-500g_b118a2f3-69b4-4b0c-8b21-7189cc3e0106-og.jpg
10008755,Đường ăn kiêng Hermesetas lọ 90g,duong--c01151,163000.0,HERMESETAS,https://ss-hn.fptvds.vn/images/2022/9516917948446-og.jpg
10008776,Đường phèn hạt Anh Đăng gói 500g,duong--c01151,38300.0,ANH ĐĂNG,https://ss-hn.fptvds.vn/images/2022/duong-phen-hat-anh-dang-goi-500g.jpg
10009243,Đường mía thượng hạng Biên Hòa gói 1kg,duong--c01151,30500.0,BIÊN HÒA,https://ss-hn.fptvds.vn/images/2022/bien-hoa-duong-mia-thuong-hang-1kg-t20_2dd777b0-8ce5-4785-8225-38e54a3e9074-og.jpg
10009244,Đường phèn Biên Hòa gói 500g,duong--c01151,36800.0,BIÊN HÒA,https://ss-hn.fptvds.vn/images/2022/162428564371410009244-g1-sua-tam-sach-sou-khong-khuan-bioro-guard-nang-dong-khong-khuan-800g-og.jpg
10009246,Đường que tinh luyện Biên Hòa gói 300g (50 que x 6g),duong--c01151,20000.0,BIÊN HÒA,https://ss-hn.fptvds.vn/images/2022/8935015510560_186951f8-0131-4cdb-b5f1-ceff15388ee1-og.jpg
10009271,Đường vàng khoáng chất Biên Hòa gói 1kg,duong--c01151,36800.0,BIÊN HÒA,https://ss-hn.fptvds.vn/images/2022/162428564565510009271-g1-duong-sach-bion-hua-saving-1kg-og.jpg
10009327,Đường phèn hạt Anh Đăng gói 1kg,duong--c01151,74100.0,ANH ĐĂNG,https://ss-hn.fptvds.vn/images/2022/14225732894750-og.jpg
10009519,Đường tinh luyện Cuộc Sống Việt gói 500g,duong--c01151,15400.0,VILITAS,https://ss-hn.fptvds.vn/images/2022/duong-tinh-luyen-cuoc-song-viet-goi-500g_ef43a27a-48ca-43c2-b3f8-00fff31a2fa5-og.jpg
10009571,Đường ăn kiêng Biên Hòa Isomalts 5g 250g,duong--c01151,74700.0,BIÊN HÒA,https://ss-hn.fptvds.vn/images/2022/duong-an-kieng-bien-hoa-isomalts-5g-250g.jpg
10009573,Đường trắng cao cấp Biên Hòa Daily gói 1kg,duong--c01151,31100.0,BIÊN HÒA,https://ss-hn.fptvds.vn/images/2022/baeeae03-bc6d-47a2-9d2b-71920ce20413_20210827083244-og.jpg
10140968, Đường Organic Biên Hòa hộp 800g ,duong--c01151,85000.0,BIÊN HÒA,https://ss-hn.fptvds.vn/images/2022/8935015513745_777c3f88-fdfc-4884-9a8d-4dbcb05c4661-og.jpg
10181127,Đường phèn hạt thiên nhiên Biên Hòa gói 500g,duong--c01151,41000.0,BIÊN HÒA,https://ss-hn.fptvds.vn/images/2022/duong_6ceea6e9-949d-47ba-b029-8655e349a57d-og.png
10181128,Đường Organic T.SU Special Biên Hòa 400g,duong--c01151,41000.0,BIÊN HÒA,https://ss-hn.fptvds.vn/images/2022/162428564632210181128-g1-duong-phon-bion-hua-gui-500g-og.jpg
10270074,Đường túi Biên Hòa Pure 1kg,duong--c01151,30300.0,BIÊN HÒA,https://ss-hn.fptvds.vn/images/2022/bien-hoa-duong-tui-pure-1kg-t20_c0235ca4-fbd0-4419-8e91-24842b9f953e-og.jpg
10327459,Đường tinh luyện Lam Sơn túi 1kg,duong--c01151,26500.0,LAM SƠN,https://ss-hn.fptvds.vn/images/2022/17380984717342-og.jpg
10327461,Đường vàng Lam Sơn túi 1kg,duong--c01151,26600.0,LAM SƠN,https://ss-hn.fptvds.vn/images/2022/17380969742366-og.jpg
10401819,Đường vàng Biên Hòa thiên nhiên 1kg,duong--c01151,34100.0,BIÊN HÒA,https://ss-hn.fptvds.vn/images/2022/162428564478210401819-g1-nuoc-màu-bep-xua-chai-210g-og.jpg
10605203,Đường sạch Biên Hòa Saving 1kg,duong--c01151,28500.0,BIÊN HÒA,https://ss-hn.fptvds.vn/images/2022/duong-sach-bien-hoa-saving-1kg_e0e1f60c-66f3-45f8-9640-ea30de604030-og.jpg
10627913,Đường đen nữ hoàng Biên Hòa gói 1kg,duong--c01151,54500.0,BIÊN HÒA,https://ss-hn.fptvds.vn/images/2022/162428564549210627913-g1-duong-que-tinh-luyen-bion-hua-gui-300g-(50-que-x-6g)-og.jpg
