sku,productName,category,listedPrice,brand,__mediaUrl
10014771,Kẹo gừng Ginberbon  125g,keo-chocolate--c0128,20200.0,GINGERBON,https://ss-hn.fptvds.vn/images/2023/02/keo-gung-ginberbon-125g.jpg
10015014,Kẹo dẻo hương trái cây Bibica Zoo Jelly gói 200g,keo-chocolate--c0128,20200.0,BIBICA,https://ss-hn.fptvds.vn/images/2023/02/keo-deo-zoo-jelly-huong-trai-cay-200g.jpg
10015365,Kẹo Xylitol Gum Lime Mint 26.1g,keo-chocolate--c0128,16500.0,XYLITOL,https://ss-hn.fptvds.vn/images/2022/162427171406710015365-hop-keo-gum-khung-duong-lotte-xylitol-huong-lime-mint-hu-26-og.1g
10015400,Kẹo Hạt Điều Yến Nhung 90g,keo-chocolate--c0128,49000.0,YẾN NHUNG,https://ss-hn.fptvds.vn/images/2023/02/keo-hat-dieu-yen-nhung-90g.jpg
10015479,Socola Henk Đen 50g,keo-chocolate--c0128,28500.0,MARK &MILK,https://ss-hn.fptvds.vn/images/2022/socola-henk-den-50g.png
10060890,Socola  Ritter Sport sữa hạnh nhân 100g,keo-chocolate--c0128,61200.0,RITTER SPORT,https://ss-hn.fptvds.vn/images/2023/02/socola-ritter-sport-sua-hanh-nhan-100g.jpg
10192268,Thạch kem đá yogo ice McGoods gói 450g,keo-chocolate--c0128,39100.0,MCGOODS,https://ss-hn.fptvds.vn/images/2023/02/thach-kem-da-yogo-ice-mcgoods-goi-450g.jpg
10192839,Kẹo pizza gummy Super 15g,keo-chocolate--c0128,4600.0,SUPER VIVIGA,https://ss-hn.fptvds.vn/images/2023/02/keo-pizza-gummy-super-15g.png
10193301,"Kẹo gum mật ong chanh Cool Air 58,4g",keo-chocolate--c0128,27300.0,COOL AIR,https://ss-hn.fptvds.vn/images/2023/02/keo-gum-mat-ong-chanh-cool-air-58-4g.jpg
10193943,Kẹo dồi lạc McGoods  120g,keo-chocolate--c0128,21100.0,MCGOODS,https://ss-hn.fptvds.vn/images/2023/02/keo-doi-lac-mcgoods-120g.jpg
10194737,Kẹo nhẫn Pororo Magic,keo-chocolate--c0128,14100.0,PORORO,https://ss-hn.fptvds.vn/images/2023/02/keo-nhan-pororo-magic.jpg
10194807,Kẹp dẻo Chupa Chups Jellies Oil 90g,keo-chocolate--c0128,22900.0,CHUPA CHUPS,https://ss-hn.fptvds.vn/images/2023/02/kep-deo-chupa-chups-jellies-oil-90g.jpg
10195190,Kẹo nhai hương sữa chua Mentos 90g,keo-chocolate--c0128,28800.0,MENTOS,https://ss-hn.fptvds.vn/images/2023/02/keo-nhai-huong-sua-chua-mentos-90g.jpg
10195443,Kẹo nhai cầu vồng trái cây  Mentos 120g,keo-chocolate--c0128,16500.0,MENTOS,https://ss-hn.fptvds.vn/images/2023/02/keo-nhai-cau-vong-trai-cay-mentos-120g.jpg
10195456,Kẹo mềm hương trái cây tự nhiên Hi Chew 90g,keo-chocolate--c0128,31600.0,HI-CHEW,https://ss-hn.fptvds.vn/images/2023/02/keo-mem-huong-trai-cay-tu-nhien-hi-chew-90g.jpg
10195457,Kẹo mềm vị chua ngọt Hi Chew 90g,keo-chocolate--c0128,31600.0,HI-CHEW,https://ss-hn.fptvds.vn/images/2023/02/keo-mem-vi-chua-ngot-hi-chew-90g.jpg
10195470,Chocolate Ferrero Rocher Collection,keo-chocolate--c0128,317200.0,FERRERO,https://ss-hn.fptvds.vn/images/2023/02/socloa.png
10195535,Bánh Lambertz Composition 500g,keo-chocolate--c0128,258000.0,LAMBERTZ,https://ss-hn.fptvds.vn/images/2022/banh-lambertz-composition-500g.jpg
10195573,Kẹo đậu phộng hạnh nhân socola KDV 500g,keo-chocolate--c0128,139200.0,NGUYÊN HUY,https://ss-hn.fptvds.vn/images/2022/kdv-keo-dau-phong-hanh-nhan-socola-500g.jpg
10230523,Sô cô la Kit Kat Nestlé hộp 204g,keo-chocolate--c0128,77800.0,KITKAT,https://ss-hn.fptvds.vn/images/2022/kit-kat-hop-12-x-17g-204g-tet.jpg
10250346,Kẹo dẻo trái cây hỗn hợp Playmore 48g,keo-chocolate--c0128,22200.0,PLAYMORE,https://ss-hn.fptvds.vn/images/2023/02/keo-deo-trai-cay-hon-hop-playmore-48g.png
10250347,Kẹo dẻo hình khủng long Playmore 48g,keo-chocolate--c0128,22200.0,PLAYMORE,https://ss-hn.fptvds.vn/images/2023/02/keo-deo-hinh-khung-long-playmore-48g.png
10303015,Kẹo Hương cam Tic Tac  14.5g,keo-chocolate--c0128,11800.0,TICTAC,https://ss-hn.fptvds.vn/images/2022/9554102288414-og.jpg
10324077,Kẹo thảo  mộc Ricola Chanh & Bạc Hà 40g,keo-chocolate--c0128,32100.0,RICOLA,https://ss-hn.fptvds.vn/images/2023/02/keo-thao-moc-ricola-chanh-bac-ha-40g.jpg
10324080,Kẹo thảo  mộc Ricola trái cây Cranberry 40g,keo-chocolate--c0128,32100.0,RICOLA,https://ss-hn.fptvds.vn/images/2023/02/keo-thao-moc-ricola-trai-cay-cranberry-40g.jpg
10602083,Socola Ferrero  Rocher 37.5g,keo-chocolate--c0128,36300.0,FERRERO,https://ss-hn.fptvds.vn/images/2023/02/socola-sua-nhan-hat-phi-ferrero-rocher-37-5g-1.png
10602084,Socola Ferrero Rocher 62.5g,keo-chocolate--c0128,67300.0,FERRERO,https://ss-hn.fptvds.vn/images/2022/17311121735710-og.jpg
