sku,productName,category,listedPrice,brand,__mediaUrl
10007816,Mì trứng thượng hạng Safoco gói 400g,mi--c01145,27000.0,SAFOCO,https://ss-hn.fptvds.vn/images/2023/02/mi-trung-thuong-hang-safoco-goi-400g.jpg
10141928,Mì xào Kalamansi Lucky Me 60g,mi--c01145,8400.0,LUCKY ME,https://ss-hn.fptvds.vn/images/2023/02/mi-xao-kalamansi-lucky-me-60g.jpg
10141929,Mì xào Pancit Canton vị cay Lucky Me 60g,mi--c01145,8400.0,LUCKY ME,https://ss-hn.fptvds.vn/images/2023/02/mi-xao-pancit-canton-vi-cay-lucky-me-60g.jpg
10007756,Mì Ý Angel Hair Barilla hộp 500g,mi--c01145,73700.0,BARILLA,https://ss-hn.fptvds.vn/images/2022/mi-soi-barilla-capellini-hop-500g.jpg
10007757,Mì Spaghettini n.3 Barilla hộp 500g,mi--c01145,73400.0,BARILLA,https://ss-hn.fptvds.vn/images/2022/162428571438810007757-g1-nuoc-dung-hoàn-chinh-barona-vi-lau-kim-chi-gui-180g-og.jpg
10007758,Mì Spaghetti Barilla số 5 hộp 500g,mi--c01145,73400.0,BARILLA,https://ss-hn.fptvds.vn/images/2022/162428571516910007758-g1-nuoc-dung-hoàn-chinh-lau-thoi-barona-gui-180g-og.jpg
10007765,Mì sợi hình ống các cỡ Spaghettoni Barrila hộp 500g,mi--c01145,73400.0,BARILLA,https://ss-hn.fptvds.vn/images/2022/mi-soi-hinh-ong-cac-co-spaghettoni-barrila-hop-500g.jpg
10007766,Mì ăn liền khoai tây Cung Đình Micoem vị cua bể rau răm  gói  80g,mi--c01145,8400.0,CUNG ĐÌNH,https://ss-hn.fptvds.vn/images/2022/mi-an-lien-khoai-tay-cung-dinh-micoem-vi-cua-be-rau-ram-goi-80g.jpg
10007767,Mì khoai tây Micoem hương măng gói 79g,mi--c01145,8400.0,CUNG ĐÌNH,https://ss-hn.fptvds.vn/images/2022/162428197133210007767-g1-muc-phi-lo-khoanh-mien-ha-long-gui-500g-og.jpg
10007768,Mì khoai tây Micoem vị gà hầm gói 79g ,mi--c01145,8400.0,CUNG ĐÌNH,https://ss-hn.fptvds.vn/images/2022/162428197976610007768-g1-mo-an-lien-khoai-toy-cung-donh-micoem-vi-lau-tum-chua-cay-gui-80g-og.jpg
10007769,Mì Micoem khoai tây thịt hương nấm 79g,mi--c01145,8500.0,CUNG ĐÌNH,https://ss-hn.fptvds.vn/images/2022/mi-micoem-khoai-tay-thit-huong-nam-79g.png
10007770,Mì ăn liền khoai tây Cung Đình Micoem vị lẩu tôm chua cay gói 80g,mi--c01145,8400.0,CUNG ĐÌNH,https://ss-hn.fptvds.vn/images/2022/162428197361510007770-g1-mo-an-lien-khoai-toy-cung-donh-micoem-vi-thit-ham-nam-gui-80g-og.jpg
10007779,Mì gà nấm Micoem gói 70g,mi--c01145,4200.0,MICOEM,https://ss-hn.fptvds.vn/images/2022/mi-ga-nam-micoem-goi-70g.jpg
10007814,Mì rau củ Safoco sợi nhỏ gói 500g,mi--c01145,32400.0,SAFOCO,https://ss-hn.fptvds.vn/images/2022/mi-rau-cu-safoco-soi-nho-goi-500g.jpg
10007819,Mì trứng cao cấp Safoco gói 500g,mi--c01145,37300.0,SAFOCO,https://ss-hn.fptvds.vn/images/2022/mi-trung-cao-cap-safoco-goi-500g.jpg
10007820,Mì tôm chanh Omni gói 75g,mi--c01145,4200.0,OMNI,https://ss-hn.fptvds.vn/images/2022/mi-tom-chanh-omni-goi-75g-20221014063324-og.jpg
10007824,Mì ăn liền Koreno Jumbo vị kim chi Paldo túi 1kg,mi--c01145,91700.0,KORENO,https://ss-hn.fptvds.vn/images/2022/162427573252610007824-g1-my-ly-anlien-koreno-vi-kim-chi-65g-og.jpg
10007825,Mì Koreno vị tôm gói 1kg,mi--c01145,91700.0,KORENO,https://ss-hn.fptvds.vn/images/2022/162427573708310007825-g1-thung-10-tyi-mo-an-lien-koreno-vi-gà-paldo-1kg-og.jpg
10007832,Mì tôm chanh Omni hộp 75g,mi--c01145,11200.0,OMNI,https://ss-hn.fptvds.vn/images/2022/mi-tom-chanh-omni-hop-75g-20221014063256-og.jpg
10007834,Mì vị bò cay Koreno Paldo gói 100g,mi--c01145,12200.0,KORENO,https://ss-hn.fptvds.vn/images/2022/mi-vi-bo-cay-koreno-paldo-t24-goix100g_6f8b9cae-c6fb-4c25-910e-a1bc2a06848f-og.jpg
10007836,Mì ăn liền Koreno vị gà Paldo gói 100g,mi--c01145,12200.0,KORENO,https://ss-hn.fptvds.vn/images/2022/162428200348110007836-g1-mo-an-lien-khoai-toy-cung-donh-micoem-vi-suon-ham-ngu-qua-thung-30-gui-x-80g-og.jpg
10007837,Mì vị bò cay Paldo gói 1kg,mi--c01145,91700.0,KORENO,https://ss-hn.fptvds.vn/images/2022/162427573340910007837-g1-mo-an-lien-koreno-jumbo-vi-kim-chi-paldo-tyi-1kg-og.jpg
10007838,Mì ăn liền Koreno vị gà Paldo túi 1kg,mi--c01145,91700.0,KORENO,https://ss-hn.fptvds.vn/images/2022/162427573451710007838-g1-mo-vi-bu-cay-paldo-gui-1kg-og.jpg
10007891,Mì gói ăn liền Đệ Nhất Mì Gia vị thịt bằm Acecook 82g,mi--c01145,8400.0,ACECOOK,https://ss-hn.fptvds.vn/images/2022/mi-goi-an-lien-de-nhat-mi-gia-vi-thit-bam-acecook-82g_4b9a6185-2357-44d3-a958-94676f39f97c-og.jpg
10007893,Mì gói ăn liền Hảo Hảo vị tôm chua cay Acecook gói 75g,mi--c01145,4400.0,HẢO HẢO,https://ss-hn.fptvds.vn/images/2022/mi-goi-an-lien-hao-hao-vi-tom-chua-cay-acecook-goi-75g_0a41061a-b47c-40fb-a394-729b88aca1ab-og.jpg
10007895,Mì xào khô ăn liền Hảo Hảo vị tôm hành Acecook gói 75g,mi--c01145,4400.0,HẢO HẢO,https://ss-hn.fptvds.vn/images/2022/mi-xao-kho-an-lien-hao-hao-vi-tom-hanh-acecook-goi-75g_961960af-ff35-49dd-a02b-5cba1b791061-og.jpg
10007896,Mì xào khô ăn liền Hảo Hảo vị tôm xào chua ngọt Acecook gói 75g,mi--c01145,4400.0,HẢO HẢO,https://ss-hn.fptvds.vn/images/2022/mi-xao-kho-an-lien-hao-hao-vi-tom-xao-chua-ngot-acecook-goi-75g_ea167f37-9de7-45b4-bcfc-8ec2984a7e65-og.jpg
10007899,ACK Mì h.vị thịt xào Modern T24 cốcx65g,mi--c01145,8600.0,ACECOOK,https://ss-hn.fptvds.vn/images/2022/mi-huong-vi-thit-xao-modern-coc-65g_aa5f56e0-2276-42b1-9466-c3b7a9da8de8-og.jpg
10007902,ACK Mì h.vị lẩu Thái tôm Modern 67g T24,mi--c01145,8600.0,ACECOOK,https://ss-hn.fptvds.vn/images/2022/mi-ly-an-lien-modern-vi-lau-thai-tom-acecook-67g_9aa74ac5-5411-493f-8e9e-44f15d096a2b-og.jpg
10007905,Mì gói ăn liền Udon Nhật Bản Acecook 75g,mi--c01145,10000.0,ACECOOK,https://ss-hn.fptvds.vn/images/2022/mi-goi-an-lien-udon-nhat-ban-acecook-75g_e6c0d4d1-762f-4407-8fe5-44f87e5a319d-og.jpg
10007919,Mì Ý spaghetti số 3 Pasta Zara gói 500g,mi--c01145,40100.0,PASTA ZARA,https://ss-hn.fptvds.vn/images/2022/162427569550410007919-g1-pate-royal-gan-gà-vit-vi-cognac-180g-og.jpg
10007923,Mì tôm chua cay Gấu Đỏ gói 63g/64g,mi--c01145,3500.0,GẤU ĐỎ,https://ss-hn.fptvds.vn/images/2022/64g.jpg
10007925,Mì gói ăn liền khoai tây vị sườn hầm ngũ quả Omachi 80g,mi--c01145,252600.0,OMACHI,https://ss-hn.fptvds.vn/images/2022/162427596250410007925-t-mo-khoai-toy-tum-chua-cay-5-sao-thit-omachi--thung-24-ly-x112g-og.jpg
10007926,Mì gói ăn liền khoai tây vị tôm chua cay 5 sao Omachi gói 78g,mi--c01145,252600.0,OMACHI,https://ss-hn.fptvds.vn/images/2022/162427596212110007926-t-omachi-mo-khoai-toy-xot-bu-ham-thit-thung-24-hop-x-113g-og.jpg
10007927,Mì gói ăn liền khoai tây vị xốt bò hầm Omachi  gói 80g,mi--c01145,252600.0,OMACHI,https://ss-hn.fptvds.vn/images/2022/162427594828910007927-t-mo-tu-omachi-tum-càng-riou-cua--98g-og.jpg
10007928,Mì trộn khoai tây sốt spaghetti Omachi 91g,mi--c01145,271000.0,OMACHI,https://ss-hn.fptvds.vn/images/2022/162427594097210007928-t-mo-khoai-toy-omachi-tron-xot-spaghetti-thung-12-hop-x-105g-og.jpg
10007930,Mì tôm chua cay Kokomi 65g,mi--c01145,3100.0,KOKOMI,https://ss-hn.fptvds.vn/images/2022/mi-tom-chua-cay-kokomi-65g.jpg
10008033,Mì spaghetti số 25 Santa Lucia gói 500g,mi--c01145,40400.0,SANTA LUCIA,https://ss-hn.fptvds.vn/images/2022/9627248656414-og.jpg
10008042,Mì ăn liền Bongoyang​​​​​​​ Hanil Food gói 200g,mi--c01145,17400.0,BONGOYANG,https://ss-hn.fptvds.vn/images/2022/162428560099310008042-g1-bia-budweiser-thung-24-chai-355ml-og.jpg
10008043,Mì Deuchi gói 200g ,mi--c01145,18800.0,HANIL FOOD,https://ss-hn.fptvds.vn/images/2022/9528311840798_ed8a5692-eb26-42a5-ad0e-891a91ae9767-og.jpg
10008046,Mì Udon hải sản Hanil Food gói 212g,mi--c01145,32500.0,HANIL FOOD,https://ss-hn.fptvds.vn/images/2022/162428408162510008046-g1-ruot-goi-latex-oval-hanvico-40-x-60-x-12-cm-(trang)-og.jpg
10008048,Mì Sutah bò cay Samyang gói 120g,mi--c01145,26700.0,SAMYANG,https://ss-hn.fptvds.vn/images/2022/162427521408710008048-g1-sot-cham-vi-cay-samyang-carbo-200g-og.jpg
10008049,Mì trộn tương đen Samyang gói 140g,mi--c01145,28500.0,SAMYANG,https://ss-hn.fptvds.vn/images/2022/162427521302310008049-g1-sot-cham-vi-gà-cuc-cay-samyang-200g-og.jpg
10008050,Mì gói ăn liền cay Shin Ramyun Nongshim 114g,mi--c01145,25100.0,NONGSHIM,https://ss-hn.fptvds.vn/images/2022/162427603630110008050-g1-sua-dac-cu-duong-ngui-sao-phuong-nam-hop-giay-380g-(xanh-lo)-og.jpg
10008051,NONGSHIM Mì Shin Nong Shim cốc 68g,mi--c01145,27000.0,NONGSHIM,https://ss-hn.fptvds.vn/images/2022/mi-nongshim-shin-nong-shim-coc-68g.jpg
10008052,NONGSHIM Mì ăn liền Nongshim cốc 114g,mi--c01145,34600.0,NONGSHIM,https://ss-hn.fptvds.vn/images/2022/mi-an-lien-nongshim-coc-114g.jpg
10008058,Mì sợi lớn Ottogi gói 900g,mi--c01145,95800.0,OTTOGI,https://ss-hn.fptvds.vn/images/2022/mi-soi-lon-ottogi-goi-900g.jpg
10008076,Mì tôm chua cay Reeva gói 65g,mi--c01145,3500.0,REEVA,https://ss-hn.fptvds.vn/images/2022/mi-tom-chua-cay-reeva-goi-65g-20221014063017-og.jpg
10008082,Mì bò hầm rau thơm 3 Miền Reeva gói 75g,mi--c01145,4800.0,REEVA,https://ss-hn.fptvds.vn/images/2022/mi-bo-ham-rau-thom-3-mien-reeva-goi-75g-20221007081254-og.jpg
10008083,Mì chua cay Reeva Thái gói 75g,mi--c01145,4800.0,REEVA,https://ss-hn.fptvds.vn/images/2022/mi-chua-cay-reeva-thai-goi-75g.jpg
10008129,Mì udon nguyên vị Bon Go Jang Hanil Food gói 225g,mi--c01145,32500.0,HANIL FOOD,https://ss-hn.fptvds.vn/images/2022/mi-udon-nguyen-vi-bon-go-jang-hanil-food-goi-225g_90458cc9-3d33-415b-8f4f-ce99ac944ba0-og.jpg
10008219,Mì trộn ăn liền Jjajangmen Paldo gói 200g,mi--c01145,26600.0,PALDO,https://ss-hn.fptvds.vn/images/2022/162427573670210008219-g1-mo-an-lien-koreno-vi-gà-paldo-tyi-1kg-og.jpg
10008223,Mì kim chi Samyang gói 120g,mi--c01145,26500.0,SAMYANG,https://ss-hn.fptvds.vn/images/2022/162427521504410008223-g1-mo-gui-khu-gà-cay-carbonara-samyang-130g-og.jpg
10008238,Mì khoai tây Cung Đình vị lẩu tôm chua cay Micoem 65g,mi--c01145,9700.0,CUNG ĐÌNH,https://ss-hn.fptvds.vn/images/2022/mi-khoai-tay-cung-dinh-vi-lau-tom-chua-cay-micoem-65g-20221007081221-og.jpg
10008252,Mì gói ăn liền lẩu Thái vị tôm Acecook gói 80g,mi--c01145,247500.0,ACECOOK,https://ss-hn.fptvds.vn/images/2022/162428615952910008252-t-thung-24-gui-mien-an-lien-phy-huong-vi-suon-heo-acecook-58g-og.jpg
10008262,Mì tôm chanh Omni ly 65g,mi--c01145,10700.0,OMNI,https://ss-hn.fptvds.vn/images/2022/mi-tom-chanh-omni-ly-65g-20221014063409-og.jpeg
10008343, Mì xào khô Indomie vị cay nồng 79g,mi--c01145,6000.0,INDOMIE,https://ss-hn.fptvds.vn/images/2022/mi-xao-kho-indomie-vi-cay-nong-79g-20221007081020-og.jpg
10008344,Mì xào khô vị bò cay Indomie gói 91g,mi--c01145,6000.0,INDOMIE,https://ss-hn.fptvds.vn/images/2022/mi-xao-kho-vi-bo-cay-indomie-goi-91g-20221007081140-og.jpg
10008346,Mì sợi tròn spaghetti Golden Farm gói 500g,mi--c01145,34100.0,GOLDEN FARM,https://ss-hn.fptvds.vn/images/2022/mi-soi-tron-spaghetti-golden-farm-goi-500g-20221007081015-og.jpg
