sku,productName,category,listedPrice,brand,__mediaUrl
10170634,Nước giặt Comfort dưỡng vải thời thượng túi 3.6L,nuoc-giat--c01140,184000.0,COMFORT,https://ss-hn.fptvds.vn/images/2023/02/10170634-2-.jpg
10171171,Nước giặt Super NET 2.2kg,nuoc-giat--c01140,129000.0,NET,
10619446,Nước giặt Omo Matic cho máy giặt cửa trên túi 3.9kg,nuoc-giat--c01140,220000.0,OMO,https://ss-hn.fptvds.vn/images/2023/02/10619446.jpg
10161179,"Nước giặt Omo bền đẹp cửa trước túi 3,6kg",nuoc-giat--c01140,227000.0,OMO,https://ss-hn.fptvds.vn/images/2023/02/10161179-1-.jpg
10628199,"Nước giặt Omo  Comfort tinh dầu thơm cửa trên túi 3,6kg",nuoc-giat--c01140,227000.0,OMO,https://ss-hn.fptvds.vn/images/2023/02/10628199-3-.jpg
10171075,Nước giặt Ariel Downy hương oải túi 3.9kg,nuoc-giat--c01140,270000.0,ARIEL,https://ss-hn.fptvds.vn/images/2022/4987176132871.jpeg
10019339,"Bột giặt  LIX extra gói  5,5kg/ 6kg",nuoc-giat--c01140,175000.0,LIX,https://ss-hn.fptvds.vn/images/2022/6kg_7e74b84c-5e07-4fea-a278-f89663dd238b-og.jpg
10019414,Nước giặt quần áo em bé D-nee Honey Star can 3L,nuoc-giat--c01140,225000.0,D-NEE,https://ss-hn.fptvds.vn/images/2022/nuoc-giat-quan-ao-em-be-d-nee-honey-star-can-3l-20221007081046-og.jpg
10019415,Nước giặt quần áo em bé D-nee Lovely Sky​ can 3L,nuoc-giat--c01140,225000.0,D-NEE,https://ss-hn.fptvds.vn/images/2022/162428478121210019415-can-doc-mung-(bac-hà)-l1-vineco-og.jpg
10019416,Nước giặt quần áo em bé D-nee Yellow Moon can 3L,nuoc-giat--c01140,225000.0,D-NEE,https://ss-hn.fptvds.vn/images/2022/nuoc-giat-quan-ao-em-be-d-nee-yellow-moon-can-3l-20221007080952-og.jpg
10019418,Nước giặt quần áo em bé D-nee trắng Lively can 3L,nuoc-giat--c01140,225000.0,D-NEE,https://ss-hn.fptvds.vn/images/2022/nuoc-giat-quan-ao-em-be-d-nee-trang-lively-can-3l-20221007081228-og.jpg
10019421,Nước xả mềm quần áo D-nee Happy Baby can 3L,nuoc-giat--c01140,219000.0,D-NEE,https://ss-hn.fptvds.vn/images/2022/nuoc-xa-mem-quan-ao-d-nee-happy-baby-can-3l.jpg
10019433,"Nước giặt đậm đặc Essence dạng chai 1,9L",nuoc-giat--c01140,179000.0,ESSENCE,https://ss-hn.fptvds.vn/images/2022/10261563605022-og.jpg
10019434,"Nước giặt quần áo đậm đặc Essence dạng chai 1,9 L",nuoc-giat--c01140,179000.0,ESSENCE,https://ss-hn.fptvds.vn/images/2022/nuoc-giat-quan-ao-dam-dac-essence-dang-chai-1-9-l_1afca691-7cd3-4a50-84dd-15e5966504c9-og.jpg
10019475,Nước giặt xả cho bé Carefor Plus hương hoa hồng chai 3.5 lít,nuoc-giat--c01140,225000.0,CAREFOR,https://ss-hn.fptvds.vn/images/2022/10019475.jpg
10019476,Nước giặt xả đậm đặc tím Carefor can 3.5L,nuoc-giat--c01140,225000.0,CAREFOR,https://ss-hn.fptvds.vn/images/2022/162428526644610019476-can-to-quan-nang-hoat-caryn-l-tyi-14-mieng-og.jpg
10019499,"Nước giặt LIX đậm đặc 3.6kg/3,8kg",nuoc-giat--c01140,193000.0,LIX,https://ss-hn.fptvds.vn/images/2022/162428231308410019499-cha-quay-vi-mat-ong-loc-phot--gui-135g-og.jpg
10019509, Bột giặt nhiệt Aba sạch tinh tươm túi 6kg,nuoc-giat--c01140,264000.0,ABA,https://ss-hn.fptvds.vn/images/2022/bot-giat-nhiet-aba-sach-tinh-tuom-tui-6kg.jpg
10019510,Bột giặt nhiệt Aba dùng cho giặt máy gói 3kg,nuoc-giat--c01140,132000.0,ABA,https://ss-hn.fptvds.vn/images/2022/aba-bot-giat-nhiet-matic-tui-3kg_99a6dfa1-77dc-4ac0-a90e-d34d8999b79d-og.jpg
10019542,Bột giặt Tide trắng đột phá túi 5.5kg,nuoc-giat--c01140,230000.0,TIDE,https://ss-hn.fptvds.vn/images/2022/4902430647281.jpeg
10019558,Bột giặt Ariel hương nắng mai 720g,nuoc-giat--c01140,42000.0,ARIEL,https://ss-hn.fptvds.vn/images/2022/10019558.-bg-ariel-720g-nmai-20221019091052-og.png
10019562,Bột giặt ARIEL đam mê túi 650g,nuoc-giat--c01140,42000.0,ARIEL,https://ss-hn.fptvds.vn/images/2022/10019562.-bg-ariel-650g-dam-me-20221019091207-og.png
10019565,"Bột giặt Ariel hương Downy đam mê túi 3,8kg ",nuoc-giat--c01140,209000.0,ARIEL,https://ss-hn.fptvds.vn/images/2022/10019565.-bg-ariel-3.8kg-dam-me-20221017082145-og.png
10057106,Bột giặt nhiệt Aba nước hoa túi túi 720g,nuoc-giat--c01140,40000.0,ABA,https://ss-hn.fptvds.vn/images/2022/bot-giat-nhiet-aba-nuoc-hoa-tui-tui-720g.jpg
10057108,Bột giặt nhiệt Aba gói 800g,nuoc-giat--c01140,42000.0,ABA,https://ss-hn.fptvds.vn/images/2022/bot-giat-nhiet-aba-goi-800g.jpg
10057115,Bột giặt nhiệt Aba sạch tinh tươm túi 3kg,nuoc-giat--c01140,144000.0,ABA,https://ss-hn.fptvds.vn/images/2022/bot-giat-nhiet-aba-sach-tinh-tuom-tui-3kg.jpg
10160955,Nước giặt xả MaxKleen hương vườn sớm mai 2.4kg,nuoc-giat--c01140,142000.0,MAXKLEEN,https://ss-hn.fptvds.vn/images/2022/nuoc-giat-xa-maxkleen-huong-vuon-som-mai-2_f12cb187-d250-498a-845d-f00d44247f7c-og.4kg
10160959,"Nước giặt Surf cỏ hoa diệu kỳ túi 3,3L",nuoc-giat--c01140,136000.0,SURF,https://ss-hn.fptvds.vn/images/2022/10160959.jpg
10160961,"Nước giặt Surf sương mai dịu mát túi 3,3kg",nuoc-giat--c01140,136000.0,SURF,https://ss-hn.fptvds.vn/images/2022/10160961.jpg
10160963,"Nước giặt hương nước hoa Surf túi 3,1kg",nuoc-giat--c01140,146000.0,SURF,https://ss-hn.fptvds.vn/images/2023/02/10160963.jpg
10160967,"Bột giặt Surf hương nước hoa duyên dáng túi 5,3kg",nuoc-giat--c01140,197000.0,SURF,https://ss-hn.fptvds.vn/images/2022/bot-giat-surf-huong-nuoc-hoa-duyen-dang-tui-5-3kg.jpg
10161038,"Nước giặt NET hương hoa thiên nhiên 3,6 kg",nuoc-giat--c01140,175000.0,NET,https://ss-hn.fptvds.vn/images/2022/8935149850747.jpg
10161039," Nước giặt đậm đặc NET can  3,6 kg",nuoc-giat--c01140,179000.0,NET,https://ss-hn.fptvds.vn/images/2022/dcdf1c50-7c55-468a-b120-422e33e043f4_20210827075905-og.jpg
