sku,productName,category,listedPrice,brand,__mediaUrl
10009002,Nước mắm 584 Nha Trang chai thủy tinh 35gn/l 500ml,nuoc-mam-nuoc-cham--c01150,61100.0,584 NHA TRANG,https://ss-hn.fptvds.vn/images/2023/02/l-500ml.png
10141649,Hộp quà Nước mắm Nam Ngư cao cấp 500ml,nuoc-mam-nuoc-cham--c01150,130000.0,NAM NGƯ,https://ss-hn.fptvds.vn/images/2023/02/nuoc-mam-nam-ngu-cao-cap-500ml-20230228071000.jpg
10142012,Nước mắm ngon tròn vị Knorr 750ml,nuoc-mam-nuoc-cham--c01150,60500.0,KNORR,https://ss-hn.fptvds.vn/images/2023/02/10142012.jpg
10142013,Nước mắm ngon Knorr nguyên bản 500ml,nuoc-mam-nuoc-cham--c01150,117000.0,KNORR,https://ss-hn.fptvds.vn/images/2023/02/10142013.jpg
10624958,Nước mắm Premium  Maggi 490ml,nuoc-mam-nuoc-cham--c01150,72400.0,MAGGI,https://ss-hn.fptvds.vn/images/2023/02/nuoc-mam-premium-maggi-490ml-20230228070927.jpg
10008112,Nước mắm cá cơm Phú Quốc Hồng Hạnh chai 650ml,nuoc-mam-nuoc-cham--c01150,100100.0,HỒNG HẠNH,https://ss-hn.fptvds.vn/images/2022/nuoc-mam-ca-com-phu-quoc-hong-hanh-chai-650ml_5caf465c-1f90-492d-8d43-fbff3d4a06d5-og.jpg
10008676,Nước mắm Cát Hải cao đạm CH 27 500ml,nuoc-mam-nuoc-cham--c01150,36700.0,CÁT HẢI,https://ss-hn.fptvds.vn/images/2022/nuoc-mam-cat-hai-cao-dam-ch-27-500ml.jpg
10008681,Nước chấm hương cá hồi Chin-su chai 500ml,nuoc-mam-nuoc-cham--c01150,51300.0,CHIN-SU,https://ss-hn.fptvds.vn/images/2022/162428519919410008681-cha-pho-bu-chin-su-12hop-x-74gr-og.jpg
10008991,Nước mắm cao cấp Ngư Nhi chai 150ml,nuoc-mam-nuoc-cham--c01150,62200.0,TRUNG THÀNH,https://ss-hn.fptvds.vn/images/2022/trung-thanh-nuoc-mam-ngu-nhi-150ml-t12_e6bc9dc8-9d27-4f9d-b234-93d6ecb5bea9-og.jpg
10009064,Nước mắm Thanh Quốc Phú Quốc chai 520ml,nuoc-mam-nuoc-cham--c01150,86100.0,THANH QUỐC,https://ss-hn.fptvds.vn/images/2022/nuoc-mam-thanh-quoc-phu-quoc-chai-520ml_fdbc8769-f162-44fe-ba1b-a0c2a814cea0-og.jpg
10009065,Nước mắm Phú Quốc Thanh Quốc chai 520ml,nuoc-mam-nuoc-cham--c01150,120100.0,THANH QUỐC,https://ss-hn.fptvds.vn/images/2022/nuoc-mam-phu-quoc-thanh-quoc-chai-520ml.png
10009164,Nước mắm Nam Ngư chai 750ml,nuoc-mam-nuoc-cham--c01150,51300.0,NAM NGƯ,https://ss-hn.fptvds.vn/images/2022/162428164913210009164-cha-nuoc-cham-nam-ngu-nhon-vàng-chai-650ml-og.jpg
10009165,Nước chấm Nam Ngư Chin-su 3 trong 1 chai 900ml,nuoc-mam-nuoc-cham--c01150,59200.0,NAM NGƯ,https://ss-hn.fptvds.vn/images/2022/162428164766310009165-cha-nam-rom-gui-250g-og.jpg
10009167,Nước mắm nhỉ chánh hiệu Thanh Hà 40 độ đạm chai 520ml,nuoc-mam-nuoc-cham--c01150,128800.0,THANH HÀ,https://ss-hn.fptvds.vn/images/2022/162427317231610009167-cha-nuoc-mam-pha-toi-ot-thanh-hà-chai-500ml-og.jpg
10009168,Nước mắm nhĩ chính hiệu Phú Quốc 35 độ đạm Thanh Hà chai 520ml,nuoc-mam-nuoc-cham--c01150,103900.0,THANH HÀ,https://ss-hn.fptvds.vn/images/2022/162427317366310009168-cha-nuoc-mam-nhi-chonh-hieu-thanh-hà-40-do-dam-chai-520ml-og.jpg
10009174,Nước mắm pha tỏi ớt Thanh Hà chai 250ml,nuoc-mam-nuoc-cham--c01150,39300.0,THANH HÀ,https://ss-hn.fptvds.vn/images/2022/nuoc-mam-pha-toi-ot-thanh-ha-chai-250ml_002065b2-9a77-44d7-ae49-8e1c45285800-og.jpg
10009265,Nước mắm Phú Quốc Ông Kỳ 38 độ đạm chai 525ml,nuoc-mam-nuoc-cham--c01150,121000.0,ÔNG KỲ,https://ss-hn.fptvds.vn/images/2022/162427588922010009265-cha-sua-dac-cu-duong-eng-tho-xanh-lo-380gr-og.jpg
10009551,Nước mắm Phú Quốc Ông Kỳ 35 độ đạm chai 525ml,nuoc-mam-nuoc-cham--c01150,108100.0,ÔNG KỲ,https://ss-hn.fptvds.vn/images/2022/nuoc-mam-phu-quoc-ong-ky-35-do-dam-chai-525ml.jpg
10009553,Nước mắm cao cấp Barona vị xưa chai 500ml,nuoc-mam-nuoc-cham--c01150,93100.0,BARONA,https://ss-hn.fptvds.vn/images/2022/nuoc-mam-cao-cap-barona-vi-xua-chai-500ml.jpg
10009610,Nước mắm Hạnh Phúc 40B chai 500ml,nuoc-mam-nuoc-cham--c01150,84100.0,HẠNH PHÚC,https://ss-hn.fptvds.vn/images/2022/nuoc-mam-hanh-phuc-40b-chai-500ml.jpg
10009611,Nước mắm cá cơm 50 độ đạm Hạnh Phúc chai 250ml,nuoc-mam-nuoc-cham--c01150,54000.0,HẠNH PHÚC,https://ss-hn.fptvds.vn/images/2022/nuoc-mam-ca-com-50-do-dam-hanh-phuc-chai-250ml.jpg
10009612,Nước mắm cá cơm 50 độ đạm Hạnh Phúc chai 500ml,nuoc-mam-nuoc-cham--c01150,106000.0,HẠNH PHÚC,https://ss-hn.fptvds.vn/images/2022/nuoc-mam-ca-com-50-do-dam-hanh-phuc-chai-500ml-20221007081224-og.jpg
10009614,Nước mắm Hạnh Phúc 60N chai 250ml,nuoc-mam-nuoc-cham--c01150,74400.0,HẠNH PHÚC,https://ss-hn.fptvds.vn/images/2022/162428408648210009614-cha-hành-toy-l1-mt-og.jpg
10009615,Nước mắm cá cơm 60 độ đạm Hạnh Phúc chai 500ml,nuoc-mam-nuoc-cham--c01150,140500.0,HẠNH PHÚC,https://ss-hn.fptvds.vn/images/2022/162428408593910009615-cha-hành-tom-my-tuong-cat-og.jpg
10009650,Nước mắm cá cơm Cholimex chai 750g,nuoc-mam-nuoc-cham--c01150,78900.0,CHOLIMEX,https://ss-hn.fptvds.vn/images/2022/nuoc-mam-ca-com-cholimex-chai-750g.jpg
10140931,Nước mắm Chinsu cá cơm biển đông chai 500ml,nuoc-mam-nuoc-cham--c01150,103800.0,CHIN-SU,https://ss-hn.fptvds.vn/images/2023/02/viber_image_2023-01-05_17-05-54-489_1-removebg-preview-48-.jpg
10141168,Nước mắm Barona đặc biệt Hải Nhi chai 50ml,nuoc-mam-nuoc-cham--c01150,28200.0,BARONA,https://ss-hn.fptvds.vn/images/2022/nuoc-mam-barona-dac-biet-hai-nhi-chai-50ml.png
10141410,Nước mắm cá cơm siêu hạng Hưng Thịnh 35 độ đạm chai 620ml,nuoc-mam-nuoc-cham--c01150,61000.0,HƯNG THỊNH,https://ss-hn.fptvds.vn/images/2022/nuoc-mam-ca-com-sieu-hang-hung-thinh-35-do-dam-chai-620ml_660553bf-40f8-43c3-8303-cdb8d48b41c8-og.jpg
10141411,Nước mắm cá cơm đặc sản Hưng Thịnh 40 độ đạm chai 750ml,nuoc-mam-nuoc-cham--c01150,88000.0,HƯNG THỊNH,https://ss-hn.fptvds.vn/images/2022/nuoc-mam-ca-com-dac-san-hung-thinh-40-do-dam-chai-750ml_a1fe4593-5694-421f-a879-9edaf5b84b65-og.jpg
10141531,Nước mắm cá nục Lê Gia chai 525ml,nuoc-mam-nuoc-cham--c01150,66000.0,LÊ GIA,https://ss-hn.fptvds.vn/images/2022/le-gia-nuoc-mam-ca-nuc-525ml-t12_10363586-acb7-4499-a36b-a07ad52b5abb-og.jpg
10141608,Nước mắm CHIN-SU cá cơm biển đông 720ml,nuoc-mam-nuoc-cham--c01150,52100.0,CHIN-SU,https://ss-hn.fptvds.vn/images/2022/10141608_12.jpg
10141783,Nước chấm Beng's chai 800ml,nuoc-mam-nuoc-cham--c01150,14000.0,BENG'S,https://ss-hn.fptvds.vn/images/2022/8-nuoc-cham.jpg
10170270,Nước mắm cho bé Lê Gia 200ml,nuoc-mam-nuoc-cham--c01150,68700.0,LÊ GIA,https://ss-hn.fptvds.vn/images/2022/nuoc-mam-cho-be-le-gia-200ml-20221014063410-og.jpg
10236564,Nước mắm Nam Ngư cao cấp ủ chượp và đóng chai tại Phú Quốc  chai 500ml,nuoc-mam-nuoc-cham--c01150,66200.0,NAM NGƯ,https://ss-hn.fptvds.vn/images/2022/162428164733610236564-cha-tampons-khung-can-day-nat-regular-hop-16-chiec-og.jpg
10250375,Nước mắm Nam Ngư  chai 1.2L,nuoc-mam-nuoc-cham--c01150,59900.0,NAM NGƯ,https://ss-hn.fptvds.vn/images/2022/nuoc-mam-chai-nam-ngu-chai-1_c8e11387-bf56-4030-aa30-7013d1f1de0b-og.2l
10322775,"Nước chấm Nam Ngư siêu tiết kiệm can 4,8L",nuoc-mam-nuoc-cham--c01150,80200.0,NAM NGƯ,https://ss-hn.fptvds.vn/images/2022/nuoc-cham-nam-ngu-sieu-tiet-kiem-can-4-8l_b1a8921f-b6c6-423b-8c89-3107c2482ea3-og.jpg
10601702,Nước mắm Phú Quốc Thanh Quốc 35 độ đạm,nuoc-mam-nuoc-cham--c01150,78100.0,THANH QUỐC,https://ss-hn.fptvds.vn/images/2022/nuoc-mam-phu-quoc-thanh-quoc-35-do-dam.jpg
10602829,Nước chấm Nam Ngư nhãn vàng chai 650ml,nuoc-mam-nuoc-cham--c01150,52100.0,NAM NGƯ,https://ss-hn.fptvds.vn/images/2022/162428164676410602829-cha-sua-hanh-nhon-nguyon-chat-nature-hop-1l-og.jpg
10602832,Nước mắm cốt DB Lê Gia chai 525ml,nuoc-mam-nuoc-cham--c01150,95100.0,LÊ GIA,https://ss-hn.fptvds.vn/images/2022/nuoc-mam-cot-dac-biet-le-gia-chai-525ml_06a80aab-0982-4ce3-9dc2-3ec742199d37-og.jpg
10603567,Nước mắm cá cơm Thuận Phát 30N chai 620ml,nuoc-mam-nuoc-cham--c01150,57500.0,THUẬN PHÁT,https://ss-hn.fptvds.vn/images/2022/nuoc-mam-ca-com-thuan-phat-30n-chai-620ml.jpg
10603568,Nước mắm cá cơm Thuận Phát 40N chai 500ml,nuoc-mam-nuoc-cham--c01150,62200.0,THUẬN PHÁT,https://ss-hn.fptvds.vn/images/2022/thuan-phat-nuoc-mam-ca-com-40n-490ml-t12_468d8f61-9a75-4053-a19c-a21f7ac55fc2-og.jpg
