sku,productName,category,listedPrice,brand,__mediaUrl
10011250,Nước giải khát Coca Cola chai 1.5lít,nuoc-ngot--c01164,20000.0,COCA-COLA,https://ss-hn.fptvds.vn/images/2022/1c46a290-f028-455a-8766-046f96e4e1a0_20210908073608-og.jpg
10011253,Nước giải khát có gas Coca Cola chai 390ml,nuoc-ngot--c01164,175000.0,COCA-COLA,https://ss-hn.fptvds.vn/images/2022/162428511097210011253-t-thung-24-lon-trà-bo-dao-coca-la-hon-qua-320ml-og.jpg
10011725,Nước giải khát hương cam Fanta lon 330ml,nuoc-ngot--c01164,202000.0,FANTA,https://ss-hn.fptvds.vn/images/2022/162428431262310011725-t-loc-6-chai-nuoc-giai-khot-huong-cam-fanta--390ml-og.jpg
10011726,Nước giải khát Sprite lon 330ml,nuoc-ngot--c01164,202000.0,SPRITE,https://ss-hn.fptvds.vn/images/2022/162427349082110011726-t-nuoc-giai-khot-sprite-lon-330ml-og.jpg
10195621,Nước tăng lực  Rockstar lon 250ml ,nuoc-ngot--c01164,10400.0,ROCKSTAR,https://ss-hn.fptvds.vn/images/2022/8934588712081_e0940db4-a5a5-4b6e-bffa-ffb9cd2e4ba5-og.jpg
10011651,Nước giải khát Zero Coca Cola không đường lon 330ml,nuoc-ngot--c01164,59700.0,COCA-COLA,https://ss-hn.fptvds.vn/images/2022/1eafe571-e2cb-40ca-8f25-b639b323100a_20210908074120-og.jpg
10229190,7UP Revive chanh muối chai 390ml T24,nuoc-ngot--c01164,233000.0,7UP,https://ss-hn.fptvds.vn/images/2022/162428621796810229190-t-thung-48-hop-sua-dinh-duong-abbott-grow--180ml-og.jpg
10196624,Sữa dừa vị chuối Thaicoco 300ml,nuoc-ngot--c01164,27000.0,THAICOCO,https://ss-hn.fptvds.vn/images/2023/02/sua-dua-vi-chuoi-thaicoco-300ml.jpg
10150436,Nước dừa đóng hộp Xanh Cocoxim hộp 1L,nuoc-ngot--c01164,40800.0,COCOXIM,https://ss-hn.fptvds.vn/images/2022/nuoc-dua-dong-hop-xanh-cocoxim-hop-1l_ed05c625-988e-46aa-9b37-8db6af014e79-og.jpg
10011288,Nước cam có tép Teppy chai 327ml,nuoc-ngot--c01164,204000.0,MINUTE MAID TEPPY,https://ss-hn.fptvds.vn/images/2022/162428189018210011288-t-thung-24-lon-nuoc-ngot-mirinda-do-me-330ml-og.jpg
10604946,Trà Ô long Tea+ Plus vị chanh chai 455ml,nuoc-ngot--c01164,58100.0,TEA+,https://ss-hn.fptvds.vn/images/2023/02/viber_image_2023-01-05_17-05-54-489_1-removebg-preview-52--20230223061009.jpg
10638663,Trà Oolong không đường Tea+ chai 455ml,nuoc-ngot--c01164,58100.0,TEA+,https://ss-hn.fptvds.vn/images/2022/162427323901710638663-g6-thung-24-chai-trà-xanh-matcha-tea+-(plus)-chai-350ml-og.jpg
