sku,productName,category,listedPrice,brand,__mediaUrl
10054007,Măng trúc quân thử Kim Bôi 300g,rau-cu--c02,52000.0,KIM BÔI,https://ss-hn.fptvds.vn/images/2022/162428216881110054007-g1-pizza-manna-thit-bu-sot-bbq-200g-og.jpg
10236230,Bí ngồi vàng WinEco,rau-cu--c02,64900.0,WINECO,https://ss-hn.fptvds.vn/images/2023/03/wineco-bi-ngoi-vang-l1-xa-20230327070646.jpg
10237429,Khoai lang nhật WinEco,rau-cu--c02,27900.0,WINECO,https://ss-hn.fptvds.vn/images/2022/khoai-lang-nhat-wineco.jpg
10054606,Dưa chuột WinEco,rau-cu--c02,24900.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10054606.jpg
10054608,Bầu sao WinEco,rau-cu--c02,27900.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10054608-01-05_17-05-54-489_1-removebg-preview.jpg
10054624,Cà chua đỏ  WinEco,rau-cu--c02,24500.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10054624-1-.jpg
10054644,Bí ngòi xanh WinEco ,rau-cu--c02,31900.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10054644-ct.jpg
10054668,Bí ngồi vàng WinEco ,rau-cu--c02,64900.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10054668.jpg
10054670,Bắp cải tím WinEco,rau-cu--c02,34500.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10054670-ct.jpg
10054729,Bắp cải trái tim WinEco,rau-cu--c02,24900.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10054729-ct.jpg
10054767,Cần tây lớn WinEco,rau-cu--c02,42900.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10054767-01-05_17-05-54-489_1-removebg-preview.jpg
10060592,Củ dền đỏ WinEco,rau-cu--c02,39900.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10060592.jpg
10230877,Cải thảo WinEco,rau-cu--c02,11900.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10230877.jpg
10281827,Cải chíp WinEco gói 500g,rau-cu--c02,12900.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10281827-1-.jpg
10281828,Cải cúc WinEco gói 300g,rau-cu--c02,12500.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10281828.jpg
10281830,Cải ngồng WinEco gói  500g,rau-cu--c02,12900.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10281830.jpg
10281835,Giá đỗ WinEco 300g,rau-cu--c02,9900.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10281835.jpg
10281839,Rau mầm cải ngọt WinEco 100g,rau-cu--c02,18500.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10281840.jpg
10281840,Rau mầm cải xanh  WinEco 100g,rau-cu--c02,18500.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10281839.jpg
10281841,Rau mầm củ cải WinEco 150g,rau-cu--c02,27900.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10281841.jpg
10281842,Rau muống WinEco gói  500g,rau-cu--c02,14900.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10281842.jpg
10281844,Cải xoăn (Cải kale) WinEco gói 300g,rau-cu--c02,13900.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10281844.jpg
10281873,Cần tây nhỏ  WinEco 100g,rau-cu--c02,6900.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10281873.jpg
10281879,Hành lá WinEco gói 100g,rau-cu--c02,5500.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10281879.jpg
10281880,Hẹ lá WinEco 100g,rau-cu--c02,5900.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10281880.jpg
10281882,Kinh giới WinEco 100g,rau-cu--c02,8900.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10281882.jpg
10281890,Tía tô WinEco gói 100g,rau-cu--c02,8900.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10281890.jpg
10283101,Húng quế WinEco gói 50g,rau-cu--c02,5000.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10283101.jpg
10283102,Mùi ta WinEco gói 50g,rau-cu--c02,5000.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10283102.jpg
10283103,Mùi tàu (Ngò gai) WinEco gói 50g,rau-cu--c02,5000.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10283103.jpg
10283104,Răm WinEco gói  50g,rau-cu--c02,5000.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10283104.jpg
10283106,Thì là WinEco gói  50g,rau-cu--c02,5000.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10283106.jpg
10283111,Cần tây nhỏ Organic  WinEco gói 100g,rau-cu--c02,11000.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10283111.jpg
10283113,Cải cúc Organic WinEco gói 300g,rau-cu--c02,16500.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10283113-ctt.jpg
10283184,WINECO Hành lá Organic 100gr,rau-cu--c02,8900.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10283184.jpg
10283371,Rau lang Organic WinEco gói 300g,rau-cu--c02,18900.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10283371.jpg
10283438,Cải chíp WinEco thủy canh gói 500g,rau-cu--c02,18900.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10283438_ct.jpg
10283477,Cải xanh WinEco gói 300g,rau-cu--c02,8900.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10283477.jpg
10283859,Bắp cải trái tim Organic WinEco,rau-cu--c02,49900.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10283859.jpg
10307823,Cải thảo  WinEco,rau-cu--c02,14900.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10307823.jpg
10308248,Ớt ngọt xanh  WinEco,rau-cu--c02,68900.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10308248_ct.jpg
10403303,Cà chua Beef  WinEco,rau-cu--c02,49900.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10403303.jpg
10403731,Ớt ngọt màu  WinEco,rau-cu--c02,75900.0,WINECO,https://ss-hn.fptvds.vn/images/2022/10403731.jpg
10054001,Măng nứa tươi Kim Bôi túi 500g,rau-cu--c02,29500.0,KIM BÔI,https://ss-hn.fptvds.vn/images/2022/162428217332910054001-g1--de-pizza--manna-280g-og.jpg
10140148,Hành củ Hải Dương,rau-cu--c02,69900.0,NOBRAND,https://ss-hn.fptvds.vn/images/2022/162428410016110140148-kg-hành-ly-son-gui-500g-og.jpg
10053938,Củ cải trắng,rau-cu--c02,19900.0,,https://ss-hn.fptvds.vn/images/2023/02/cu-cai-trang.jpg
10053953,Bí đỏ tròn,rau-cu--c02,17900.0,,https://ss-hn.fptvds.vn/images/2023/02/bi-do-tron.jpeg
10053980,Khoai lang giống nhật,rau-cu--c02,29900.0,NOBRAND,https://ss-hn.fptvds.vn/images/2022/khoai-lang-giong-nhat.jpg
10053998,Búp măng tươi Kim Bôi gói 500g,rau-cu--c02,32500.0,KIM BÔI,https://ss-hn.fptvds.vn/images/2023/02/bup-mang-tuoi-kim-boi-goi-500g.jpg
10053999,Măng củ thái sẵn Kim Bôi gói 500g,rau-cu--c02,32500.0,KIM BÔI,https://ss-hn.fptvds.vn/images/2023/02/mang-cu-thai-san-kim-boi-goi-500g.jpg
10054000,Măng chua thái sẵn Kim Bôi gói 300g,rau-cu--c02,26500.0,KIM BÔI,https://ss-hn.fptvds.vn/images/2023/02/mang-chua-thai-san-kim-boi-goi-300g.jpg
10054003,Măng ống khô nấu ngay Kim Bôi gói 500g,rau-cu--c02,49000.0,KIM BÔI,https://ss-hn.fptvds.vn/images/2023/02/mang-ong-kho-nau-ngay-kim-boi-goi-500g.jpg
10054004,Măng nứa khô nấu ngay Kim Bôi gói 500g,rau-cu--c02,61000.0,KIM BÔI,https://ss-hn.fptvds.vn/images/2023/02/mang-nua-kho-nau-ngay-kim-boi-goi-500g.jpg
10054005,Măng lay Tây Bắc Kim Bôi gói 300g,rau-cu--c02,34500.0,KIM BÔI,https://ss-hn.fptvds.vn/images/2023/02/mang-lay-tay-bac-kim-boi-goi-300g.png
10054008,Măng giang đặc sản Kim Bôi gói 300g,rau-cu--c02,35000.0,KIM BÔI,https://ss-hn.fptvds.vn/images/2023/02/mang-giang-dac-san-kim-boi-goi-300g.jpg
10054009,Măng đắng đặc sản Kim Bôi gói 500g,rau-cu--c02,41000.0,KIM BÔI,https://ss-hn.fptvds.vn/images/2023/02/mang-dang-dac-san-kim-boi-goi-500g.jpg
10054120,Măng lưỡi lợn ăn liền Nhật Minh gói 550g,rau-cu--c02,38500.0,NHẬT MINH,https://ss-hn.fptvds.vn/images/2023/02/mang-luoi-lon-an-lien-nhat-minh-goi-550g.jpg
10241087,Nấm Đông Cô ( Nấm Hương) 200g,rau-cu--c02,37900.0,NOBRAND,https://ss-hn.fptvds.vn/images/2022/nam-dong-co-nam-huong-200g.jpg
10241439,Chanh tươi không hạt 250g,rau-cu--c02,12900.0,NOBRAND,https://ss-hn.fptvds.vn/images/2023/02/chanh-tuoi-khong-hat-250g.jpg
10241444,Lá dứa 200g,rau-cu--c02,9900.0,NOBRAND,https://ss-hn.fptvds.vn/images/2023/02/la-dua-200g.jpg
10242916,Rau củ hỗn hợp gói 400g,rau-cu--c02,45000.0,NOBRAND,https://ss-hn.fptvds.vn/images/2023/02/rau-cu-hon-hop-goi-400g.jpg
10242922,Hạt sen tươi gói 200g,rau-cu--c02,65900.0,NOBRAND,https://ss-hn.fptvds.vn/images/2023/02/hat-sen-tuoi-goi-200g.jpg
10242928,Ớt trái cây 150g,rau-cu--c02,33900.0,NOBRAND,https://ss-hn.fptvds.vn/images/2023/02/ot-trai-cay-150g.jpg
10242932,Cà rốt baby 200g,rau-cu--c02,35000.0,NOBRAND,https://ss-hn.fptvds.vn/images/2023/02/ca-rot-baby-200g.jpg
10281669,Lá lốt 100g,rau-cu--c02,12900.0,NOBRAND,https://ss-hn.fptvds.vn/images/2023/02/la-lot-100g.jpg
10281707,Cải ngồng 500g,rau-cu--c02,12900.0,NOBRAND,https://ss-hn.fptvds.vn/images/2023/02/cai-ngong-500g.jpg
10281746,Rau đay 300g,rau-cu--c02,12500.0,NOBRAND,https://ss-hn.fptvds.vn/images/2023/02/rau-day-300g.jpg
10281774,Chanh không hạt 500g,rau-cu--c02,23900.0,NOBRAND,https://ss-hn.fptvds.vn/images/2023/02/chanh-khong-hat-500g.jpg
10281785,Ớt sừng 100g,rau-cu--c02,7900.0,NOBRAND,https://ss-hn.fptvds.vn/images/2023/02/ot-sung-100g.jpg
10282395,Dưa chuột baby (dưa leo) 500g,rau-cu--c02,19900.0,NOBRAND,https://ss-hn.fptvds.vn/images/2023/02/dua-chuot-baby-dua-leo-500g.png
10282396,Húng bạc hà 50g,rau-cu--c02,5000.0,NOBRAND,https://ss-hn.fptvds.vn/images/2023/02/hung-bac-ha-50g.jpg
10282397,Húng láng 50g,rau-cu--c02,5000.0,NOBRAND,https://ss-hn.fptvds.vn/images/2023/02/hung-lang-50g.jpg
10282402,Mùi tàu (Ngò gai) 50g,rau-cu--c02,5000.0,NOBRAND,https://ss-hn.fptvds.vn/images/2023/02/mui-tau-ngo-gai-50g.webp
10282889,Cải bẹ dưa (cải sậy),rau-cu--c02,17900.0,NOBRAND,https://ss-hn.fptvds.vn/images/2023/02/cai-be-dua-cai-say-.jpg
10283516,Cải xoong 300g,rau-cu--c02,12900.0,NOBRAND,https://ss-hn.fptvds.vn/images/2023/02/cai-xoong-300g.jpg
10283517,Dọc mùng 300g,rau-cu--c02,9900.0,NOBRAND,https://ss-hn.fptvds.vn/images/2023/02/doc-mung-300g.jpg
10283519,Cải làn 500g,rau-cu--c02,14000.0,NOBRAND,https://ss-hn.fptvds.vn/images/2023/02/cai-lan-500g.jpg
10283520,Cần nước dài 500g,rau-cu--c02,9900.0,NOBRAND,https://ss-hn.fptvds.vn/images/2023/02/can-nuoc-dai-500g.jpg
10283521,Đậu cove nhật 300g,rau-cu--c02,15900.0,NOBRAND,https://ss-hn.fptvds.vn/images/2023/02/dau-cove-nhat-300g.png
10283524,Cải xanh 300g,rau-cu--c02,8900.0,NOBRAND,https://ss-hn.fptvds.vn/images/2023/02/cai-xanh-300g.jpg
10283525,Bí nụ 200g,rau-cu--c02,21900.0,NOBRAND,https://ss-hn.fptvds.vn/images/2023/02/bi-nu-200g.jpg
10283534,Ngọn bí 500g,rau-cu--c02,16900.0,NOBRAND,https://ss-hn.fptvds.vn/images/2023/02/ngon-bi-500g.png
10283694,Combo Nấm thủy tiên Biovegi 200g,rau-cu--c02,39900.0,NOBRAND,https://ss-hn.fptvds.vn/images/2022/combo-nam-thuy-tien-biovegi-200g.png
