sku,productName,category,listedPrice,brand,__mediaUrl
10196194,Lốc 3 hộp sữa chua uống  Veyo vị cam Yuzu 180ml,sua-chua-vang-sua--c01169,26300.0,VEYO,https://ss-hn.fptvds.vn/images/2023/02/loc-3-hop-sua-chua-uong-veyo-vi-cam-180ml.jpg
10196195,Lốc 3 hộp sữa chua uống  Veyo vị đào tiên Nhật 180ml,sua-chua-vang-sua--c01169,26300.0,VEYO,https://ss-hn.fptvds.vn/images/2023/02/loc-3-hop-sua-chua-uong-vi-dao-tien-nhat-180ml.jpg
10196196,Lốc 3 hộp sữa chua uống  Veyo vị dâu 180ml,sua-chua-vang-sua--c01169,26300.0,VEYO,https://ss-hn.fptvds.vn/images/2023/02/loc-3-hop-sua-chua-uong-veyo-vi-dau-180ml.jpg
10196788,Lốc 4 chai sữa chua uống Topkid Phô mai tự nhiên 90ml,sua-chua-vang-sua--c01169,24000.0,TH MILK,https://ss-hn.fptvds.vn/images/2023/02/loc-sua-chua-uong-phomat-tu-nhien-topkid-90-ml-x-4-chai-1596428276-td5d.jpg
10196789,TOPKID SCUTT hương dâu 180ml*48,sua-chua-vang-sua--c01169,34000.0,TH MILK,https://ss-hn.fptvds.vn/images/2023/02/topkid-dau.jpg
10196790,TOPKID SCUTT hương cam 180ml*48,sua-chua-vang-sua--c01169,34000.0,TH MILK,https://ss-hn.fptvds.vn/images/2023/02/loc-4-hop-sua-chua-uong-topkid-huong-cam-180ml.jpg
10196844,Sữa chua uống hương dâu Yogu  85ml,sua-chua-vang-sua--c01169,6500.0,NESTLE,https://ss-hn.fptvds.vn/images/2023/02/sua-chua-uong-huong-dau-yogu-85ml.jpg
10196845,Sữa chua uống hương cam Yogu  85ml,sua-chua-vang-sua--c01169,6500.0,NESTLE,https://ss-hn.fptvds.vn/images/2023/02/sua-chua-uong-huong-cam-yogu-85ml.jpg
10005226,Sữa chua nông trại Ba Vì Love'in Farm có đường hộp 100g,sua-chua-vang-sua--c01169,5800.0,BA VÌ(IDP),https://ss-hn.fptvds.vn/images/2022/sua-chua-nong-trai-ba-vi-love-in-farm-co-duong-hop-100g_a2151503-e924-4bcb-bf7d-eb87574d0773-og.jpg
10005228,Sữa chua Mộc Châu có đường hộp 100g,sua-chua-vang-sua--c01169,6300.0,MỘC CHÂU,https://ss-hn.fptvds.vn/images/2022/9545769025566.jpg
10005229,Sữa chua không đường Mộc Châu hộp 100g,sua-chua-vang-sua--c01169,6300.0,MỘC CHÂU,https://ss-hn.fptvds.vn/images/2022/9608851750942.jpg
10005230,Sữa chua ăn nha đam Dalatmilk Yogus 100g,sua-chua-vang-sua--c01169,11000.0,ĐÀ LẠT MILK,https://ss-hn.fptvds.vn/images/2022/sua-chua-an-nha-dam-dalatmilk-yogus-100g_770c3e41-86da-485d-b766-8b621fac4365-og.jpg
10005233,Sữa chua ăn đào Dalatmilk Yogus 100g,sua-chua-vang-sua--c01169,11000.0,ĐÀ LẠT MILK,https://ss-hn.fptvds.vn/images/2022/sua-chua-an-dao-dalatmilk-yogus-100g_5e0bfdb8-0728-4b8b-821c-b1e0ce8d1920-og.jpg
10005234,Váng sữa Mixxi hương vani 75g,sua-chua-vang-sua--c01169,55000.0,MIXXI,https://ss-hn.fptvds.vn/images/2022/162428179012510005234-g4-sua-chua-nep-cam-moc-chou-hu-160g-og.jpg
10005236,MIXXO GOLD Váng sữa hương vani 75g*4,sua-chua-vang-sua--c01169,66600.0,MIXXO,https://ss-hn.fptvds.vn/images/2022/162428178735110005236-g4-sua-tuoi-tiet-trung-huong-dua-moc-chou-thung-12-hop-x-180ml-og.jpg
10005245,Sữa chua ăn  không đường Vinamilk hộp 100g ,sua-chua-vang-sua--c01169,6400.0,VINAMILK,https://ss-hn.fptvds.vn/images/2022/1629658058768unnamed-og.jpg
10005247,Sữa chua nha đam Vinamilk hộp 100g,sua-chua-vang-sua--c01169,7800.0,VINAMILK,https://ss-hn.fptvds.vn/images/2022/1629658513724unnamed-3--og.jpg
10005249,Sữa chua cho trẻ em vị dâu chuối SuSu Vinamilk hộp 80g,sua-chua-vang-sua--c01169,7700.0,SUSU,https://ss-hn.fptvds.vn/images/2022/vinamilk-sca-susu-vi-dau-chuoi-80g_5944a15d-22f7-4acd-8a9d-6598ba488a2c-og.jpg
10005252,Sữa chua cho trẻ em SuSu Vinamilk hộp 80g,sua-chua-vang-sua--c01169,7800.0,VINAMILK,https://ss-hn.fptvds.vn/images/2022/97824d5d-9132-4414-8573-070a0c447446_20210827115502-og.jpg
10005253,VINAMILK SCU Probi có đường chai 65ml*5,sua-chua-vang-sua--c01169,25400.0,VINAMILK,https://ss-hn.fptvds.vn/images/2022/162427276053210005253-g5-sua-chua-uong-cu-duong-probi-vinamilk-700ml-og.jpg
10005254,Sữa chua Probi Vinamilk có đường hộp 100g,sua-chua-vang-sua--c01169,8200.0,VINAMILK,https://ss-hn.fptvds.vn/images/2022/sua-chua-probi-vinamilk-co-duong-hop-100g_1c5bc244-4d19-460e-bc82-ea0aab0efa28-og.jpg
10005255,Sữa chua Vinamilk có đường hộp 100g,sua-chua-vang-sua--c01169,6400.0,VINAMILK,https://ss-hn.fptvds.vn/images/2022/1629658432772unnamed-2--og.jpg
10005259,Sữa chua uống vị cam YoMost 170ml,sua-chua-vang-sua--c01169,33000.0,YOMOST,https://ss-hn.fptvds.vn/images/2022/162427168906910005259-g4-loc-4-hop-sua-chua-uong-vi-cam-yomost--170ml-og.jpg
