sku,productName,category,listedPrice,brand,__mediaUrl
10010455,Sữa đặc có đường Ông Thọ Vinamilk lon 380g,sua-dac--c01161,27800.0,ÔNG THỌ,"https://ss-hn.fptvds.vn/images/2022/162427588484110010455-hop-sua-dac-cu-duong-eng-tho-hop-1,284kg-og.jpg"
10010456,Kem đặc Ngôi Sao Phương Nam có đường lon 380g,sua-dac--c01161,20600.0,NGÔI SAO PHƯƠNG NAM,"https://ss-hn.fptvds.vn/images/2022/162427603520810010456-hop-kem-dac-cu-duong-vinamilk-ngui-sao-phuong-nam-hop-1,284kg-og.jpg"
10010458,"Kem đặc có đường Vinamilk Ngôi Sao Phương Nam hộp 1,284kg",sua-dac--c01161,69800.0,NGÔI SAO PHƯƠNG NAM,https://ss-hn.fptvds.vn/images/2022/162427603056810010458-hop-khan-uot-baby-100-to-khung-mui-nuna-og.jpg
10010459,Sữa đặc có đường Ông Thọ đỏ lon 380g,sua-dac--c01161,26500.0,ÔNG THỌ,https://ss-hn.fptvds.vn/images/2022/162427588380810010459-hop-tyi-roc-tu-phon-huy-sinh-hoc-3-màu-opec-plastics-loai-dai-65-x-78-cm-tyi-1kg-og.jpg
10010460,Sữa đặc có đường Ông Thọ trắng lon 380g,sua-dac--c01161,33500.0,ÔNG THỌ,https://ss-hn.fptvds.vn/images/2022/162427588248110010460-hop-tyi-roc-tu-phon-huy-sinh-hoc-opec-plastics-loai-tieu-45-x-55-cm-tyi-1kg-og.jpg
10010461,Sữa đặc Ông Thọ đỏ có đường vỉ 40g x 6 hộp,sua-dac--c01161,27700.0,ÔNG THỌ,https://ss-hn.fptvds.vn/images/2022/162427588493110010461-g6-tyi-roc-tu-phon-huy-sinh-hoc-opec-plastics-loai-trung-55-x-65-cm-tyi-1kg-(nhieu-màu)-og.jpg
10010803,Sữa đặc có đường Vinamilk Ông Thọ 380g,sua-dac--c01161,22700.0,ÔNG THỌ,https://ss-hn.fptvds.vn/images/2022/sua-dac-co-duong-vinamilk-ong-tho-380g.jpg
10010855,"Sữa đặc có đường Ông Thọ hộp 1,284kg",sua-dac--c01161,80400.0,ÔNG THỌ,https://ss-hn.fptvds.vn/images/2022/162427588179210010855-hop-tyi-dung-roc-sinh-hoc-tu-huy-opec-plastics-65cm-x-55cm-tyi-1kg-og.jpg
10141113,Sữa Đặc Có Đường Ông Thọ Đỏ Tuýp 165g,sua-dac--c01161,21900.0,VINAMILK,https://ss-hn.fptvds.vn/images/2022/162427179787510141113-hop-sua-dac-cu-duong-eng-tho-do-tuyp-165g-og.jpg
10141579,Creamer đặc sữa pha chế Nutimilk lon 380g,sua-dac--c01161,20300.0,NUTIFOOD,https://ss-hn.fptvds.vn/images/2022/nutimilkcreamer-dacsua-phache-lon380gt48_1f5de3e8-4cda-469d-9f36-282b060edef6-og.jpg
10141580,Creamer đặc sữa pha chế Nutimilk hộp 380g,sua-dac--c01161,20300.0,NUTIFOOD,https://ss-hn.fptvds.vn/images/2022/nutimilkcreamer-dacsua-phache-hop380gt24_160f708f-9049-4e18-ac1e-1188ba9f835c-og.jpg
10141581,Creamer đặc sữa pha chế Nutimilk hộp 1284g,sua-dac--c01161,67100.0,NUTIFOOD,https://ss-hn.fptvds.vn/images/2022/creamer-dac-sua-pha-che-nutimilk-hop-1284g_6be0c4ed-045e-4d98-ab52-da915af848ae-og.jpg
10322798,"Creamer đặc có đường Ngôi Sao Phương Nam Vinamilk hộp 1,284kg",sua-dac--c01161,59100.0,NGÔI SAO PHƯƠNG NAM,https://ss-hn.fptvds.vn/images/2022/162427603443110322798-hop-macadamia-nu-hoàng-by-tran-&-do-hop-125g-og.jpg
10603574,Sữa đặc có đường Ngôi Sao Phương Nam hộp giấy 380g (Xanh lá),sua-dac--c01161,21300.0,NGÔI SAO PHƯƠNG NAM,https://ss-hn.fptvds.vn/images/2023/02/viber_image_2023-01-05_17-05-54-489_1-removebg-preview-51-.jpg
10603576,Sữa đặc có đường Ông Thọ đỏ hộp giấy 380g,sua-dac--c01161,25900.0,ÔNG THỌ,https://ss-hn.fptvds.vn/images/2022/162427588654710603576-hop-sua-dac-cu-duong-eng-tho-do-lon-380g-og.jpg
10603577,Sữa đặc có đường Ông Thọ chữ xanh - Hộp giấy 380g,sua-dac--c01161,27800.0,ÔNG THỌ,https://ss-hn.fptvds.vn/images/2022/162427588760910603577-hop-sua-dac-eng-tho-do-cu-duong-vi-6-x-40g-og.jpg
