sku,productName,category,listedPrice,brand,__mediaUrl
10196812,Lốc 3 hộp sữa tươi tiệt trùng Promess Vitamin 200ml,sua-tuoi--c0133,41900.0,PROMESS,https://ss-hn.fptvds.vn/images/2022/loc-3-hop-sua-tuoi-tiet-trung-promess-vitamin-200ml.jpg
10196814,Sữa tươi tiệt trùng Meiji không Lactose 946ml,sua-tuoi--c0133,71900.0,MEIJI,
10196815,Sữa tươi thanh trùng Lothamilk trân châu đường đen chai 250ml,sua-tuoi--c0133,18500.0,LOTHAMILK,https://ss-hn.fptvds.vn/images/2022/sua-tuoi-thanh-trung-lothamilk-tran-chau-duong-den-chai-250ml.jpg
10196816,Sữa tươi thanh trùng Lothamilk tràn sữa trân châu đường đen chai 250ml,sua-tuoi--c0133,18500.0,LOTHAMILK,https://ss-hn.fptvds.vn/images/2022/tstch.png
10196817,Lốc 4 hộp sữa tiệt trùng ít đường Nutimilk  100% Newzealand 180ml,sua-tuoi--c0133,32500.0,NUTIFOOD,https://ss-hn.fptvds.vn/images/2022/loc-4-hop-sua-tiet-trung-it-duong-nutimilk-100-newzealand-180ml.jpg
10196818,Lốc 4 hộp sữa tươi tiệt trùng không đường  100% sữa  Newzealand  180ml,sua-tuoi--c0133,32500.0,NUTIFOOD,https://ss-hn.fptvds.vn/images/2022/khongduong-nzl.png
10196819,Sữa Nutimilk có đường 100% sữa Newzealand 180ml,sua-tuoi--c0133,32500.0,NUTIFOOD,https://ss-hn.fptvds.vn/images/2023/02/sua-nutimilk-co-duong-100-sua-newzealand-180ml.jpeg
10196820,Lốc 4 sữa tươi tiệt trùng ít đường vị đường Đen 180ml,sua-tuoi--c0133,32000.0,NUTIFOOD,https://ss-hn.fptvds.vn/images/2023/02/eb9a9baf4fefbde92466508a925b6da4-jpg_720x720q80-20230228063550.jpg
10005418,DUTCH LADY Sữa t.trùng có đường 180ml*4,sua-tuoi--c0133,33800.0,DUTCH LADY,https://ss-hn.fptvds.vn/images/2022/162428444331210005418-g4-sua-tiet-trung-dutch-lady-khung-duong-hop-1l-og.jpg
10010614,Sữa tươi tiệt trùng TH True Milk có đường hộp 180ml ,sua-tuoi--c0133,446400.0,TH MILK,https://ss-hn.fptvds.vn/images/2022/162427311116510010614-t-loc-4-hop-sua-tuoi-tiet-trung-th-true-milk-cu-duong-180ml-og.jpg
10010492,VINAMILK Sữa tiệt trùng k.đường 180ml*4,sua-tuoi--c0133,33600.0,VINAMILK,https://ss-hn.fptvds.vn/images/2022/162427266188010010492-g4-sua-tiet-trung-vinamilk-khung-duong-tyi-220ml-og.jpg
10005423,Sữa tiệt trùng Cô gái Hà Lan không đường hộp 1lít,sua-tuoi--c0133,34900.0,DUTCH LADY,https://ss-hn.fptvds.vn/images/2022/sua-tuoi-tiet-trung-khong-duong-dutch-lady-hop-1-lit-202211250847253334.jpg
10010634,Sữa tươi tiệt trùng nguyên kem Meadow Fresh hộp 1L,sua-tuoi--c0133,53500.0,MEADOW FRESH,https://ss-hn.fptvds.vn/images/2022/162428208686910010634-hop-mung-giu-meatdeli-premium-(s)-og.jpg
10010491,Sữa tươi tiệt trùng Vinamilk không đường hộp 1 lít,sua-tuoi--c0133,36500.0,VINAMILK,https://ss-hn.fptvds.vn/images/2022/481ccb3b-a04e-4ab9-a1a8-998a60fbe980_20210827074145-og.jpg
10005290,Sữa tươi tiệt trùng nguyên chất TH True Milk hộp 1 lít,sua-tuoi--c0133,38600.0,TH MILK,https://ss-hn.fptvds.vn/images/2022/162427309953810005290-hop-thung-48-hop-sua-tuoi-tiet-trung-su-cu-la-nguyon-chat-th-true-milk-180ml-og.jpg
10637856,Sữa tươi nguyên chất Promess hộp 1L,sua-tuoi--c0133,44600.0,PROMESS,https://ss-hn.fptvds.vn/images/2022/promess-sua-tiet-trung-nguyen-chat-1l_0de0435c-2692-4cf8-86f6-8398c0f0ca70-og.jpg
10005243,Sữa thanh trùng Dalat Milk không đường hộp 180ml,sua-tuoi--c0133,12500.0,ĐÀ LẠT MILK,https://ss-hn.fptvds.vn/images/2022/162428485864410005243-hop-sua-tuoi-tiet-trung-ot-duong-dalat-milk-bich-220ml-og.jpg
10005237,Sữa tươi thanh trùng Mộc Châu không đường chai 900g,sua-tuoi--c0133,34500.0,MỘC CHÂU,https://ss-hn.fptvds.vn/images/2022/sua-tuoi-thanh-trung-moc-chau-khong-duong-chai-900g_053f352c-ee9c-4e7b-91fa-e0ec09c965a9-og.jpg
10005238,Sữa tươi thanh trùng Mộc Châu có đường chai 880ml,sua-tuoi--c0133,34500.0,MỘC CHÂU,https://ss-hn.fptvds.vn/images/2022/sua-tuoi-thanh-trung-moc-chau-co-duong-chai-880ml_6625a2d2-8402-427e-b54a-6bc52fe31e85-og.jpg
10005240,Sữa thanh trùng Dalat Milk không đường 950ml,sua-tuoi--c0133,47100.0,ĐÀ LẠT MILK,https://ss-hn.fptvds.vn/images/2022/162428485769710005240-hop-bonh-qui-bo-danisa-hop-454g-og.jpg
10005241,Sữa tươi thanh trùng Dalat Milk không đường hộp 450ml,sua-tuoi--c0133,26400.0,ĐÀ LẠT MILK,https://ss-hn.fptvds.vn/images/2022/162428485820210005241-hop-bonh-quy-bo-danisa-hop-200g-og.jpg
10005242,Sữa tươi thanh trùng Dalat Milk có đường hộp 450ml,sua-tuoi--c0133,26200.0,ĐÀ LẠT MILK,https://ss-hn.fptvds.vn/images/2022/162428485967010005242-hop-sua-tuoi-tiet-trung-cu-duong-dalat-milk-bich-220ml-og.jpg
10005244,Sữa tươi thanh trùng sô cô la Dalat Milk có đường hộp 180ml,sua-tuoi--c0133,12500.0,ĐÀ LẠT MILK,https://ss-hn.fptvds.vn/images/2022/162428485675210005244-hop-bonh-quy-bo-danisa-hop-681g-og.jpg
10005291,Sữa tươi tiệt trùng TH True Milk có đường hộp 1L,sua-tuoi--c0133,38600.0,TH MILK,https://ss-hn.fptvds.vn/images/2022/sua-tuoi-tiet-trung-th-true-milk-co-duong-hop-1l_8d1c2a5b-cdd5-448f-9e67-5c84b9f6db38-og.jpg
10005292,Sữa tươi tiệt trùng TH True Milk ít đường hộp 1 lít,sua-tuoi--c0133,38600.0,TH MILK,https://ss-hn.fptvds.vn/images/2022/sua-tuoi-tiet-trung-th-true-milk-it-duong-hop-1l_57950bd0-c88a-42df-ab59-1140f4065647-og.jpg
10005304,Sữa tươi tiệt trùng Anchor hộp 1L,sua-tuoi--c0133,55700.0,ANCHOR,https://ss-hn.fptvds.vn/images/2022/sua-tuoi-tiet-trung-anchor-hop-1l.jpg
10005357,VINAMILK Sữa tiệt trùng ít đường 180ml*4,sua-tuoi--c0133,33600.0,VINAMILK,https://ss-hn.fptvds.vn/images/2022/162427266431110005357-g4-sua-tiet-trung-ot-duong-vinamilk-gui--220ml-og.jpg
10005401,Sữa tiệt trùng Vinamilk có đường túi 220ml,sua-tuoi--c0133,7900.0,VINAMILK,https://ss-hn.fptvds.vn/images/2022/vinamilk-stt-co-duong-f220ml_bcda552f-0aa8-412d-a04b-1e506bee655e-og.jpg
10005402,Sữa tiệt trùng Vinamilk không đường túi 220ml,sua-tuoi--c0133,7900.0,VINAMILK,https://ss-hn.fptvds.vn/images/2022/vinamilk-stt-k_759d99d2-2f85-43d4-adcd-70506f42a52f-og.đường f220ml
10005407,Sữa thanh trùng nguyên chất TH Milk 950ml,sua-tuoi--c0133,46500.0,TH MILK,https://ss-hn.fptvds.vn/images/2022/162427320152210005407-hop-nuoc-vi-cam-sua-th-true-milk-chai-300ml-og.jpg
10005408,Sữa thanh trùng TH Milk ít đường 950ml,sua-tuoi--c0133,45900.0,TH MILK,https://ss-hn.fptvds.vn/images/2022/sua-thanh-trung-th-milk-it-duong-950ml.jpg
10005409,Sữa tiệt trùng Vinamilk hương dâu gói 220ml,sua-tuoi--c0133,7900.0,VINAMILK,https://ss-hn.fptvds.vn/images/2022/162427266562410005409-g1-thung-48-hop-sua-tuoi-tiet-trung-ot-duong-vinamilk-180ml-og.jpg
10005410,Sữa tiệt trùng sô cô la Vinamilk  gói 220ml,sua-tuoi--c0133,7900.0,VINAMILK,https://ss-hn.fptvds.vn/images/2022/162427265381910005410-g1-mot-say-vinamit-gui-100g-og.jpg
10005415,DUTCH LADY Sữa t.trùng có đường 110ml*4,sua-tuoi--c0133,22000.0,DUTCH LADY,https://ss-hn.fptvds.vn/images/2022/sua-tiet-trung-dutch-lady-co-duong-loc-4-hop-x-110ml_8ef311c3-24c1-43ed-9c7e-3066ed5dc238-og.jpg
10005419,Sữa tươi tiệt trùng vị dâu Cô gái Hà Lan 180ml,sua-tuoi--c0133,386500.0,DUTCH LADY,https://ss-hn.fptvds.vn/images/2022/sua-tiet-trung-dutch-lady-huong-dau-loc-4-hop-180ml_e1e481b5-896a-4419-9f6f-f992ef2b667b-og.jpg
10005420,DUTCH LADY Sữa tiệt trùng socola 180ml*4,sua-tuoi--c0133,33800.0,DUTCH LADY,https://ss-hn.fptvds.vn/images/2022/162428443238010005420-g4-loc-4-sua-chua-uong-lon-men-tu-nhion-dutch-lady-huong-viet-quat-và-bac-hà-180ml-og.jpg
10005424,Sữa tiệt trùng Cô gái Hà Lan có đường hộp 1L,sua-tuoi--c0133,36000.0,DUTCH LADY,https://ss-hn.fptvds.vn/images/2022/co-duong.jpg
10005425,Sữa tươi tiệt trùng Cô gái Hà Lan không đường túi 220ml,sua-tuoi--c0133,369600.0,DUTCH LADY,https://ss-hn.fptvds.vn/images/2022/sua-tiet-trung-dutch-lady-khong-duong-goi-220ml_9831abb7-2070-4885-b7aa-7f369d5212e9-og.jpg
10005426,Sữa tươi tiệt trùng Cô gái Hà Lan có đường túi 220ml,sua-tuoi--c0133,7700.0,DUTCH LADY,https://ss-hn.fptvds.vn/images/2022/8934841901931_1f0ed982-b48f-4117-83d1-231eb086efb6-og.jpg
10005427,Sữa tiệt trùng Active 20+ hương dâu Cô gái Hà Lan gói 220ml,sua-tuoi--c0133,369600.0,DUTCH LADY,https://ss-hn.fptvds.vn/images/2022/162428443668610005427-t-thung-48--dutch-lady--sua-tiet-trung-khung-duong-180ml-og.jpg
10005433,DUTCH LADY Sữa TT không đường 180ml*4,sua-tuoi--c0133,386500.0,DUTCH LADY,https://ss-hn.fptvds.vn/images/2022/162428443119510005433-t-dau-an-huong-duong-dykanka-chai-1-lot-og.jpg
10005436,Sữa dinh dưỡng NutiMilk có đường fino 220ml,sua-tuoi--c0133,7800.0,NUTIFOOD,https://ss-hn.fptvds.vn/images/2022/sua-dinh-duong-nutimilk-co-duong-fino-220ml_eb90dbfb-0fb4-45b9-aa67-19857e27c0ee-og.jpg
10005437,Sữa dinh dưỡng NutiMilk không đường fino 220ml,sua-tuoi--c0133,7800.0,NUTIFOOD,https://ss-hn.fptvds.vn/images/2022/sua-dinh-duong-nutimilk-khong-duong-fino-220ml_f939d590-e2f3-4eea-af74-021cdd66d884-og.jpg
10005451,Sữa thanh trùng Ba Vì không đường 890ml,sua-tuoi--c0133,36700.0,BA VÌ,https://ss-hn.fptvds.vn/images/2022/162428576754810005451-cha-ngu-coc-bakalland-muesli-5-tropical-fruits-&-honey-gui-300g-og.jpg
10005502,Sữa tươi tiệt trùng nguyên Chất TH True Milk gói 220ml,sua-tuoi--c0133,427200.0,TH MILK,https://ss-hn.fptvds.vn/images/2022/162427310022610005502-t-sua-tuoi-tiet-trung-nguyon-chat-th-true-milk-hop-1-lot-og.jpg
10005503,Sữa tươi tiệt trùng TH True Milk ít đường gói 220ml,sua-tuoi--c0133,8900.0,TH MILK,https://ss-hn.fptvds.vn/images/2022/162427310461110005503-g1-thung-48-hop-sua-tuoi-tiet-trung-th-true-milk-ot-duong-180ml-og.jpg
10005504,Sữa tươi tiệt trùng TH True Milk có đường gói 220ml,sua-tuoi--c0133,8900.0,TH MILK,https://ss-hn.fptvds.vn/images/2022/sua-tuoi-tiet-trung-th-true-milk-co-duong-goi-220ml-20221007081109-og.jpg
10005823,Kem sữa tươi đánh tiệt trùng Anchor hộp 250ml,sua-tuoi--c0133,76500.0,ANCHOR,https://ss-hn.fptvds.vn/images/2022/kem-sua-tuoi-danh-tiet-trung-anchor-hop-250ml_43491195-af3b-4aa2-9ed1-2407c03e26bb-og.jpg
10010439,MỘC CHÂU Sữa tiệt trùng có đường 180ml*4,sua-tuoi--c0133,33600.0,MỘC CHÂU,https://ss-hn.fptvds.vn/images/2022/9471303843870.jpg
10010440,MỘC CHÂU Sữa tiệt trùng h.dừa 180ml*4,sua-tuoi--c0133,33600.0,MỘC CHÂU,https://ss-hn.fptvds.vn/images/2022/162428178312010010440-g4-khan-mat-modal-fm6e-6168-40-x-78cm-og.jpg
10010442,MỘC CHÂU Sữa tiệt trùng có đường 110ml*4,sua-tuoi--c0133,21400.0,MỘC CHÂU,https://ss-hn.fptvds.vn/images/2022/10212298850334.jpg
10010472,VINAMILK STT ADM hương dâu 180ml*4 T48,sua-tuoi--c0133,31600.0,ADM,https://ss-hn.fptvds.vn/images/2022/8934673100526.jpg
10010474,VINAMILK Sữa TT ADM socola 180ml*4 T48,sua-tuoi--c0133,31600.0,ADM,https://ss-hn.fptvds.vn/images/2022/qudf.png
10010475,VINAMILK Sữa TT ADM socola 110ml*4 T48,sua-tuoi--c0133,20400.0,ADM,https://ss-hn.fptvds.vn/images/2022/qudf.png
10010476,VINAMILK STT ADM có đường 180ml*4 T48,sua-tuoi--c0133,31600.0,ADM,https://ss-hn.fptvds.vn/images/2022/162427269072210010476-g4-loc-4-hop-sua-tuoi-toch-boo-khung-duong-vinamilk-180ml-og.jpg
10010477,VINAMILK STT ADM có đường 110ml*4 T48,sua-tuoi--c0133,20400.0,ADM,https://ss-hn.fptvds.vn/images/2022/26758890553374-og.jpg
10010482,Sữa tiệt trùng Vinamilk Flex không đường hộp 1L,sua-tuoi--c0133,35200.0,VINAMILK,https://ss-hn.fptvds.vn/images/2022/sua-tiet-trung-vinamilk-flex-khong-duong-hop-1l-20221007081231-og.jpg
10010483,VINAMILK Sữa tiệt trùng h.dâu 180ml*4,sua-tuoi--c0133,33600.0,VINAMILK,https://ss-hn.fptvds.vn/images/2022/162427266625410010483-g4-sua-tiet-trung-vinamilk-huong-dou-gui-220ml-og.jpg
10010484,VINAMILK Sữa tiệt trùng h.dâu 110ml*4,sua-tuoi--c0133,22600.0,VINAMILK,https://ss-hn.fptvds.vn/images/2022/loc-4-hop-sua-tuoi-tiet-trung-huong-dau-vinamilk-110ml-20221014061823-og.jpg
10010485,VINAMILK Sữa tiệt trùng socola 180ml*4,sua-tuoi--c0133,33600.0,VINAMILK,https://ss-hn.fptvds.vn/images/2022/162427265616910010485-g4-sua-tiet-trung-su-cu-la-vinamilk-thung-gui-x-220ml-og.jpg
10010486,VINAMILK Sữa tiệt trùng socola 110ml*4,sua-tuoi--c0133,22000.0,VINAMILK,https://ss-hn.fptvds.vn/images/2022/loc-4-hop-sua-tuoi-tiet-trung-so-co-la-vinamilk-110ml-20221014061824-og.jpg
10010487,Sữa tươi tiệt trùng Vinamilk có đường hộp 1 lít,sua-tuoi--c0133,36500.0,VINAMILK,https://ss-hn.fptvds.vn/images/2022/162427266838710010487-hop-thung-48-hop-sua-tuoi-tiet-trung-huong-dou-vinamilk-180ml-og.jpg
10010488,Sữa tươi tiệt trùng ít đường Vinamilk hộp180ml ,sua-tuoi--c0133,33600.0,VINAMILK,https://ss-hn.fptvds.vn/images/2022/162427267490610010488-g4-sua-thanh-trung-vinamilk-khung-duong-900ml-og.jpg
10010489,VINAMILK Sữa tiệt trùng có đường 110ml*4,sua-tuoi--c0133,22000.0,VINAMILK,https://ss-hn.fptvds.vn/images/2022/sua-tuoi-tiet-trung-vinamilk-co-duong-loc-4-hop-x-110ml_9c5052c5-5224-4f9e-a9a3-1fe48fd0a42b-og.jpg
10010607,THTRUE MILK Sữa tươi TT ít đường 110ml*4,sua-tuoi--c0133,25000.0,TH MILK,https://ss-hn.fptvds.vn/images/2022/162427310385310010607-g4-loc-4-hop-sua-tuoi-tiet-trung-th-true-milk-ot-duong-180ml-og.jpg
10010608,THTRUE MILK Sữa tươi TT socola 110ml*4,sua-tuoi--c0133,25000.0,TH MILK,https://ss-hn.fptvds.vn/images/2022/162427309972310010608-g4-loc-4-hop-sua-tuoi-tiet-trung-su-cu-la-nguyon-chat-th-true-milk-180ml-og.jpg
10010609,THTRUE MILK Sữa tươi TT socola 180ml*4,sua-tuoi--c0133,37200.0,TH MILK,https://ss-hn.fptvds.vn/images/2022/sua-tuoi-tiet-trung-so-co-la-nguyen-chat-th-true-milk-loc-4-hop-x-180ml_fe416cf5-7cae-4e66-8068-17dcf5d6ea95-og.jpg
10010610,THTRUE MILK Sữa t.trùng có đường 110ml*4,sua-tuoi--c0133,25000.0,TH MILK,https://ss-hn.fptvds.vn/images/2022/sua-tiet-trung-th-true-milk-co-duong-loc-4-hop-x-110ml_9938ac4e-2259-4e51-986b-2c898c4f6361-og.jpg
10010611,THTRUE MILK Sữa tươi TT h. dâu 110ml*4,sua-tuoi--c0133,25000.0,TH MILK,https://ss-hn.fptvds.vn/images/2022/162427310618910010611-g4-sua-tuoi-tiet-trung-th-true-milk-ot-duong-gui-220ml-og.jpg
10010612,Sữa tươi tiệt trùng nguyên chất TH True Milk hộp 180ml ,sua-tuoi--c0133,446400.0,TH MILK,https://ss-hn.fptvds.vn/images/2022/162427310157710010612-t-thung-48-gui-sua-tuoi-tiet-trung-guyon-chat-th-true-milk-220ml-og.jpg
10010613,THTRUE MILK Sữa tươi TT ít đường 180ml*4,sua-tuoi--c0133,436800.0,TH MILK,https://ss-hn.fptvds.vn/images/2022/162427310312510010613-t-sua-tuoi-tiet-trung-th-true-milk-ot-duong-hop-1-lot-og.jpg
10010615,THTRUE MILK Sữa t.trùng h. dâu 180ml*4,sua-tuoi--c0133,37200.0,TH MILK,https://ss-hn.fptvds.vn/images/2022/sua-tuoi-tiet-trung-huong-dau-th-true-milk-loc-4-hop-x-180ml_29fc8ef3-524b-4602-8078-0f24bd7f36a7-og.jpg
10010635,Sữa tươi tiệt trùng ít béo Meadow Fresh hộp 1L,sua-tuoi--c0133,53500.0,MEADOW FRESH,https://ss-hn.fptvds.vn/images/2022/162428208779310010635-hop--duui-heo-meatdeli-premium-(s)-og.jpg
10010636,Sữa tươi tiệt trùng Meadow Fresh giàu canxi hộp 1L,sua-tuoi--c0133,63100.0,MEADOW FRESH,https://ss-hn.fptvds.vn/images/2022/sua-tuoi-tiet-trung-meadow-fresh-giau-canxi-hop-1l_ae6c698e-6a62-44ef-81f5-8540e14e37df-og.jpg
10056250,Sữa thanh trùng dâu tây tươi Dalat Milk hộp 180ml,sua-tuoi--c0133,12500.0,ĐÀ LẠT MILK,https://ss-hn.fptvds.vn/images/2022/sua-thanh-trung-dau-tay-tuoi-dalat-milk-hop-180ml_53f9e13b-f50e-428f-a337-06e13c247e8c-og.jpg
