sku,productName,category,listedPrice,brand,__mediaUrl
10027529,Ổ cắm Điện Quang 002A-02,thiet-bi-dung-dien-trong-nha--c01136,155000.0,ĐIỆN QUANG,https://ss-hn.fptvds.vn/images/2022/o-cam-dien-quang-002a-02-20221007080700-og.png
10027530,Ổ cắm Điện Quang 002A-02-2M,thiet-bi-dung-dien-trong-nha--c01136,122200.0,ĐIỆN QUANG,https://ss-hn.fptvds.vn/images/2022/162428469978710027530-cai-gui-3-chiec-khau-trang-dr-mask-3d-s33d-s-og.jpg
10027531,Ổ cắm Điện Quang ESK 5WR 6ECO,thiet-bi-dung-dien-trong-nha--c01136,161900.0,ĐIỆN QUANG,https://ss-hn.fptvds.vn/images/2022/26993759813662-og.jpg
10027532,Ổ cắm Điện Quang  001A-02-2M,thiet-bi-dung-dien-trong-nha--c01136,112000.0,ĐIỆN QUANG,https://ss-hn.fptvds.vn/images/2022/10223312633886-og.jpg
10027541,Ổ cắm Điện Quang ESK 2B.SM750SL,thiet-bi-dung-dien-trong-nha--c01136,239400.0,ĐIỆN QUANG,https://ss-hn.fptvds.vn/images/2022/9492403879966-og.jpg
10027542,Ổ cắm Điện Quang ESK 5W.SM750SL,thiet-bi-dung-dien-trong-nha--c01136,290300.0,ĐIỆN QUANG,https://ss-hn.fptvds.vn/images/2022/o-cam-dien-quang-esk-5w.sm750sl
10027543,Ổ cắm Điện Quang  ESK 5B.SM750SL,thiet-bi-dung-dien-trong-nha--c01136,290300.0,ĐIỆN QUANG,https://ss-hn.fptvds.vn/images/2022/26993504387102-og.jpg
10027584,Ổ cắm điện chịu nhiệt Điện Quang ĐQ ESK 2BR 6ECO,thiet-bi-dung-dien-trong-nha--c01136,137500.0,ĐIỆN QUANG,https://ss-hn.fptvds.vn/images/2022/o-cam-dien-chiu-nhiet-dien-quang-dq-esk-2br-6eco-20221014061918-og.jpg
10027592,Ổ cắm Điện Quang ESK 5WR 6ECO,thiet-bi-dung-dien-trong-nha--c01136,182300.0,ĐIỆN QUANG,https://ss-hn.fptvds.vn/images/2022/9535613468702-og.jpg
10027603,Ổ cắm Điện Quang ESK 3BR 32 ECO,thiet-bi-dung-dien-trong-nha--c01136,91700.0,ĐIỆN QUANG,https://ss-hn.fptvds.vn/images/2022/9588583039006-og.jpg
10027604,Ổ cắm kéo dài phổ thông Điện Quang ECO ĐQ ESK 5BR 32 ECO,thiet-bi-dung-dien-trong-nha--c01136,122200.0,ĐIỆN QUANG,https://ss-hn.fptvds.vn/images/2022/o-cam-keo-dai-pho-thong-dien-quang-eco-dq-esk-5br-32-eco-20221014061919-og.jpg
10027606,Ổ cắm Điện Quang ESK 5BR 42 ECO,thiet-bi-dung-dien-trong-nha--c01136,137500.0,ĐIỆN QUANG,https://ss-hn.fptvds.vn/images/2022/9640407924766-og.jpg
10027644,Pin AAA Eveready SHD 1212 BP4+2 vỉ 6 viên,thiet-bi-dung-dien-trong-nha--c01136,34400.0,EVEREADY,https://ss-hn.fptvds.vn/images/2022/eveready-pin-shd-1212-bp4-2-aaa_ff1c60c9-9716-4f72-8f49-6341e51ee8b8-og.jpg
10027648,Pin Max Energizer E92 BP2 size AAA,thiet-bi-dung-dien-trong-nha--c01136,44300.0,ENERGIZER,https://ss-hn.fptvds.vn/images/2022/pin-max-energizer-e92-bp2-size-aaa-20221007080902-og.jpg
10027649,Pin AAA Energizer max E92 BP4,thiet-bi-dung-dien-trong-nha--c01136,83000.0,ENERGIZER,https://ss-hn.fptvds.vn/images/2022/162428436531810027649-vi-thung-24-chai-sua-tuoi-huong-vani-ensure-gold-vigor-237ml-og.jpg
10027652,ENERGIZER Pin max e95 bp2 d,thiet-bi-dung-dien-trong-nha--c01136,137000.0,ENERGIZER,https://ss-hn.fptvds.vn/images/2022/17466823770142-og.jpg
10027663,Đèn bàn Điện Quang DKL05 B,thiet-bi-dung-dien-trong-nha--c01136,265000.0,ĐIỆN QUANG,https://ss-hn.fptvds.vn/images/2022/den-ban-dien-quang-dkl05-b.jpg
10027801,FUJITSU Pin LR03/4B - FI - AAA,thiet-bi-dung-dien-trong-nha--c01136,49100.0,FUJITSU,https://ss-hn.fptvds.vn/images/2022/4976680865504.jpg
10136845,Vợt muỗi SUNHOUSE SHE-S800,thiet-bi-dung-dien-trong-nha--c01136,176000.0,SUNHOUSE,https://ss-hn.fptvds.vn/images/2022/162427179312010136845-cai-vot-muũi-sunhouse-she-s800-og.jpg
10136847,Vợt muỗi Sunhouse SHE-MT1702  màu vàng,thiet-bi-dung-dien-trong-nha--c01136,207800.0,SUNHOUSE,https://ss-hn.fptvds.vn/images/2022/vot-muoi-sunhouse-she-mt1702-mau-vang-20221014061918-og.jpg
10260529,Ổ cắm điện Sunhouse SHE-OC1/2-3R,thiet-bi-dung-dien-trong-nha--c01136,168000.0,SUNHOUSE,https://ss-hn.fptvds.vn/images/2022/2-3r-20221014061920-og.jpg
10300667,Bóng đèn LED Rạng Đông A65N2/9W)E27,thiet-bi-dung-dien-trong-nha--c01136,61100.0,RẠNG ĐÔNG,https://ss-hn.fptvds.vn/images/2022/26994657591326-og.jpg
10617502,Ổ cắm Điện Quang xoay 90ºESK RT 6RW/PW/BW (6 lỗ),thiet-bi-dung-dien-trong-nha--c01136,112000.0,ĐIỆN QUANG,https://ss-hn.fptvds.vn/images/2022/bw-6-lo-.jpg
