sku,productName,category,listedPrice,brand,__mediaUrl
10006636,Thịt ba chỉ bò Mỹ Icook khay 250g,thit-dong-lanh--c01158,107400.0,ICOOK,https://ss-hn.fptvds.vn/images/2023/02/thit-ba-chi-bo-my-icook-khay-250g.jpg
10006778,Gầu bò Mỹ Icook gói 250g,thit-dong-lanh--c01158,113000.0,ICOOK,https://ss-hn.fptvds.vn/images/2023/02/gau-bo-my-icook-goi-250g.jpg
10182451,Bắp hoa bò WinMart Good 250g,thit-dong-lanh--c01158,98000.0,WINMART GOOD,https://ss-hn.fptvds.vn/images/2023/02/bap-hoa-bo-winmart-good-250g.webp
10183502,Cánh gà giữa đông lạnh 500g,thit-dong-lanh--c01158,55000.0,NAM KHẢI PHÚ,https://ss-hn.fptvds.vn/images/2023/02/canh-ga-giua-dong-lanh-500g.jpg
10183504,Cánh gà đông lạnh 500g,thit-dong-lanh--c01158,57500.0,NAM KHẢI PHÚ,https://ss-hn.fptvds.vn/images/2023/02/canh-ga-dong-lanh-500g.jpeg
10183506,Đùi tỏi gà đông lạnh NKP 500g,thit-dong-lanh--c01158,48500.0,NAM KHẢI PHÚ,https://ss-hn.fptvds.vn/images/2023/02/dui-toi-ga-dong-lanh-nkp-500g.png
10170321,Ba chỉ bò mỹ cắt cuộn chấm sốt sukiyaki Orifood khay 500g,thit-dong-lanh--c01158,193400.0,HOTPOT STORY,https://ss-hn.fptvds.vn/images/2022/ba-chi-bo-my-cat-cuon-cham-sot-sukiyaki-orifood-khay-500g_9ebde064-3004-4617-ae12-e18e9c44a575-og.jpg
10182449, Ba chỉ bò Canada WinMart Good khay  300g ,thit-dong-lanh--c01158,92400.0,WINMART GOOD,https://ss-hn.fptvds.vn/images/2022/ba-chi-bo-canada-winmart-good-khay-300g-_2f25daeb-3d6e-4b6b-8761-79567f0bcb04-og.jpg
10182452, Ba chỉ bò Canada WinMart Good khay  500g ,thit-dong-lanh--c01158,136000.0,WINMART GOOD,https://ss-hn.fptvds.vn/images/2022/ba-chi-bo-canada-winmart-good-khay-500g-_3b5a5de0-5ac4-4da4-955c-0e0490e44647-og.jpg
10182453,Nạc vai bò Canada WinMart Good khay  500g ,thit-dong-lanh--c01158,171500.0,WINMART GOOD,https://ss-hn.fptvds.vn/images/2022/nac-bo.png
10182454, Gầu bò Canada  WinMart Good 500g,thit-dong-lanh--c01158,165800.0,WINMART GOOD,https://ss-hn.fptvds.vn/images/2023/02/viber_image_2023-01-05_17-05-54-489_1-removebg-preview-26-.jpg
10182612,Gà CP donut tẩm bột chiên 500g,thit-dong-lanh--c01158,77000.0,CP,https://ss-hn.fptvds.vn/images/2022/cp-ga-donut-tam-bot-chien-500g_f513e991-b9df-4bb3-b525-d7896718ad15-og.jpg
10182613,Gà CP nugget tẩm bột chiên 500g,thit-dong-lanh--c01158,77000.0,CP,https://ss-hn.fptvds.vn/images/2022/cp-ga-nugget-tam-bot-chien-500g_a7a6f2ac-ca91-409b-a874-f327dc4c0dd2-og.jpg
10315293,Thịt bò Bít tết Fuji gói 200g,thit-dong-lanh--c01158,201700.0,FUJI,https://ss-hn.fptvds.vn/images/2022/thit-bo-bit-tet-fuji-goi-200g_b5ce6529-6cff-4589-9134-9a06f4754410-og.jpg
10315294,Thịt bò nướng mỏng Fuji 200g,thit-dong-lanh--c01158,215200.0,FUJI,https://ss-hn.fptvds.vn/images/2022/162428426927110315294-g1-trà-dào-và-hat-chia-fuzetea-loc-6-chai-450ml-og.jpg
10405633,Combo ba chỉ bò Mỹ King BBQ 750g,thit-dong-lanh--c01158,229100.0,KING BBQ,https://ss-hn.fptvds.vn/images/2022/162428318747710405633-kh-thit-ba-chi-bu-my-300g-(king-bbq)-og.jpg
10601286,Sườn bò Mỹ King BBQ có xương 750g,thit-dong-lanh--c01158,409800.0,ORIFOOD,https://ss-hn.fptvds.vn/images/2022/suon-bo-my-king-bbq-co-xuong-750g-20221014063050-og.jpg
10601287, Lẩu Tomyum ba chỉ bò Mỹ  Orifood 1.3kg,thit-dong-lanh--c01158,294600.0,ORIFOOD,https://ss-hn.fptvds.vn/images/2022/lau-tomyum-ba-chi-bo-my-orifood-1_7dfe5900-f465-45e6-a664-e15253b9626a-og.3kg
