sku,productName,category,listedPrice,brand,__mediaUrl
10071980,THỌ PHÁT B.bao thịt heo trứng muối 170g,thuc-pham-che-bien-khac--c0114,89700.0,THỌ PHÁT,https://ss-hn.fptvds.vn/images/2023/02/banh-bao-tho-phat-thit-heo-trung-muoi-170g.jpg
10140763,Nem Bùi Hải Tuyết 100g,thuc-pham-che-bien-khac--c0114,35100.0,NOBRAND,
10182615,Sữa chua uống cam Sài Gòn 200ml,thuc-pham-che-bien-khac--c0114,12800.0,NOBRAND,https://ss-hn.fptvds.vn/images/2023/02/sua-chua-uong-cam-sai-gon-200ml.jpg
10182616,Sữa chua uống dâu Sài Gòn 200ml,thuc-pham-che-bien-khac--c0114,12800.0,NOBRAND,https://ss-hn.fptvds.vn/images/2023/02/sua-chua-uong-dau-sai-gon-200ml.jpg
10183425,Chân gà bách thảo  Hey Yo 40g,thuc-pham-che-bien-khac--c0114,11300.0,NOBRAND,https://ss-hn.fptvds.vn/images/2023/02/chan-ga-bach-thao-hey-yo-40g.jpg
10183426,Chân gà nhất tâm trắng Hey Yo 40g,thuc-pham-che-bien-khac--c0114,11300.0,NOBRAND,https://ss-hn.fptvds.vn/images/2023/02/chan-ga-nhat-tam-trang-hey-yo-40g.png
10237534,Măng chua ngâm dấm ớt Nhật Minh hộp 400g,thuc-pham-che-bien-khac--c0114,28100.0,NHẬT MINH,https://ss-hn.fptvds.vn/images/2022/mang-chua-ngam-dam-ot-nhat-minh-hop-400g.webp
10282238,Ruốc thịt heo Thanh Nga 150g,thuc-pham-che-bien-khac--c0114,89100.0,NOBRAND,https://ss-hn.fptvds.vn/images/2022/ruoc-heo-ok-600x769-removebg-preview.png
10282324,Siro Thạch An chai 300ml,thuc-pham-che-bien-khac--c0114,18800.0,THẠCH AN,https://ss-hn.fptvds.vn/images/2023/02/siro-thach-an-chai-300ml.jpg
10282438,Chân gà vị mật ong Chef Biggy 30g,thuc-pham-che-bien-khac--c0114,10100.0,NOBRAND,https://ss-hn.fptvds.vn/images/2023/02/viber_image_2023-01-05_17-05-54-489_1-removebg-preview-14-.jpg
10282439,Chân gà vị cay Chef Biggy 30g,thuc-pham-che-bien-khac--c0114,10100.0,NOBRAND,https://ss-hn.fptvds.vn/images/2023/02/viber_image_2023-01-05_17-05-54-489_1-removebg-preview-15-.jpg
10283644,Bò viên Hoàng Gia 300g,thuc-pham-che-bien-khac--c0114,121000.0,NOBRAND,https://ss-hn.fptvds.vn/images/2022/d-b0009-cn-bo-vien.jpg
10283647,Hành muối 3G 450g,thuc-pham-che-bien-khac--c0114,34700.0,3G,https://ss-hn.fptvds.vn/images/2022/hanh_muoi-removebg-preview.png
10283807,Da cá trứng muối cay Feddy 50g,thuc-pham-che-bien-khac--c0114,39800.0,FEDDY,https://ss-hn.fptvds.vn/images/2022/451ba5fee18d8c20e37d8fc81b0409b5.jpg
10283808,Da cá trứng muối cay  Feddy 25g,thuc-pham-che-bien-khac--c0114,20400.0,FEDDY,https://ss-hn.fptvds.vn/images/2022/da-ca-trung-muoi-cay-feddy-25g.jpg
10283830,Kim chi cải thảo cắt  King 500g,thuc-pham-che-bien-khac--c0114,37700.0,KING'S,https://ss-hn.fptvds.vn/images/2022/kim-chi-cai-thao-cat-king-500g.jpg
10283831,Kim chi cải thảo chay cắt King 500g,thuc-pham-che-bien-khac--c0114,37700.0,KING'S,https://ss-hn.fptvds.vn/images/2022/kim-chi-cai-thao-chay-cat-king-500g.jpg
10283832,Kim chi cải thảo cây cao cấp  King gói 500g,thuc-pham-che-bien-khac--c0114,37700.0,KING'S,https://ss-hn.fptvds.vn/images/2022/kim-chi-cai-thao-cay-cao-cap-king-goi-500g.jpg
10283833,Cá bống cắt nướng 100g,thuc-pham-che-bien-khac--c0114,60100.0,NOBRAND,https://ss-hn.fptvds.vn/images/2023/02/ca-bong-cat-nuong-100g.jpg
10283834,Cá cơm rang tỏi ớt 150g,thuc-pham-che-bien-khac--c0114,54000.0,NOBRAND,https://ss-hn.fptvds.vn/images/2023/02/ca_com_rang_toi_ot_a-removebg-preview.png
10283835,Ruốc sấy 100g,thuc-pham-che-bien-khac--c0114,31600.0,NOBRAND,https://ss-hn.fptvds.vn/images/2023/02/ruoc-say-kho-goi-100g-1.jpg
10283836,Cá khoai rim 100g,thuc-pham-che-bien-khac--c0114,44900.0,NOBRAND,https://ss-hn.fptvds.vn/images/2023/02/ca_khoai_rim_2_-removebg-preview.png
10283839,Mực xé giòn (cay) 100g,thuc-pham-che-bien-khac--c0114,46900.0,NOBRAND,https://ss-hn.fptvds.vn/images/2023/02/muc-xe-gion-cay-100g.png
10283841,Mực bơ tỏi 100g,thuc-pham-che-bien-khac--c0114,60100.0,NOBRAND,https://ss-hn.fptvds.vn/images/2023/02/mục_bo_tỏi_2-removebg-preview.png
10315702,Thạch đen Cao Bằng Thạch An 480g,thuc-pham-che-bien-khac--c0114,34100.0,THẠCH AN,https://ss-hn.fptvds.vn/images/2023/02/thach-den-cao-bang-thach-an-480g.jpg
10326531,Giò me Nghệ An Quang Trang 1kg,thuc-pham-che-bien-khac--c0114,260200.0,NOBRAND,https://ss-hn.fptvds.vn/images/2022/gio-me-nghe-an.png
10628239,Thạch đen Cao Bằng Thạch An 230g,thuc-pham-che-bien-khac--c0114,25100.0,THẠCH AN,https://ss-hn.fptvds.vn/images/2023/02/thach-den-cao-bang-thach-an-230g.jpg
10317069,Cá mòi kho làng Chài Sovifood hộp 350g,thuc-pham-che-bien-khac--c0114,66300.0,SOVI,https://ss-hn.fptvds.vn/images/2022/17227362795550-og.jpg
10281240,Khô heo vị cháy tỏi Feddy G gói 25g,thuc-pham-che-bien-khac--c0114,16900.0,FEDDY,https://ss-hn.fptvds.vn/images/2022/162520180126210281240-g1-kho-heo-vi-chay-toi-g-kitchen-goi-25g-og.jpg
10315701,Thạch an Cao Bằng hộp 950g,thuc-pham-che-bien-khac--c0114,56100.0,THẠCH AN,https://ss-hn.fptvds.vn/images/2022/162427319083010315701-hop-thach-sua-cao-bang-thach-an-hop-220g-og.jpg
10281242,Da cá vị trứng muối Feddy gói 50g,thuc-pham-che-bien-khac--c0114,35700.0,FEDDY,https://ss-hn.fptvds.vn/images/2022/162520180313710281242-g1-da-ca-vi-trung-muoi-50g-og.jpg
10005643,Salami khô Ông già Ika gói 100g,thuc-pham-che-bien-khac--c0114,45600.0,ÔNG GIÀ IKA,https://ss-hn.fptvds.vn/images/2022/salami-kho-ong-gia-ika-goi-100g.jpg
10005949,Lạp xưởng Vissan 3 bông mai gói 500g,thuc-pham-che-bien-khac--c0114,104200.0,VISSAN,https://ss-hn.fptvds.vn/images/2022/lap-xuong-vissan-3-bong-mai-goi-500g-20221007080809-og.png
10007401,Lạp xưởng VISSAN Mai Quế Lộ gói 200g,thuc-pham-che-bien-khac--c0114,50100.0,VISSAN,https://ss-hn.fptvds.vn/images/2022/26457902907422-og.jpg
10007409,Lạp xưởng tôm Vissan gói 500g,thuc-pham-che-bien-khac--c0114,158700.0,VISSAN,https://ss-hn.fptvds.vn/images/2022/9481363292190-og.jpg
10007883,Bánh phồng đặc sản Sa Giang hộp 200g,thuc-pham-che-bien-khac--c0114,19600.0,SA GIANG,https://ss-hn.fptvds.vn/images/2022/banh-phong-dac-san-sa-giang-hop-200g-20221014061917-og.jpg
10007888,Bánh phồng tôm Sa Giang gói 200g,thuc-pham-che-bien-khac--c0114,16500.0,SA GIANG,https://ss-hn.fptvds.vn/images/2022/banh-phong-tom-sa-giang-goi-200g-20221014061916-og.jpg
10054133,Măng muối ớt muối dổ Kim bôi lọ 750g,thuc-pham-che-bien-khac--c0114,38800.0,KIM BÔI,https://ss-hn.fptvds.vn/images/2022/162428319966310054133-lo-combo-ba-chi-bu-my-king-bbq-750g-og.jpg
10071978,THỌ PHÁT B.bao thịt heo 2 trứng cút 150,thuc-pham-che-bien-khac--c0114,69300.0,THỌ PHÁT,https://ss-hn.fptvds.vn/images/2022/162427313440310071978-cai-bonh-bao-tho-phot-khung-nhon-gui-300g-og.jpg
10140046,Nem thịt đặc biệt CP gói 500g,thuc-pham-che-bien-khac--c0114,60900.0,CP,https://ss-hn.fptvds.vn/images/2022/162428498606210140046-g1-cp-xyc-xoch-cocktail-xung-khui-250g-mn-og.jpg
10140145,Chè lam gấc hộp 300g,thuc-pham-che-bien-khac--c0114,55000.0,NOBRAND,https://ss-hn.fptvds.vn/images/2022/162788933672210140145-hop-che-lam-gac-hop-300-g-og.jpg
10140229,Măng muối ớt dổi Kim Bôi lọ 470g,thuc-pham-che-bien-khac--c0114,22500.0,KIM BÔI,https://ss-hn.fptvds.vn/images/2022/kim-boi-mang-muoi-ot-doi-lo-470g_4626509b-ea59-4c8a-bac3-59c47df1b962-og.jpg
10140389,Chà bông thịt gà CBV 100g,thuc-pham-che-bien-khac--c0114,65100.0,CHÀ BÔNG VIỆT,https://ss-hn.fptvds.vn/images/2022/cha-bong-thit-ga-cbv-100g.jpg
10141079,Bóng bì Thiên Nhiên Xanh  gói 100g,thuc-pham-che-bien-khac--c0114,87000.0,THIÊN NHIÊN XANH,https://ss-hn.fptvds.vn/images/2022/bong-bi-ez-life-goi-50g-202205141640116369.jpg
10141584,Chà Bông Heo C&B 100g,thuc-pham-che-bien-khac--c0114,67100.0,C&B,https://ss-hn.fptvds.vn/images/2022/cha-bong-heo-c-b-100g.jpg
