sku,productName,category,listedPrice,brand,__mediaUrl
10183341,Cá viên Kitkool 500g,thuc-pham-dong-lanh--c05,155400.0,KITKOOL,https://ss-hn.fptvds.vn/images/2023/03/kitkool-ca-vien-500g-20230323032909.png
10183400,Chả bì que Ngự Bảo ớt xiêm xanh 50g,thuc-pham-dong-lanh--c05,13300.0,NGỰ BẢO,https://ss-hn.fptvds.vn/images/2023/03/cay-cha-bi-que-ot-xiem-xanh-_500x500-20230306073223.jpg
10183333,Tôm viên Kikool gói  200g,thuc-pham-dong-lanh--c05,37100.0,NOBRAND,https://ss-hn.fptvds.vn/images/2022/tom-vien-kikool-goi-200g.png
10007077,Chả lụa quết thượng hạng Cầu Tre gói 500g,thuc-pham-dong-lanh--c05,147200.0,CẦU TRE,https://ss-hn.fptvds.vn/images/2022/162428525199410007077-cai-xou-mai-thuc-pham-cau-tre-gui-500g-og.jpg
10053347,Thịt hến làm sạch,thuc-pham-dong-lanh--c05,159000.0,NOBRAND,https://ss-hn.fptvds.vn/images/2022/thit-hen-lam-sach_c612a941-9b5b-4e2c-a7c2-7518219f8826-og.jpg
10602471,Mực viên Hoa Doanh gói 200g,thuc-pham-dong-lanh--c05,35200.0,HOA DOANH,https://ss-hn.fptvds.vn/images/2022/10602471_d0d5e52b-30ff-49d4-b316-75c158a82da4-og.jpg
10605332,Bánh xếp Hàn Quốc Bibigo nhân hải sản 350g,thuc-pham-dong-lanh--c05,57400.0,CẦU TRE,https://ss-hn.fptvds.vn/images/2022/162428525659110605332-g1-cha-giu-dac-biet-thit-thuc-pham-cau-tre-500g-og.jpg
10600789,Bánh xếp Hàn Quốc Bibigo nhân thịt gói 175g,thuc-pham-dong-lanh--c05,29900.0,CẦU TRE,https://ss-hn.fptvds.vn/images/2022/banh-xep-han-quoc-bibigo-nhan-thit-goi-175g_60416c72-9f48-4863-b1e1-153a311e0072-og.jpg
10605331,Bánh xếp Hàn Quốc Bibigo nhân thịt và bắp 175g,thuc-pham-dong-lanh--c05,29900.0,CẦU TRE,https://ss-hn.fptvds.vn/images/2022/banh-xep-han-quoc-bibigo-nhan-thit-va-bap-175g_869827cf-a2e8-45fd-bb2d-29978e2b4c87-og.jpg
10602470,Tôm viên Hoa Doanh gói 200g,thuc-pham-dong-lanh--c05,31600.0,HOA DOANH,https://ss-hn.fptvds.vn/images/2022/10602470_66975935-bb37-43b8-bab8-78f1ad701805-og.jpg
10283805,Chả tôm gói Long Nhi gói 300g,thuc-pham-dong-lanh--c05,79500.0,LONG NHI,https://ss-hn.fptvds.vn/images/2022/000000971-removebg-preview.png
10242385,Chả ốc Hoa Doanh 300g,thuc-pham-dong-lanh--c05,63000.0,HOA DOANH,https://ss-hn.fptvds.vn/images/2022/cha-oc-hoa-doanh-300g.jpg
10183282,Gà Viên Lá Chanh Hoa Doanh 200g,thuc-pham-dong-lanh--c05,28900.0,HOA DOANH,https://ss-hn.fptvds.vn/images/2022/ga-vien-la-chanh-hoa-doanh-200g_4dc0b9ba-debc-430c-911d-d97712102d92-og.jpg
10404018,Hàu sữa Nhật Minh túi 280g,thuc-pham-dong-lanh--c05,69000.0,NHẬT MINH,https://ss-hn.fptvds.vn/images/2022/162427611165510404018-g1-nho-den-khung-hat-úc-og.jpg
10283073,Thịt sò gấc làm sạch khay 300g,thuc-pham-dong-lanh--c05,69000.0,NOBRAND,https://ss-hn.fptvds.vn/images/2022/thit-so-gac-lam-sach-khay-300g.jpg
10618940,Giò lụa CP cây 250g,thuc-pham-dong-lanh--c05,42100.0,CP,https://ss-hn.fptvds.vn/images/2022/162428499417410618940-cai-cp-nac-than-xung-khui-cat-lat-200g-og.jpg
10006956,Phô mai que Kiwifood hộp 500g,thuc-pham-dong-lanh--c05,81200.0,KIWIFOOD,https://ss-hn.fptvds.vn/images/2022/pho-mai-que-kiwifood-hop-500g-20221007080832-og.jpg
10182449, Ba chỉ bò Canada WinMart Good khay  300g ,thuc-pham-dong-lanh--c05,92400.0,WINMART GOOD,https://ss-hn.fptvds.vn/images/2022/ba-chi-bo-canada-winmart-good-khay-300g-_2f25daeb-3d6e-4b6b-8761-79567f0bcb04-og.jpg
10006470,Tôm thịt 31/40  Đôi Đũa Vàngkhay 252g,thuc-pham-dong-lanh--c05,167000.0,ĐÔI ĐŨA VÀNG,https://ss-hn.fptvds.vn/images/2023/02/40-doi-dua-vangkhay-252g.jpg
10006636,Thịt ba chỉ bò Mỹ Icook khay 250g,thuc-pham-dong-lanh--c05,107400.0,ICOOK,https://ss-hn.fptvds.vn/images/2023/02/thit-ba-chi-bo-my-icook-khay-250g.jpg
10006722,Lẩu hải sản thập cẩm SG Food 500g,thuc-pham-dong-lanh--c05,86400.0,SG FOOD,https://ss-hn.fptvds.vn/images/2023/02/lau-hai-san-thap-cam-sg-food-500g.png
10006756,Cá viên nhân tôm SG Food gói 500g,thuc-pham-dong-lanh--c05,93500.0,SG FOOD,https://ss-hn.fptvds.vn/images/2023/02/ca-vien-nhan-tom-sg-food-goi-500g.png
10006778,Gầu bò Mỹ Icook gói 250g,thuc-pham-dong-lanh--c05,113000.0,ICOOK,https://ss-hn.fptvds.vn/images/2023/02/gau-bo-my-icook-goi-250g.jpg
