sku,productName,category,listedPrice,brand,__mediaUrl
10006722,Lẩu hải sản thập cẩm SG Food 500g,thuc-pham-dong-lanh-khac--c0158,86400.0,SG FOOD,https://ss-hn.fptvds.vn/images/2023/02/lau-hai-san-thap-cam-sg-food-500g.png
10182244,Phô mai que WinMart Good 300g,thuc-pham-dong-lanh-khac--c0158,106000.0,WINMART GOOD,https://ss-hn.fptvds.vn/images/2023/02/pho-mai-que-winmart-good-300g.jpg
10182246,Khoai môn WinMart Good lệ phố nhân thịt bò 260g,thuc-pham-dong-lanh-khac--c0158,50500.0,WINMART GOOD,https://ss-hn.fptvds.vn/images/2023/02/khoai-mon-winmart-good-le-pho-nhan-thit-bo-260g.jpg
10182247,Khoai môn lệ phố WinMart Good 260g,thuc-pham-dong-lanh-khac--c0158,50900.0,WINMART GOOD,https://ss-hn.fptvds.vn/images/2023/02/khoai-mon-le-pho-winmart-good-260g.jpg
10182367,Cơm chiên hải sản khay  CJ Foods 150g,thuc-pham-dong-lanh-khac--c0158,20100.0,CJ FOOD,https://ss-hn.fptvds.vn/images/2023/02/com-chien-hai-san-khay-cj-foods-150g.jpg
10182879,Khoai tây cắt sợi Shoestring Farm Best 1kg,thuc-pham-dong-lanh-khac--c0158,80500.0,NOBRAND,https://ss-hn.fptvds.vn/images/2022/khoai-tay-cat-soi-shoestring-farm-best-1kg.jpg
10182880,Khoai tây cắt thẳng Straight Cut Farm Best  1kg,thuc-pham-dong-lanh-khac--c0158,80500.0,NOBRAND,https://ss-hn.fptvds.vn/images/2022/khoai-tay-cat-thang-straight-cut-farm-best-1kg.jpg
10183490,Khoai tây Meito 10mm 1kg,thuc-pham-dong-lanh-khac--c0158,87100.0,MEITO,https://ss-hn.fptvds.vn/images/2023/02/khoai-tay-meito-10mm-1kg.jpg
10005921,Nem hải sản  Miền Hạ Long gói 400g,thuc-pham-dong-lanh-khac--c0158,46600.0,MIỀN HẠ LONG,https://ss-hn.fptvds.vn/images/2022/n.png
10006456,Lẩu Thái SGFood Việt Nam 500g,thuc-pham-dong-lanh-khac--c0158,86400.0,SG FOOD,https://ss-hn.fptvds.vn/images/2022/lau-thai-sgfood-viet-nam-500g-20221007080647-og.jpg
