sku,productName,category,listedPrice,brand,__mediaUrl
10141980,Tương ớt cay vừa  Nam Dương 255g,tuong-cac-loai--c01154,12200.0,NAM DƯƠNG,https://ss-hn.fptvds.vn/images/2022/tuongotnho-3.png
10008692,Tương ớt chua ngọt Cholimex PET 2.1kg,tuong-cac-loai--c01154,64800.0,CHOLIMEX,https://ss-hn.fptvds.vn/images/2022/tuong-ot-chua-ngot-cholimex-pet-2.1kg
10008693,Tương ớt chua ngọt Cholimex chai 270g,tuong-cac-loai--c01154,12100.0,CHOLIMEX,https://ss-hn.fptvds.vn/images/2022/tuong-ot-chua-ngot-cholimex-chai-270g.jpg
10008695,Tương cà chai PET Cholimex chai 2.1kg,tuong-cac-loai--c01154,63900.0,CHOLIMEX,https://ss-hn.fptvds.vn/images/2022/162428517575810008695-cha-tuong-ot-cholimex-chai-830g-og.jpg
10008696,Tương cà Cholimex chai 270g,tuong-cac-loai--c01154,12100.0,CHOLIMEX,https://ss-hn.fptvds.vn/images/2022/cholimex-tuong-ca-chai-pet-270g-t24_d445ad00-9de4-4b6a-b04c-006ac1495d62-og.jpg
10008738,Tương ớt Chin-su 250g,tuong-cac-loai--c01154,15300.0,CHIN-SU,https://ss-hn.fptvds.vn/images/2022/162428519296810008738-cha-bonh-choco-pie-orion-hop-396g-og.jpg
10008739,"Tương ớt Cholimex chai 2,1kg",tuong-cac-loai--c01154,64800.0,CHOLIMEX,https://ss-hn.fptvds.vn/images/2022/162428517270910008739-cha-dau-hào-miwon-chungjungone-chai-260g-og.jpg
10008740,Tương ớt Cholimex chai 270g,tuong-cac-loai--c01154,11600.0,CHOLIMEX,https://ss-hn.fptvds.vn/images/2022/162428517208310008740-cha-dam-gao-lut-chungjungone-miwon-500ml-og.jpg
10008744,Tương ớt cay nồng Cholimex Pet 270g,tuong-cac-loai--c01154,13300.0,CHOLIMEX,https://ss-hn.fptvds.vn/images/2022/tuong-ot-cay-nong-cholimex-pet-270g.jpg
10008751,Tương ớt Vifon chai 560g,tuong-cac-loai--c01154,19300.0,VIFON,https://ss-hn.fptvds.vn/images/2022/tuong-ot-vifon-chai-560g.jpg
10008873,Tương ớt Sempio hộp 170g,tuong-cac-loai--c01154,40100.0,SEMPIO,https://ss-hn.fptvds.vn/images/2022/tuong-ot-sempio-hop-170g.jpg
10008924,Sốt cà chua Heinz chai 567g,tuong-cac-loai--c01154,74800.0,HEINZ,https://ss-hn.fptvds.vn/images/2022/162428401913910008924-cha-giay-ve-sinh-hensley--8-cuon-4-lop-cu-lui-og.jpg
10008930,Tương ớt Heinz chai 300g,tuong-cac-loai--c01154,27900.0,HEINZ,https://ss-hn.fptvds.vn/images/2022/162428401597910008930-cha-xyc-xoch-tiet-trung-cao-boi-tum-sua-3-coy*-20g-og.jpg
10008931,Tương cà chua Heinz chai 300g,tuong-cac-loai--c01154,27900.0,HEINZ,https://ss-hn.fptvds.vn/images/2022/162428401662510008931-cha-khan-giay-lua-2-lop-hensley-hop-200-to-og.jpg
10009249,Tương ớt Sempio hộp 500g,tuong-cac-loai--c01154,84100.0,SEMPIO,https://ss-hn.fptvds.vn/images/2022/tuong-ot-sempio-hop-500g_d94df3bf-4671-4992-a930-155c84f97626-og.jpg
10009337,Tương ớt Cholimex chai chai 830g,tuong-cac-loai--c01154,30400.0,CHOLIMEX,https://ss-hn.fptvds.vn/images/2022/162428517291110009337-cha-xot-uop-xo-xou-cholimex-gui-70g-og.jpg
10086862,Tương cà Chin-su chai eo 250g,tuong-cac-loai--c01154,15100.0,CHIN-SU,https://ss-hn.fptvds.vn/images/2022/162428519329810086862-cha-bonh-choco-pie-orion-hop-198g-og.jpg
10141747,Tương ớt  Chin Su chai 1kg ,tuong-cac-loai--c01154,51500.0,CHIN-SU,https://ss-hn.fptvds.vn/images/2023/03/tuong-ot-chinsu-chai-1kg-winmart-20230314015338.jpg
10141773,Tương cà Chinsu chai 500g,tuong-cac-loai--c01154,29200.0,CHIN-SU,https://ss-hn.fptvds.vn/images/2022/8936136164083.jpg
