sku,productName,category,listedPrice,brand,__mediaUrl
10183381,Xúc xích lắc Heo Cao Bồi thịt nướng phô mai 5*15g,xuc-xich-thit-nguoi--c0156,11000.0,HEO CAO BỒI,https://ss-hn.fptvds.vn/images/2023/02/xuc-xich-lac-heo-cao-boi-thit-nuong-pho-mai-5-15g.png
10183522,Xúc xích thanh trùng Hanns hảo hạng 500g,xuc-xich-thit-nguoi--c0156,86900.0,NOBRAND,https://ss-hn.fptvds.vn/images/2022/xuc-xich-thanh-trung-hanns-hao-hang-500g.jpg
10005621,Ba rọi xông khói Việt Nam Angst-Trường Vinh gói 500g,xuc-xich-thit-nguoi--c0156,149100.0,ANGST TRƯỜNG VINH,https://ss-hn.fptvds.vn/images/2022/ba-roi-xong-khoi-viet-nam-angst-truong-vinh-goi-500g_d6507a6c-ab83-4c89-975c-34411e8ac3af-og.jpg
10005307,Xúc xích Roma Đức Việt gói 500g,xuc-xich-thit-nguoi--c0156,61500.0,ĐỨC VIỆT,https://ss-hn.fptvds.vn/images/2022/duc-viet-xuc-xich-roma-goi-500g_f8bd911a-53b4-496e-8dd7-828b1c3b6119-og.jpg
10005505,Xúc xích Ông già Ika Klobasa mini  gói 250g,xuc-xich-thit-nguoi--c0156,76000.0,ÔNG GIÀ IKA,https://ss-hn.fptvds.vn/images/2022/xuc-xich-ong-gia-ika-klobasa-mini-goi-250g.jpg
10005506,Xúc xích Klobasa Ông già Ika 250g,xuc-xich-thit-nguoi--c0156,67600.0,ÔNG GIÀ IKA,https://ss-hn.fptvds.vn/images/2022/xuc-xich-klobasa-ong-gia-ika-250g.jpg
10005507,Xúc xích Klobasa Ông Già Ika gói 500g,xuc-xich-thit-nguoi--c0156,132000.0,ÔNG GIÀ IKA,https://ss-hn.fptvds.vn/images/2022/xuc-xich-klobasa-ong-gia-ika-goi-500g_04acebdf-24b9-47a4-a18a-291089211161-og.jpg
10005512,Xúc xích Đức Việt nướng gói 500g,xuc-xich-thit-nguoi--c0156,94300.0,ĐỨC VIỆT,https://ss-hn.fptvds.vn/images/2022/xuc-xich-duc-viet-nuong-goi-500g-20221007080828-og.png
10005514,Xúc xích hong khói (50g) Đức Việt gói 500g ,xuc-xich-thit-nguoi--c0156,89700.0,ĐỨC VIỆT,https://ss-hn.fptvds.vn/images/2022/162428456550710005514-g1-xyc-xoch-toi-duc-viet-gui-200g-og.jpg
10005515,Xúc xích Đức Việt Xúc hong khói gói 200g,xuc-xich-thit-nguoi--c0156,39400.0,ĐỨC VIỆT,https://ss-hn.fptvds.vn/images/2022/xuc-xich-duc-viet-xuc-hong-khoi-goi-200g-20221007080829-og.jpg
10005516,Xúc xích Vườn Bia Đức Việt gói 500g,xuc-xich-thit-nguoi--c0156,99900.0,ĐỨC VIỆT,https://ss-hn.fptvds.vn/images/2022/xuc-xich-vuon-bia-duc-viet-goi-500g_8e31fe08-bd2d-4487-8ec7-25dc35e43702-og.jpg
10005517,Xúc xích vườn bia Đức Việt gói 200g,xuc-xich-thit-nguoi--c0156,43000.0,ĐỨC VIỆT,https://ss-hn.fptvds.vn/images/2022/xuc-xich-vuon-bia-duc-viet-goi-200g-20221007080838-og.png
10005518,Xúc xích viên hong khói Đức Việt gói 500g,xuc-xich-thit-nguoi--c0156,102900.0,ĐỨC VIỆT,https://ss-hn.fptvds.vn/images/2022/162428455630010005518-g1-dui-gà-thoo-khop-cung-nghiep-benh-minh-og.jpg
