itemNo,name,price,salePrice,brand
10167185,Nồi Chiên Không Dầu Lock & Lock EJF586BLK 6.5L,4870000.0,1999000.0,LOCK&LOCK
10167184, Nồi Chiên Không Dầu Điện Tử Lock& Lock  EJF286BLK 6.5L,5250000.0,2190000.0,LOCK&LOCK
10167149,Ấm siêu tốc Inox Sunhouse SHD1057,203000.0,129000.0,SUNHOUSE
10002528,Máy xay sinh tố  Sunhouse SHD5328,1275000.0,1275000.0,SUNHOUSE
10002592,Ấm siêu tốc thủy tinh Sunhouse SHD1217 1500W (Trong suốt),695000.0,695000.0,SUNHOUSE
10002699,"Máy xay sinh tố Sunhouse SHD5322 220W 1,25L (Đen)",1010000.0,1010000.0,SUNHOUSE
10003037,Ấm siêu tốc Philips HD9303 1800W 1.2L,630000.0,630000.0,PHILIPS
10027383,Nồi cơm điện cơ Sunhouse SHD8602 1.8 Lít,663000.0,663000.0,SUNHOUSE
10087650,Bếp nướng điện Sunhouse SHD4600,866000.0,866000.0,SUNHOUSE
10087715,Ấm siêu tốc Sunhouse SHD1182 1.8L 1500W,305000.0,305000.0,SUNHOUSE
10087720,Máy xay sinh tố Sunhouse SHD5112 xanh,560000.0,560000.0,SUNHOUSE
10088808, Ấm siêu tốc inox Happy time HTD1088,213000.0,213000.0,SUNHOUSE
10092407,Ấm siêu tốc Inox 2 lớp Sunhouse SHD1382 xanh đậm,636000.0,636000.0,SUNHOUSE
10092744,Bàn Ủi Hơi Nước Dạng Đứng Lock&Lock ENI211 - Hồng Phối Trắng,2766000.0,2766000.0,LOCK&LOCK
10134671,Nồi cơm điện Sunhouse SHD8607W  1.8L,968000.0,968000.0,SUNHOUSE
10138732,Bàn là hơi Sunhouse SHD2067,570000.0,570000.0,SUNHOUSE
10167114,Bếp từ đơn SHD6802 (2000W),1645000.0,1645000.0,SUNHOUSE
10167124,Máy sấy Sunhouse tóc SHD2306,360000.0,360000.0,SUNHOUSE
10196392,Lẩu điện Sunhouse SHD4528 3.5L ,1018000.0,1018000.0,SUNHOUSE
10250011,Bếp nướng điện Lock & Lock EJG232,1422000.0,1422000.0,LOCK&LOCK
10250189,Máy xay sinh tố đa năng Sunhouse SHD5340 đen,1370000.0,1370000.0,SUNHOUSE
10250190,Máy sấy tóc Sunhouse SHD2317,498000.0,498000.0,SUNHOUSE
10250290,LOCK&LOCK Nồi cơm điện EJR426WHT 0.,1088000.0,1088000.0,LOCK&LOCK
10250358,Ấm đun nước siêu tốc Smartcook 1.5L KES-3867,690000.0,690000.0,SMARTCOOK
10250385,Máy Vắt Cam Lock&Lock EJJ236BLK 0.7 Lít,430000.0,430000.0,LOCK&LOCK
10250396,Nồi cơm điện Sunhouse SHD8606 1.8L,1170000.0,1170000.0,SUNHOUSE
10250562,Ấm siêu tốc thủy tinh Sunhouse SHD1215B,610000.0,610000.0,SUNHOUSE
10250650, Nồi chiên không dầu điện tử Lock&Lock 6L EJF289BLK,4600000.0,4600000.0,LOCK&LOCK
10250652,Bàn ủi hơi nước Lock & Lock 2200W ENI146BLU,631000.0,631000.0,LOCK&LOCK
10250715,Máy xay sinh tố Smartcook BLS-3886,815000.0,815000.0,SMARTCOOK
10251139,Nồi chiên không dầu SunHouse 6L,2990000.0,2990000.0,SUNHOUSE
10251171,"Nồi cơm điện tử  Elmich 1,8L RCE1790",1990000.0,1990000.0,ELMICH
10251172,"Nồi cơm điện tử Elmich  1,2L RCE1789",1690000.0,1690000.0,ELMICH
10251175,Bếp điện từ Smartcook ICS3869,1090000.0,1090000.0,SMARTCOOK
10300857,Máy Xay Thịt Lock&Lock EJM161BLK - Đen,1375000.0,1375000.0,LOCK&LOCK
10300859,Nồi cơm điện Lock & Lock EJR351BRW 1.8L 860W ,2306000.0,2306000.0,LOCK&LOCK
10602178,Bàn Là Hơi Nước Cầm Tay Lock&Lock ENI241BLU (1000W),1033000.0,1033000.0,LOCK&LOCK
10602179,Bàn ủi hơi nước cầm tay Lock&Lock ENI241PIK (Hồng),1033000.0,1033000.0,LOCK&LOCK
10620319,Máy Vắt Cam Lock&Lock EJJ231 trắng  700ml,452000.0,452000.0,LOCK&LOCK
10622286,Ấm siêu tốc thủy tinh Lock&Lock EJK331 1.7L 1850W,984000.0,984000.0,LOCK&LOCK
