itemNo,name,price,salePrice,brand
10164344,Khăn tay Quảng Phú U723 ,19900.0,9900.0,QUẢNG PHÚ
10250121,Hộp thực phẩm tròn Hokkaido 1000ml,102000.0,51000.0,HOKKAIDO
10250999,Bộ thau rổ xoay đa năng Inochi Yoko 28cm,213800.0,106900.0,INOCHI
10251281,Túi thực phẩm  tự hủy sinh học 20x30 180c không quai,106200.0,53100.0,STAHAUS
10266059,Khăn mặt  Belleto Jacquar FQR7 34*75*115g,79000.0,39500.0,BELLETO
10266097,Khăn tắm cotton Quảng Phú BQX6 50*98*147g ( Màu ngẫu nhiên),218000.0,109000.0,QUẢNG PHÚ
10167127,Bình nước Lock & Lock  Easy Open HAP813N 1.2L,67200.0,39000.0,LOCK&LOCK
10167126,Dụng cụ băm nhỏ thực phẩm mini Lock&Lock CKS321,136000.0,79000.0,LOCK&LOCK
10266098,Khăn tay cotton Quảng Phú HQW8 28*40*34G,25000.0,15000.0,QUẢNG PHÚ
10266099,Khăn mặt cotton Quảng Phú FQW8 34*74*75G,49000.0,29500.0,QUẢNG PHÚ
10266228,Combo 5 khăn lau đa năng Thịnh Nguyễn,39000.0,23500.0,THINHNGUYEN
10266100,Khăn tắm Quảng Phú cotton BQW8 60*118*212g,139000.0,85000.0,QUẢNG PHÚ
10250986,Chảo cạn Sunhouse inox 5 đáy IN20M4,475000.0,309000.0,SUNHOUSE
10166993,Túi rác tự hủy sinh hoạt WinMart Home màu đen 44x56-500g,119100.0,79400.0,WMHOME
10166994,Túi rác tự hủy sinh hoạt WinMart Home  màu đen 55x65-500gr,119100.0,79400.0,WMHOME
10170574,Sáp thơm Ambipur Gelfresh forest hương bí,183000.0,122000.0,AMBIPUR
10264881,Khăn mặt Cotton 32x65x73gr Winmart Home,42000.0,29000.0,WMHOME
10330062,Combo 5 Hải Linh khăn lau trắng 28*28*25,39000.0,27000.0,HL
10264880,Khăn tắm Cotton 50x100x175gr Winmart Home,99000.0,69000.0,WMHOME
10025540,Bộ 3 nồi inox Smartcook 5 lớp SMR3-5961,1329000.0,929000.0,SMARTCOOK
10330216,Khăn tay cotton  WinMart Home 28*42*45g,24900.0,18500.0,WMHOME
10628091,Thùng rác nắp lật Inochi 5L,140600.0,105000.0,INOCHI
10167096,Khăn tay bamboo WinMart Home 28*42*60g,39900.0,29900.0,WMHOME
