itemNo,name,price,salePrice,brand
10161817,Nước giặt Downy  vườn hoa thơm ngát túi 3.05kg,502000.0,251000.0,DOWNY
10170722,"Nước giặt cửa trên WinMart home hương nước hoa túi 1,8kg",210000.0,105000.0,WMHOME
10019677,Nước lau sàn hương lily Gift  chai 1L,99000.0,66000.0,GIFT
10640562,Nước rửa chén Sunlight thiên nhiên túi 2.1kg,224700.0,149800.0,SUNLIGHT
10162251,Nước giặt đậm đặc Lix  túi 3.5kg,163000.0,109000.0,LIX
10162252,Nước giặt hương nước hoa  Lix túi 3.5Kg,163000.0,109000.0,LIX
10170634,Nước giặt Comfort dưỡng vải thời thượng túi 3.6L,184000.0,138000.0,COMFORT
10170637,"Nước giặt Comfort dưỡng vải thanh lịch  túi 3,6kg",184000.0,138000.0,COMFORT
10170829,Nước xả kháng khuẩn dịu nhẹ Downy  túi 3L,241000.0,183000.0,DOWNY
10160955,Nước giặt xả MaxKleen hương vườn sớm mai 2.4kg,142000.0,108000.0,MAXKLEEN
10170554,Nước giặt xả thiên nhiên  MaxKleen  túi 2.2kg,142000.0,108000.0,MAXKLEEN
10617318,Nước giặt xả MaxKleen Ultra kép hương hoa nắng túi 2.4kg,142000.0,108000.0,MAXKLEEN
10617319,Nước giặt xả MaxKleen Ultra kép hương nước hoa huyền diệu túi 2.4kg,142000.0,108000.0,MAXKLEEN
10019696,"Nước rửa chén Gift hương chanh can 3,8kg",99000.0,77000.0,GIFT
10170503,Nước giặt  Ariel downy đam mê túi 3.9kg,257000.0,201000.0,ARIEL
10171091,Nước giặt Ariel cửa trước downy oải hương túi 3.7kg,257000.0,201000.0,ARIEL
10404164,Bột giặt WinMart Home hương hoa hồng dạng túi 4.5kg,152000.0,119000.0,VMHOME
10019504,Nước giặt cổ áo Mao Bao chai 600ml,47000.0,37500.0,MAO BAO
10170743, Nước xả huyền bí túi  Downy túi 4L ,299000.0,243000.0,DOWNY
10170744,Nước xả Downy đam mê túi 4L,299000.0,254000.0,DOWNY
10614741,Nước giặt Ariel sạch nhanh túi 3.6kg,225000.0,191500.0,ARIEL
10019933,Nước lau sàn NET Extra 4kg,93000.0,81000.0,NET
10019934, Nước lau sàn hương bạc hà NET  4kg,93000.0,81000.0,NET
10161896,"Nước lau sàn Sunlight hương hoa diên vỹ túi 3,6kg",74000.0,64500.0,SUNLIGHT
10161897,"Nước lau sàn Sunlight hương hoa lily túi 3,6kg",74000.0,64500.0,SUNLIGHT
10160130,Viên tẩy bồn cầu hương chanh Vim 55g,28000.0,24500.0,VIM
10161174,"Nước giặt Omo Comfort tinh dầu thơm túi 2,8kg",175000.0,153500.0,OMO
10161177,"Nước giặt Omo bền đẹp cửa trước túi 2,9kg",175000.0,153500.0,OMO
10170670,"
Nước rửa chén bát Sunlight Matcha trà Nhật can 3.6kg",124000.0,109000.0,SUNLIGHT
10170671,Nước rửa chén Sunlight hương bưởi tây và hoa anh đào mềm dịu da tay can 3.6kg,124000.0,109000.0,SUNLIGHT
10161833,Nước xả vải  Comfort chăm sóc chuyên sâu 1 lần xả hương ban mai túi 3.8L ,255000.0,231500.0,COMFORT
10161841," Nước xả Comfort chăm sóc chuyên sâu nước hoa thiên nhiên bella 3,8L",255000.0,231500.0,COMFORT
10171133,"Nước xả vải Comfort hương nước hoa Jennie túi 3,8L",255000.0,231500.0,COMFORT
10617627,Nước xả vải Comfort đậm đặc cho da nhạy cảm túi 3.2L,229000.0,215000.0,COMFORT
10619446,Nước giặt Omo Matic cho máy giặt cửa trên túi 3.9kg,220000.0,220000.0,OMO
10170672,Nước rửa chén Sunlight Extra thiên nhiên muối khoáng và lô hội can 3.6 lít,124000.0,124000.0,SUNLIGHT
10161179,"Nước giặt Omo bền đẹp cửa trước túi 3,6kg",220000.0,220000.0,OMO
10628199,"Nước giặt Omo  Comfort tinh dầu thơm cửa trên túi 3,6kg",220000.0,220000.0,OMO
10171075,Nước giặt Ariel Downy hương oải túi 3.9kg,270000.0,270000.0,ARIEL
10171067,Nước giặt xả cao cấp Chante chai 3.4kg,199000.0,199000.0,CHANTE
10160981,Nước Xả Vải Downy Mềm Mại Tinh Khiết túi 3.5 Lít,275000.0,275000.0,DOWNY
10161769,Tẩy quần áo Ex wide haiter chai 600ml,89900.0,89900.0,EX
10171070,"Nước rửa chén cao cấp Good Care thiên nhiên can 3,6kg",129900.0,129900.0,GOOD CARE
10630179,Nước lau sàn Mao Bao gỗ đàn hương chai 1.2L ,58000.0,58000.0,MAO BAO
10019339,"Bột giặt  LIX extra gói  5,5kg/ 6kg",175000.0,175000.0,LIX
10019345,"Nước xả vải Downy hương nắng mai dạng túi 1,6L",125000.0,125000.0,DOWNY
10019390,"Nước xả Downy đam mê chai 1,8L",160000.0,160000.0,DOWNY
10019395,Bột tẩy lồng máy giặt Hando hộp 2 gói x 100g,43000.0,43000.0,HANDO
10019399,Nước xả vải Downy đam mê dạng túi 1.35L,125000.0,125000.0,DOWNY
10019408,"Nước xả vải đậm đặc Downy huyền bí dạng túi 1,35L",125000.0,125000.0,DOWNY
10019414,Nước giặt quần áo em bé D-nee Honey Star can 3L,225000.0,225000.0,D-NEE
10019415,Nước giặt quần áo em bé D-nee Lovely Sky​ can 3L,225000.0,225000.0,D-NEE
10019416,Nước giặt quần áo em bé D-nee Yellow Moon can 3L,225000.0,225000.0,D-NEE
10019418,Nước giặt quần áo em bé D-nee trắng Lively can 3L,225000.0,225000.0,D-NEE
10019421,Nước xả mềm quần áo D-nee Happy Baby can 3L,219000.0,219000.0,D-NEE
10019434,"Nước giặt quần áo đậm đặc Essence dạng chai 1,9 L",179000.0,179000.0,ESSENCE
10019475,Nước giặt xả cho bé Carefor Plus hương hoa hồng chai 3.5 lít,225000.0,225000.0,CAREFOR
10019476,Nước giặt xả đậm đặc tím Carefor can 3.5L,225000.0,225000.0,CAREFOR
10019499,"Nước giặt LIX đậm đặc 3.6kg/3,8kg",193000.0,193000.0,LIX
10019506,Nước tẩy quần áo trắng Lix Javel 550g,13000.0,13000.0,LIX
10019510,Bột giặt nhiệt Aba dùng cho giặt máy gói 3kg,132000.0,132000.0,ABA
10019545,"Bột giặt Tide hương downy 2,5kg",122000.0,122000.0,TIDE
10019558,Bột giặt Ariel hương nắng mai 720g,42000.0,42000.0,ARIEL
10019562,Bột giặt ARIEL đam mê túi 650g,42000.0,42000.0,ARIEL
10019565,"Bột giặt Ariel hương Downy đam mê túi 3,8kg ",209000.0,209000.0,ARIEL
10019638,Nước rửa chén LIX hương chanh 3.6Kg/4kg ,105000.0,105000.0,LIX
10019674,Tẩy nhà tắm bạc hà Gift chai 900ml,31000.0,31000.0,GIFT
10019675,Tẩy nhà tắm siêu sạch Gift chai 900ml,33000.0,33000.0,GIFT
10019681,"Nước lau sàn Gift hương ylang 3,8kg",93000.0,93000.0,GIFT
10019682,"Nước lau sàn Gift hương Lily can 3,8kg",93000.0,93000.0,GIFT
10019683,"Nước lau sàn Gift hương bạc hà can 3,8kg",93000.0,93000.0,GIFT
10019684,"Nước lau sàn Gift hương orchid/sweet 3,8kg",93000.0,93000.0,GIFT
10019692,Nước lau bếp  Gift chai 520ml/540ml,30000.0,30000.0,GIFT
10019708,Tẩy bồn cầu Duck Mr Muslce pro chai 900ml,41000.0,41000.0,DUCK
10019710,"Nước tẩy rửa nhà tắm siêu tẩy Duck Mr. Muscle 1,8L",74800.0,74800.0,DUCK
10019745,Tẩy bồn cầu Duck Mr Muslce pro chai 700ml,32500.0,32500.0,DUCK
10019779,Viên tẩy và làm thơm toilet Hando 330g (6 viên),75000.0,75000.0,HANDO
10019797,Xi nước khô nhanh màu đen Kiwi 75ml,63000.0,63000.0,KIWI
10019827,Nước lau bếp Mr Muscle chai 500ml,35200.0,35200.0,DUCK
10019873,Nước tẩy vết ố bàn Mrs Mckenic chai 500ml,293000.0,293000.0,MRS MCKENIC
10019875, Xịt lau bếp Mrs Mckenic chai 500ml,168000.0,168000.0,MRS MCKENIC
10019906,"Nước rửa chén Suzy hương bạc hà chai 2,1kg",72000.0,72000.0,SUZY
10019918,Nước rửa chén Suzy hương bạc hà 4kg,126000.0,126000.0,SUZY
10019997,Bột tẩy lồng máy giặt Sandokkaebi gói  450g ,45000.0,45000.0,SANDOKKAEBI
10020071,Bộ xông đuổi muỗi Jumbo 120g,52500.0,52500.0,JUMBO
10020073,Xịt côn trùng Raid hương oải hương chai 300ml,41500.0,41500.0,RAID
10020074,Bình xịt côn trùng Raid hương cam chanh 600ml,71500.0,71500.0,RAID
10020075,Xịt côn trùng Raid hương oải hương chai 600ml,71500.0,71500.0,RAID
10020076,Bình xịt muỗi Raid hương cam chanh 600ml,62600.0,62600.0,RAID
10020077,Xịt muỗi Raid hương oải hương 600ml,62600.0,62600.0,RAID
10020078,Bình xịt côn trùng Raid không mùi 600ml,71000.0,71000.0,RAID
10020080,Xịt côn trùng Raid hương khuynh diệp 600ml,71500.0,71500.0,RAID
10020110,Bình xịt côn trùng Jumbo Vape hương cam chanh dạng chai 600ml,69000.0,69000.0,JUMBO
10020111,Xịt côn trùng Jumpo Vape hương lài chai 600ml,69000.0,69000.0,JUMBO
10020112,Bình xịt côn trùng Jumbo Vape hương lavender dạng chai 600ml,69000.0,69000.0,JUMBO
10057106,Bột giặt nhiệt Aba nước hoa túi túi 720g,40000.0,40000.0,ABA
10057108,Bột giặt nhiệt Aba gói 800g,42000.0,42000.0,ABA
10057245,Nước rửa chén đậm đặc Net chiết xuất chanh tươi can 4kg,99000.0,99000.0,NET
10071645,Vỉ 2 viên Gift tẩy bồn cầu 55g,29000.0,29000.0,GIFT
10071646,Tẩy toilet Gift siêu sạch 1L,34000.0,34000.0,GIFT
10160008,Nước xả vải Downy hương huyền bí túi 3L,241000.0,241000.0,DOWNY
10160009,Nước xả vải Downy hương đam mê túi 3 lít,241000.0,241000.0,DOWNY
10160954,Bình xịt Goodcare lau bếp 500ml,143000.0,143000.0,GOOD CARE
10160959,"Nước giặt Surf cỏ hoa diệu kỳ túi 3,3L",136000.0,136000.0,SURF
10160961,"Nước giặt Surf sương mai dịu mát túi 3,3kg",136000.0,136000.0,SURF
10160963,"Nước giặt hương nước hoa Surf túi 3,1kg",146000.0,146000.0,SURF
10160967,"Bột giặt Surf hương nước hoa duyên dáng túi 5,3kg",197000.0,197000.0,SURF
10160979,"Nước xả vải Downy hương huyền bí túi 3,5L",275000.0,275000.0,DOWNY
10160980,Nước xả vải Downy hương nắng mai túi 3.5 lít,259000.0,259000.0,DOWNY
10161038,"Nước giặt NET hương hoa thiên nhiên 3,6 kg",175000.0,175000.0,NET
10161039," Nước giặt đậm đặc NET can  3,6 kg",179000.0,179000.0,NET
10161175,Nước giặt Omo comfort tinh dầu thơm túi 2kg,140000.0,140000.0,OMO
10161178,Nước giặt Omo bền đẹp cửa trước túi 2kg,140000.0,140000.0,OMO
10161182,Nước giặt máy cửa trên Omo túi2.2kg,140000.0,140000.0,OMO
10161183,"Nước giặt Omo cho máy giặt cửa trên túi 3,1kg",181000.0,181000.0,OMO
10161347,Nước Xả Vải Downy Làn Gió Mát Túi 2.4L,189000.0,189000.0,DOWNY
10161445,Nước rửa chén Sunlight mềm dịu chai 750g,35000.0,35000.0,SUNLIGHT
