itemNo,name,price,salePrice,brand
10627936,Mỳ Jin JjaJang OTTOGI 135g,21200.0,16800.0,OTTOGI
10622828,Nui hình xoắn Meizan gói 300g,23300.0,19500.0,MEIZAN
10621936,Mì gói khô gà cay Carbonara Samyang 130g,35000.0,29700.0,SAMYANG
10181117,Mì Ottogi Jin tương đen vị bò 135g,15200.0,13400.0,OTTOGI
10141171,Phở bò Chin Su mới 132gr,29200.0,26600.0,CHIN-SU
10141172,Miến Gà Chin Su hương măng mới 123g,29200.0,26600.0,CHIN-SU
10007824,Mì ăn liền Koreno Jumbo vị kim chi Paldo túi 1kg,91700.0,83800.0,KORENO
10007825,Mì Koreno vị tôm gói 1kg,91700.0,83800.0,KORENO
10007837,Mì vị bò cay Paldo gói 1kg,91700.0,83800.0,KORENO
10007838,Mì ăn liền Koreno vị gà Paldo túi 1kg,91700.0,83800.0,KORENO
10141657, Mì Koreno jumbo hải sản túi 1kg,91700.0,83800.0,KORENO
10281092,Jumbo Koreno Mì nấm 1kg,91700.0,83800.0,JUMBO
10007816,Mì trứng thượng hạng Safoco gói 400g,27000.0,27000.0,SAFOCO
10007865,Nui gạo hảo hạng Safoco gói 400g,28900.0,28900.0,SAFOCO
10008472,Cháo tươi Sườn Non & Ngũ Đậu-SG Food gói 270g,23500.0,23500.0,SG FOOD
10141928,Mì xào Kalamansi Lucky Me 60g,8400.0,8400.0,LUCKY ME
10141929,Mì xào Pancit Canton vị cay Lucky Me 60g,8400.0,8400.0,LUCKY ME
10227133,Bánh gạo Young Poong Topokki vị phô mai 120g,42600.0,42600.0,YOUNG POONG
10605469, Phở trộn bò xốt tương đen Kool Kool 80g ,14600.0,14600.0,KOOL
10007756,Mì Ý Angel Hair Barilla hộp 500g,73700.0,73700.0,BARILLA
10007757,Mì Spaghettini n.3 Barilla hộp 500g,73400.0,73400.0,BARILLA
10007758,Mì Spaghetti Barilla số 5 hộp 500g,73400.0,73400.0,BARILLA
10007761,Nui ống Barilla hộp 500g,77700.0,77700.0,BARILLA
10007764,Nui xoắn số 98 Barilla hộp 500g,77700.0,77700.0,BARILLA
10007765,Mì sợi hình ống các cỡ Spaghettoni Barrila hộp 500g,73400.0,73400.0,BARILLA
10007766,Mì ăn liền khoai tây Cung Đình Micoem vị cua bể rau răm  gói  80g,8400.0,8400.0,CUNG ĐÌNH
10007767,Mì khoai tây Micoem hương măng gói 79g,8400.0,8400.0,CUNG ĐÌNH
10007769,Mì Micoem khoai tây thịt hương nấm 79g,8500.0,8500.0,CUNG ĐÌNH
10007770,Mì ăn liền khoai tây Cung Đình Micoem vị lẩu tôm chua cay gói 80g,246500.0,246500.0,CUNG ĐÌNH
10007779,Mì gà nấm Micoem gói 70g,4200.0,4200.0,MICOEM
10007819,Mì trứng cao cấp Safoco gói 500g,37300.0,37300.0,SAFOCO
10007820,Mì tôm chanh Omni gói 75g,4200.0,4200.0,OMNI
10007821,Mì ăn liền Koreno vị kim chi Paldo gói 100g,12200.0,12200.0,KORENO
10007822,Mì vị tôm Koreno gói 100g ,12200.0,12200.0,KORENO
10007834,Mì vị bò cay Koreno Paldo gói 100g,12200.0,12200.0,KORENO
10007836,Mì ăn liền Koreno vị gà Paldo gói 100g,12200.0,12200.0,KORENO
10007845,Bánh tráng Safoco gói 300g,22800.0,22800.0,SAFOCO
10007846,Bún tươi Safoco gói 300g,22000.0,22000.0,SAFOCO
10007849,Bún khô Safoco gói 400g,30000.0,30000.0,SAFOCO
10007868,Nui rau củ Safoco gói 300g,22800.0,22800.0,SAFOCO
10007891,Mì gói ăn liền Đệ Nhất Mì Gia vị thịt bằm Acecook 82g,8400.0,8400.0,ACECOOK
