itemNo,name,price,salePrice,brand
10053991,Nấm kim châm 150g,14900.0,11900.0,NOBRAND
10054606,Dưa chuột WinEco,27900.0,22320.0,WINECO
10054624,Cà chua đỏ  WinEco,29900.0,23920.0,WINECO
10054625,Bắp cải trắng WinEco,11900.0,9520.0,WINECO
10054629,Súp lơ xanh WinEco,39900.0,31920.0,WINECO
10054644,Bí ngòi xanh WinEco ,38900.0,31120.0,WINECO
10054669,Súp lơ trắng WinEco,34900.0,27920.0,WINECO
10054670,Bắp cải tím WinEco,42900.0,34320.0,WINECO
10054700,Xà lách lolo xanh WinEco,39900.0,31920.0,WINECO
10054729,Bắp cải trái tim WinEco,29900.0,23920.0,WINECO
10054767,Cần tây lớn WinEco,54500.0,43600.0,WINECO
10060570, Xà lách iceberg WinEco,55900.0,44720.0,WINECO
10060592,Củ dền đỏ WinEco,39900.0,31920.0,WINECO
10230877,Cải thảo WinEco,14900.0,11920.0,WINECO
10281827,Cải chíp WinEco gói 500g,13900.0,11120.0,WINECO
10281828,Cải cúc WinEco gói 300g,12500.0,10000.0,WINECO
10281830,Cải ngồng WinEco gói  500g,13900.0,11120.0,WINECO
10281831,Cải ngọt WinEco gói   500g,13900.0,11120.0,WINECO
10281835,Giá đỗ WinEco 300g,9900.0,7920.0,WINECO
10281838,WINECO Rau lang  500gr,14900.0,11920.0,WINECO
10281839,Rau mầm cải ngọt WinEco 100g,18500.0,14800.0,WINECO
10281840,Rau mầm cải xanh  WinEco 100g,18500.0,14800.0,WINECO
10281841,Rau mầm củ cải WinEco 150g,27900.0,22320.0,WINECO
10281842,Rau muống WinEco gói  500g,14900.0,11920.0,WINECO
10281844,Cải xoăn (Cải kale) WinEco gói 300g,15900.0,12720.0,WINECO
10281875,Củ Sả WinEco 100g,5000.0,4000.0,WINECO
10281879,Hành lá WinEco gói 100g,5500.0,4400.0,WINECO
10281880,Hẹ lá WinEco 100g,5900.0,4720.0,WINECO
10281882,Kinh giới WinEco 100g,8900.0,7120.0,WINECO
10281890,Tía tô WinEco gói 100g,8900.0,7120.0,WINECO
10283101,Húng quế WinEco gói 50g,5000.0,4000.0,WINECO
10283102,Mùi ta WinEco gói 50g,5000.0,4000.0,WINECO
10283103,Mùi tàu (Ngò gai) WinEco gói 50g,5000.0,4000.0,WINECO
10283104,Răm WinEco gói  50g,5000.0,4000.0,WINECO
