itemNo,name,price,salePrice,brand
10170068,Lốc 4 hộp sữa Nước Nestle hương dâu trắng 180ml,31600.0,22900.0,NESTLE
10195209,Sữa tươi tiệt trùng PROMESS VITAMIN hộp 1L,46100.0,35100.0,PROMESS
10005234,Váng sữa Mixxi hương vani 75g,55000.0,43600.0,MIXXI
10315286,Sữa chua Vinamilk trái cây 100g,7900.0,6500.0,VINAMILK
10194926,Sữa chua ăn LoveYogurt Trân Châu Đường Đen hộp 100g ,9500.0,7900.0,VINAMILK
10196807,Lốc 3 hộp sữa  9 loại hạt Vinamilk Super Nut 180ml,49300.0,41000.0,VINAMILK
10010635,Sữa tươi tiệt trùng ít béo Meadow Fresh hộp 1L,53500.0,45200.0,MEADOW FRESH
10005259,Sữa chua uống vị cam YoMost 170ml,31900.0,27000.0,YOMOST
10005262,Thức uống từ sữa chua vị lựu YoMost 170ml,31900.0,27000.0,YOMOST
10005280,Sữa chua ăn  Vinamilk ít đường hộp 100g ,6400.0,5500.0,VINAMILK
10005347,KIDSMIX Phô mai ăn vị dâu mâm xôi 50g*4,54200.0,46800.0,KIDSMIX
10005349,Phô mai ăn vị dâu chuối Kidsmix 50g,54200.0,46800.0,KIDSMIX
10324867,Phô mai tươi Milk Tiger hương Dâu-Vani Zott  vỉ 4 hộp x 50g,49500.0,42800.0,ZOTT
10324868,Phô mai tươi Milk Tiger vị dâu chuối vỉ 4 hộp x 50g,49500.0,42800.0,ZOTT
10170499,Sữa Yến mạch nguyên chất Nature hộp 1 lít,79900.0,69900.0,NATRUE
10234390,NUTIFOOD Sữa chua ăn nha đam 100g,7300.0,6400.0,NUTIFOOD
10162225,Sữa Chua Ăn Nutimilk Trân Châu Đường Đen Hộp 100g,9800.0,8600.0,NUTIFOOD
10235837,VINAMILK SCU Probi có đường 400ml T12,29000.0,25500.0,VINAMILK
10010491,Sữa tươi tiệt trùng Vinamilk không đường hộp 1 lít,36500.0,32100.0,VINAMILK
10010487,Sữa tươi tiệt trùng Vinamilk có đường hộp 1 lít,36500.0,32100.0,VINAMILK
10141581,Creamer đặc sữa pha chế Nutimilk hộp 1284g,67100.0,59400.0,NUTIFOOD
10637858,Sữa tươi không béo Promess hộp 1L ,44600.0,39500.0,PROMESS
10005401,Sữa tiệt trùng Vinamilk có đường túi 220ml,7900.0,7000.0,VINAMILK
10005402,Sữa tiệt trùng Vinamilk không đường túi 220ml,7900.0,7000.0,VINAMILK
10141579,Creamer đặc sữa pha chế Nutimilk lon 380g,20300.0,18000.0,NUTIFOOD
10141580,Creamer đặc sữa pha chế Nutimilk hộp 380g,20300.0,18000.0,NUTIFOOD
10406972,Sữa đậu nành hạt óc chó Vinamilk lốc 4 hộp x 180ml,31500.0,28000.0,VINAMILK
10625162,Sữa đậu nành đậu đỏ Vinamilk 4 hộp x 180ml,31500.0,28000.0,VINAMILK
10625163,Sữa đậu nành hạnh nhân Vinamilk 4 hộp x 180ml,31500.0,28000.0,VINAMILK
10010494,VINAMILK SCU Susu hương dâu chai 80ml*6,25500.0,23000.0,VINAMILK
10010495,VINAMILK SCU Susu hương cam chai 80ml*6,25500.0,23000.0,VINAMILK
10170495,Sữa tươi tiệt trùng có đường Vinamilk Green Farm 180ml,37900.0,34200.0,VINAMILK
10170497,VNM STTT rất ít.đ Green farm 100% 180ml,37900.0,34200.0,VINAMILK
10195215,Lốc 4 hộp sữa tươi tiệt trùng không đường Vinamilk Green Farm 180ml,37900.0,34200.0,VINAMILK
10170494,VNM STTT có đường Green farm 100% 110ml,25300.0,22900.0,VINAMILK
10170496,VNM STTT ít đường Green farm 100% 110ml,25300.0,22900.0,VINAMILK
10196810,Lốc 4 hộp Milo sữa lúa mạch ít đường 115ml,20000.0,18200.0,MILO
10601141,"SAHMYOOK Sữa đậu đen,óc chó h.nhân 140ml",43100.0,39500.0,SAHMYOOK
10005253,VINAMILK SCU Probi có đường chai 65ml*5,25400.0,23300.0,VINAMILK
10005289,VINAMILK SCU Probi hương dưa gang 65ml*5,25400.0,23300.0,VINAMILK
10005288,VINAMILK SCU Probi hương dâu chai 65ml*5,26000.0,23900.0,VINAMILK
10005469,VNM SCU Probi light ít đường 65ml*5,26000.0,23900.0,VINAMILK
10406971,Sữa chua uống Vinamilk Probi hương việt quất lốc 5 chai x 65ml,26000.0,23900.0,VINAMILK
10005255,Sữa chua Vinamilk có đường hộp 100g,6400.0,5900.0,VINAMILK
10625997,Sữa chua uống men sống Vinamilk Probi hương dứa Lốc 5 chai x 65ml,27200.0,25100.0,VINAMILK
10196209,Sữa dinh dưỡng Nutifood  Varna Comlete 237ml ,34500.0,32200.0,NUTIFOOD
10195823,Lốc 4 sữa đậu nành tươi vinamilk gấp đôi canxi 180ml,22700.0,21200.0,VINAMILK
10010475,VINAMILK Sữa TT ADM socola 110ml*4 T48,20400.0,19100.0,ADM
10010477,VINAMILK STT ADM có đường 110ml*4 T48,20400.0,19100.0,ADM
10170152,Lốc 4 hộp sữa chua ăn Meiji dâu tây 90g,55600.0,52400.0,MEIJI
10170151,Lốc 4 hộp sữa chua ăn Meiji nguyên chất 90g,55600.0,52700.0,MEIJI
10603574,Sữa đặc có đường Ngôi Sao Phương Nam hộp giấy 380g (Xanh lá),21300.0,20200.0,NGÔI SAO PHƯƠNG NAM
10010459,Sữa đặc có đường Ông Thọ đỏ lon 380g,26500.0,25600.0,ÔNG THỌ
10196200,Lốc 8 hộp sữa lúa mạch Nestle Milo 180ml,59300.0,58200.0,MILO
