itemNo,name,price,salePrice,brand
10005597,Nộm sứa Tĩnh Gia Nhật Minh gói 350g,31800.0,23900.0,NHẬT MINH
10282498,Cua Nâu Ireland  Liên Việt Xanh 400g up/con,419900.0,329900.0,LIÊN VIỆT XANH
10404843,Ba chỉ bò Mỹ Thiên Vương ACEFOODS  khay 500g,149900.0,119900.0,ACEFOODS
10617958,Nạc thăn heo  Meat Deli (S),161900.0,129520.0,MEAT DELI
10618635,Xương cục heo Meat Deli (S),81900.0,65520.0,MEAT DELI
10617957,Nạc dăm heo (nạc vai) Meat Deli (S),169900.0,135920.0,MEAT DELI
10617961,Thịt đùi heo Meat Deli (S),121900.0,97520.0,MEAT DELI
10618634,Xương ống heo Meat Deli (S),41900.0,33520.0,MEAT DELI
10617956,Thịt vai heo Meat Deli (S),121900.0,97520.0,MEAT DELI
10617950,Chân giò heo rút xương Meat Deli  (S),145900.0,116720.0,MEAT DELI
10617947,Thịt heo xay loại 1 Meat Deli (S),119900.0,95920.0,MEAT DELI
10140306,Thịt xay tươi ướp sẵn Meat Deli,195900.0,156720.0,MEAT DELI
10140279,Thịt nạc vai heo Meat Deli (S),131900.0,105520.0,MEAT DELI
10281592,Sườn St. Louis Meat Deli Premium (S),251900.0,201520.0,MEAT DELI
10281593,Sườn thăn Meat Deli Premium (S),241900.0,193520.0,MEAT DELI
10281594,Bắp giò cuộn Meat Deli Premium (S),186900.0,149520.0,MEAT DELI
10281595,Móng giò Meat Deli Premium (S),111900.0,89520.0,MEAT DELI
10281591,Ba rọi đặc biệt Meat Deli Premium (S),219900.0,175920.0,MEAT DELI
10281596,Đuôi heo Meat Deli Premium (S),171900.0,137520.0,MEAT DELI
10617963,Thịt heo xay đặc biệt Meat Deli (S),160900.0,128720.0,MEAT DELI
10617959,Ba rọi heo (S) Meat Deli ,174900.0,139920.0,MEAT DELI
10183114,Nạc dăm đầu giòn  Meat Deli Premium,241900.0,193520.0,MEAT DELI
10183423,Gà ngon LaChanh nguyên con,199900.0,159920.0,3F
10283198,Phi lê ức gà Meat Deli,106900.0,85520.0,MEAT DELI
10283216, Ức gà Slim&Fit Meat Deli,119900.0,95920.0,MEAT DELI
10617962,Nạc đùi heo (S) Meat Deli ,135900.0,108720.0,MEAT DELI
10310866,Tôm thẻ 70-80 con/kg,379000.0,339900.0,NOBRAND
10404845, Nạc vai bò Mỹ Thiên Vương ACE Foods khay 500g,185900.0,167900.0,ACEFOODS
10182995,Chân gà rút xương LF 500g,118900.0,118900.0,TP CUỘC SỐNG
10183378,Ba chỉ bò mỹ đông lạnh 500g,149900.0,149900.0,NOBRAND
10281701,Bắp lõi bò Úc đặc biệt,485900.0,485900.0,GOLDEN GATE
10281866,Râu bạch tuộc  NTF đông lạnh 300g,203000.0,203000.0,NATUR FISH
10323947,Thịt ba rọi có da,225900.0,225900.0,NOBRAND
10620356,Gà ta nguyên con 3F,129900.0,129900.0,3F
10181529, Thịt Thăn bò Úc (Striploin) Pacow khay 250g,197900.0,197900.0,PACOW
10053305,Cá thu nguyên con 2k,289000.0,289000.0,NOBRAND
10053307,Cua thịt Miền Nam,519000.0,519000.0,NOBRAND
10053318,Cá diêu hồng tươi làm sạch,120000.0,120000.0,NOBRAND
10053328,Cá ngân tươi,119000.0,119000.0,NOBRAND
10053332,Ốc nhồi sống,159000.0,159000.0,NOBRAND
10053333,Cá quả (cá lóc) sống,195000.0,195000.0,NOBRAND
10053343,Cá ngừ bông,122000.0,122000.0,NOBRAND
10053358,Cá nục gai tươi,69000.0,69000.0,NOBRAND
10053360,Cá hồi nguyên con 6-7kg/con,599000.0,599000.0,NOBRAND
10053373,Ốc mít sống,146000.0,146000.0,NOBRAND
10053384,Trai,19000.0,19000.0,NOBRAND
10053385,Cá rô phi lê,129000.0,129000.0,NOBRAND
10053467,Nghêu sạch Lenger khay 1.2kg,75000.0,75000.0,LENGER
10053469,Nghêu sạch Lenger khay 600g,38000.0,38000.0,LENGER
10053675,Thăn bò,358900.0,358900.0,NOBRAND
10053791,Xương  đuôi heo,78900.0,78900.0,NOBRAND
10140198,Gầu bò Úc cắt lát  Kiaora khay 200g,97900.0,97900.0,KIAORA
10140199,Ba chỉ bò Úc  cắt lát  Kiaora khay 200g,76900.0,76900.0,KIAORA
10140200,Gầu bò Úc cắt lát New Zealand 400G,183900.0,183900.0,KIAORA
10140201,Ba chỉ bò Úc Kiaora cắt lát 400g,134900.0,134900.0,KIAORA
10140245,Hàu sữa sống 18-20con/kg,25900.0,25900.0,NOBRAND
10140622,Tôm sú tươi 25-30 con/kg 300g,153000.0,153000.0,HDC
10182668,Combo Ba chỉ heo BBQ Hàn Quốc ACEFOODS khay 610g,167900.0,167900.0,ACEFOODS
10182669,Combo  Combo Sườn bò BBQ Hàn Quốc ACEFoods khay 610g,292900.0,292900.0,ACEFOODS
10182779,Combo lẩu thái Yum Yum ACEFoods  1.1 kg,251900.0,251900.0,ACEFOODS
10240587,Thịt bò Úc xay Pacow (Minced) khay 250g,85900.0,85900.0,PACOW
10241827,Chả hình cá chép Hoa Doanh  gói 400g,93800.0,93800.0,HOA DOANH
10281255,Ba chỉ bò Mỹ cắt lát Kiaora khay 500g,142900.0,142900.0,KIAORA
10281324,Cánh gà 3F,96900.0,96900.0,3F
10281325,Chân gà 3F,91900.0,91900.0,3F
10281329,Fillet ức gà 3F,91900.0,91900.0,3F
10281900,Thịt đùi gà tẩm ướp CP khay 400g,54900.0,54900.0,CP
10282045,Đầu mực lá gói 500g,131900.0,131900.0,NOBRAND
10282256, Lõi rùa bắp bò Tây Ban Nha ACEFOODS khay 500g,209900.0,209900.0,ACEFOODS
10282257,Bắp bò Tây Ban Nha  ACEFoods 500g,149900.0,149900.0,ACEFOODS
10282371, Tôm thẻ nõn HDC hộp 200g,119000.0,119000.0,HDC
10282507,Thịt bò Úc Kiaora xay khay 200g,62900.0,62900.0,KIAORA
10601374,Thăn lưng bò New Zealand KiaOra khay 500g,320900.0,320900.0,KIAORA
10619544,Cá thu Phú Quốc,265000.0,265000.0,NOBRAND
10626463,Ba chỉ bò cắt lát New Zealand KiaOra 475g,170900.0,170900.0,NEWZEALAND
10628855,Ba chỉ bò Mỹ cắt lát  Vimex khay 500g,144900.0,144900.0,VIMEX
