itemNo,name,price,salePrice,brand
10140247,Bánh trứng Karo chà bông 26g,39500.0,29900.0,HOÀN HẢO
10281742,Bịch 6 gói Karo Bánh trứng chà bông phô mai 26g,39500.0,29900.0,NOBRAND
10281241,Da cá vị trứng muối Feddy G gói 25g,19400.0,15000.0,FEDDY
10005752,Xúc xích Vealz 3A CP gói 500g,61000.0,47500.0,CP
10302983,Xúc xích CP winner gói 500g,61000.0,47500.0,CP
10182440,Xúc xích LC yummy gói 500g,49400.0,39100.0,LC FOOD
10321386,Kim chi cải thảo ngò Ông Kim's hộp 500g,46600.0,37000.0,BIBIGO
10321381,Xúc xích Pari Đức Việt gói 500g,59100.0,47900.0,ĐỨC VIỆT
10606944,Bánh Tati Palette cookies Nho gói 100g,26100.0,21500.0,TATI
10170293,Xúc xích Italia xông khói CP gói 450g,95100.0,78900.0,CP
10605339,Xúc xích Seoul's Hotdog Đức Việt 140g,23600.0,19700.0,ĐỨC VIỆT
10182878,Há cảo Cầu Tre nhân tôm cải bó xôi 300g,75000.0,62700.0,CẦU TRE
10181853,Xúc xích gà Long Nhi 500g,60500.0,50600.0,LONG NHI
10007223,Kim chi cải thảo chay Ông Kim's hộp 500g,48800.0,40900.0,BIBIGO
10302982,Xúc xích vườn bia CP 450g,96400.0,80900.0,CP
10281573,Trà đào sữa trân châu Ecodrink chai 330ml,18400.0,15500.0,NOBRAND
10281864,Trà Olong sữa trân châu Ecodrink chai 330ml,18400.0,15500.0,NOBRAND
10005731,Xúc xích Vealz CP gói 500g (10 cái) MB,80300.0,67900.0,CP
10005638,Xúc xích Đức Việt X hong khói gói 500g,96900.0,82400.0,ĐỨC VIỆT
10307246,Bánh sừng bò nhân mật ong Misura 50g,19400.0,16500.0,MISURA
10307247,Bánh sừng bò nhân socola Misura 48.3g,19400.0,16500.0,MISURA
10307248,Bánh sừng bò mứt anh đào Misura 48.3g,19400.0,16500.0,MISURA
10283655,Cookies  Tati lưỡi mèo trà xanh 60g,19300.0,16500.0,NOBRAND
10281240,Khô heo vị cháy tỏi Feddy G gói 25g,16900.0,14500.0,FEDDY
10281239,Khô heo vị cay Tứ Xuyên Feddy G gói 25g,16900.0,14500.0,FEDDY
10183522,Xúc xích thanh trùng Hanns hảo hạng 500g,86900.0,75200.0,NOBRAND
10005587,Xúc xích Frankfurter CP gói 500g,65800.0,57200.0,CP
10182354,Xúc xích ăn liền Đức Việt Handy vị heo gói 105g ,11200.0,9800.0,ĐỨC VIỆT
10183061,Xúc xích Ponnie dinh dưỡng thịt heo 4*70g,33700.0,29700.0,PONNIE
10005585,Xúc xích Vealz CP gói 250g,40100.0,35500.0,CP
10183279,Xúc xích vườn bia O’lala gói 450g,81000.0,72500.0,O’LALA
10281899,Nem lụi đặc biệt CP  khay 400g,65900.0,59900.0,CP
10005610,Xúc xích Red tiệt trùng CP gói 200g,24100.0,22000.0,CP
10007390,Xúc xích heo Vissan gói 160g,18000.0,16500.0,VISSAN
10283644,Bò viên Hoàng Gia 300g,121000.0,111500.0,NOBRAND
10055440,Bánh cốm Bảo Minh hộp 85g,9700.0,9700.0,BẢO MINH
10071980,THỌ PHÁT B.bao thịt heo trứng muối 170g,89700.0,89700.0,THỌ PHÁT
10140547,Bánh mì tươi Kinh Đô xốt Pizza XX phô mai 70g,12100.0,12100.0,KINH ĐÔ
10140583,Bánh ăn sáng Otto sợi thịt gà 90g(18gx5),22100.0,22100.0,PHẠM NGUYÊN
10140693,Bánh Dorayaki Marukyo truyền thống 310g,166100.0,166100.0,MARUKYO
10140694,Bánh Dorayaki Marukyo dâu 310g,166100.0,166100.0,MARUKYO
10182605,Bánh tráng gà cay 2G VỊ gói 80g,24100.0,24100.0,NOBRAND
10182615,Sữa chua uống cam Sài Gòn 200ml,12800.0,12800.0,NOBRAND
10183425,Chân gà bách thảo  Hey Yo 40g,11300.0,11300.0,NOBRAND
10183426,Chân gà nhất tâm trắng Hey Yo 40g,11300.0,11300.0,NOBRAND
10183495,Bánh ngon vị dâu Nue 45g,8000.0,8000.0,NOBRAND
10183496,Bánh ngon vị phô mai Nue 38g,8000.0,8000.0,NOBRAND
10183520,Xúc xích thanh trùng Hanns thượng hạng 500g,109000.0,109000.0,NOBRAND
10195971,Bánh tráng nướng giòn Nước dừa Pati 45g,12800.0,12800.0,PATI
10195972,Bánh tráng nướng giòn Gạo mè Pati 55g,12800.0,12800.0,PATI
10224920,Bánh mì cốm sữa Staff gói 55g,5600.0,5600.0,HỮU NGHỊ
10229121,Bánh Bông lan Maruto Cheese 210g,159400.0,159400.0,MARUTO
10229123,Bánh Bông lan Maruto Castella 191g,159400.0,159400.0,MARUTO
10237534,Măng chua ngâm dấm ớt Nhật Minh hộp 400g,28100.0,28100.0,NHẬT MINH
10281151,Bánh bông lan nho Staff 38g,6100.0,6100.0,HỮU NGHỊ
10282238,Ruốc thịt heo Thanh Nga 150g,89100.0,89100.0,NOBRAND
10282264,Bánh chưng Kay Nọi 800g,70100.0,70100.0,NOBRAND
10282324,Siro Thạch An chai 300ml,18800.0,18800.0,THẠCH AN
10282438,Chân gà vị mật ong Chef Biggy 30g,10100.0,10100.0,NOBRAND
10282439,Chân gà vị cay Chef Biggy 30g,10100.0,10100.0,NOBRAND
10282471,Bánh bông lan Otto cà phê trứng 38g,6100.0,6100.0,PHẠM NGUYÊN
