itemNo,name,price,salePrice,brand
10283806,Chả cá thát lát Long Nhi gói 300g,75400.0,58900.0,LONG NHI
10282972,Thịt càng ghẹ đông lạnh Liên Việt Xanh khay 200g ,102000.0,79900.0,LIÊN VIỆT XANH
10140828,Thịt nghêu Lenger 200g,59000.0,46900.0,LENGER
10605332,Bánh xếp Hàn Quốc Bibigo nhân hải sản 350g,57400.0,47900.0,CẦU TRE
10182367,Cơm chiên hải sản khay  CJ Foods 150g,20100.0,16800.0,CJ FOOD
10182878,Há cảo Cầu Tre nhân tôm cải bó xôi 300g,75000.0,62700.0,CẦU TRE
10600789,Bánh xếp Hàn Quốc Bibigo nhân thịt gói 175g,29900.0,25000.0,CẦU TRE
10321760,Chả giò Real thịt gói 400g,71300.0,59700.0,CẦU TRE
10605333,Bánh xếp nhân thịt và bắp CJ Foods  350g,55500.0,46500.0,CẦU TRE
10182244,Phô mai que WinMart Good 300g,106000.0,90000.0,WINMART GOOD
10602470,Tôm viên Hoa Doanh gói 200g,31600.0,26900.0,HOA DOANH
10183282,Gà Viên Lá Chanh Hoa Doanh 200g,28900.0,24900.0,HOA DOANH
10404018,Hàu sữa Nhật Minh túi 280g,69000.0,59900.0,NHẬT MINH
10620243,Thịt bò viên khay Hoa Doanh 300g,50900.0,44900.0,HOA DOANH
10618940,Giò lụa CP cây 250g,42100.0,38500.0,CP
10618936,Giò bò CP cây 500g,108100.0,99000.0,CP
10006722,Lẩu hải sản thập cẩm SG Food 500g,86400.0,86400.0,SG FOOD
10006756,Cá viên nhân tôm SG Food gói 500g,93500.0,93500.0,SG FOOD
10006778,Gầu bò Mỹ Icook gói 250g,113000.0,113000.0,ICOOK
10182246,Khoai môn WinMart Good lệ phố nhân thịt bò 260g,50500.0,50500.0,WINMART GOOD
10182247,Khoai môn lệ phố WinMart Good 260g,50900.0,50900.0,WINMART GOOD
10182451,Bắp hoa bò WinMart Good 250g,98000.0,98000.0,WINMART GOOD
10182533,Cá trứng đông lạnh WinMart Good 400g,107000.0,107000.0,WINMART GOOD
10182879,Khoai tây cắt sợi Shoestring Farm Best 1kg,80500.0,80500.0,NOBRAND
10182880,Khoai tây cắt thẳng Straight Cut Farm Best  1kg,80500.0,80500.0,NOBRAND
10183344,Khoai tây Meito 7mm 1kg,87100.0,87100.0,MEITO
10183353,Tôm thẻ hấp WinMart Good  Size 31/40 400g,171000.0,171000.0,WINMART GOOD
10183354,Tôm thẻ hấp WinMart Good  Size 71/90 400g,145000.0,145000.0,WINMART GOOD
10183431,Cá trứng đông lạnh O'lala gói 300g,65000.0,65000.0,O’LALA
10183432,Cá trứng đông lạnh O'lala 500g,96000.0,96000.0,O’LALA
10183490,Khoai tây Meito 10mm 1kg,87100.0,87100.0,MEITO
10183494,Viên thả lẩu Kitkool 500g,89700.0,89700.0,KITKOOL
10183502,Cánh gà giữa đông lạnh 500g,55000.0,55000.0,NAM KHẢI PHÚ
10183504,Cánh gà đông lạnh 500g,57500.0,57500.0,NAM KHẢI PHÚ
10183506,Đùi tỏi gà đông lạnh NKP 500g,48500.0,48500.0,NAM KHẢI PHÚ
10183518,Giò lụa  hảo hạng 300g,61900.0,61900.0,NGỰ BẢO
10241827,Chả hình cá chép Hoa Doanh  gói 400g,93800.0,93800.0,HOA DOANH
10282377,Cá ngừ nướng đông lạnh 500g,46000.0,46000.0,NOBRAND
10283805,Chả tôm gói Long Nhi gói 300g,79500.0,79500.0,LONG NHI
10283875,Cá hồi xông khói gói 100g,107000.0,107000.0,HOÀNG LÊ
10283877,Cá bò nướng hộp 100g,79500.0,79500.0,NATUR FISH
10283878,Cá mắt kiếng nướng hộp 100g,79500.0,79500.0,NATUR FISH
10283879,Cá chai nướng hộp 100g,79500.0,79500.0,NATUR FISH
10283882,Mực khô nướng hộp 100g,157900.0,157900.0,NATUR FISH
10633329,Pizza phô mai Manna 120g,39100.0,39100.0,MANNA
10005921,Nem hải sản  Miền Hạ Long gói 400g,46600.0,46600.0,MIỀN HẠ LONG
10005925,Nem chua Vissan cây 200g,42100.0,42100.0,VISSAN
10005926,Nem chua Ước Lễ Thủy Hùng cây 200g,49100.0,49100.0,THỦY HÙNG
10005927,Nem chua Ước Lễ Thủy Hùng gói 200g,54200.0,54200.0,THỦY HÙNG
10005930,Giò lụa Ước Lễ Thủy Hùng cây 500g,120100.0,120100.0,THỦY HÙNG
10005931,Giò bò Ước Lễ Thủy Hùng cây 500g,134100.0,134100.0,THỦY HÙNG
10005933,Giò lụa Ước Lễ Thủy Hùng cây 200g,49100.0,49100.0,THỦY HÙNG
10005938,Giò lụa Ước Lễ Thủy Hùng gói 200g,54200.0,54200.0,THỦY HÙNG
10005946,Nem giòn CP gói 180g,32100.0,32100.0,CP
10005975,Bò viên Việt Nam Tân Việt Sin gói 200g,54000.0,54000.0,TÂN VIỆT SIN
10005993,TÂN VIỆT SIN Tôm viên gói 500g,93200.0,93200.0,TÂN VIỆT SIN
10006456,Lẩu Thái SGFood Việt Nam 500g,86400.0,86400.0,SG FOOD
10006458,Cá trứng SG Food khay 200g,48400.0,48400.0,SG FOOD
10006459,Cá viên SG Food gói 500g,80900.0,80900.0,SG FOOD
10006482,Que Surimi Kani Supreme hương cua gói 250g,93200.0,93200.0,KANI
10006483,Que surimi Kani Fresh hương cua gói 250g,83300.0,83300.0,KANI
10006499,Mực trứng đông lạnh Thaibifood loại A khay 450g,122900.0,122900.0,THABIFOOD
10006502,Tôm viên Thaibifood gói 500g,75600.0,75600.0,THABIFOOD
10006505,Tôm thịt THABIFOOD size 8/12 khay 450g,233600.0,233600.0,THABIFOOD
10006507,Tôm thịt THABIFOOD size 26/30 khay 450g,172900.0,172900.0,THABIFOOD
10006508,Tôm thịt Thaibifood size 31/40 khay 450g,155700.0,155700.0,THABIFOOD
10006509,Viên hải sản rau củ Thabifood gói 500g,64600.0,64600.0,THABIFOOD
10006519,Tôm thịt Home Food 16/20 450g,226800.0,226800.0,HOME FOOD
10006527,Cá trứng Home Food 100% có trứng đông lạnh 500g,97000.0,97000.0,HOME FOOD
10006531,Cá viên đông lạnh Home Food gói 500g,65800.0,65800.0,HOME FOOD
10006535,Cá trứng Đôi Đũa Vàng khay 400g,116900.0,116900.0,ĐÔI ĐŨA VÀNG
10006542,Nem tôm cua Đôi Đũa Vàng gói 480g,74200.0,74200.0,ĐÔI ĐŨA VÀNG
10006550,Chả mực giã tay Đôi Đũa Vàng gói 480g,234000.0,234000.0,ĐÔI ĐŨA VÀNG
10006557,Há cảo Thực Phẩm Cầu Tre gói 500g,59300.0,59300.0,CẦU TRE
10006558,Há cảo tôm cua Thực Phẩm Cầu Tre gói 500g,82000.0,82000.0,CẦU TRE
10006560,Há cảo mini Thực Phẩm Cầu Tre gói 500g,80200.0,80200.0,CẦU TRE
10006563,Xíu mại Thực Phẩm Cầu Tre Gói 500g,79400.0,79400.0,CẦU TRE
10006564,Xủi cảo Thực Phẩm Cầu Tre gói 200g,35300.0,35300.0,CẦU TRE
10006575,Cá trứng Nauy Thaibifood khay 450g,61500.0,61500.0,THABIFOOD
