itemNo,name,price,salePrice,brand
10013397,Yến mạch Úc nguyên chất Xuân An gói 400g,80300.0,55900.0,XUÂN AN
10181143,Yến Mạch Oatta Trái Cây 300g,90100.0,65100.0,OATTA
10181145,Yến Mạch Hạnh nhân Phô mai Oatta gói  300g,119100.0,86100.0,OATTA
10141772,Gạo Ngọc Nương Lức đỏ túi 1kg,49000.0,37000.0,NGỌC NƯƠNG
10015556,Ngũ cốc ăn sáng Milo Nestlé hộp 330g,94600.0,75900.0,MILO
10141607,NESTLE TRIX Ngũ cốc trái cây 330gr T18,117900.0,95900.0,NESTLE
10086842,Gạo tám Gò Công Vinafood1 túi 3kg,117000.0,96200.0,VINAFOOD1
10141040,Gạo ST25 Giống Cây Trồng TW túi 3kg,119900.0,99900.0,VINASEED
10141993,Gạo Ngọc Nương ST 25 đặc sản 3Kg ,117000.0,99900.0,NGỌC NƯƠNG
10015558,Ngũ cốc mật ong Honey Stars hộp 300g,95000.0,81800.0,HONEY STARS
10013752,Ngũ cốc ăn sáng Koko Krunch vị sô cô la Nestlé hộp 330g,97800.0,84600.0,KRUNCH
10007264,Thịt xay Halong Canfoco hộp 170g,33000.0,28700.0,HALONG CANFOCO
10141362,Rong biển giòn trộn khô gà Miwon gói 30g,33200.0,29000.0,MIWON
10141624,Patê Cột Đèn Hải Phòng 150g,24600.0,21500.0,HALONG CANFOCO
10141754,Rong nho Genkai 100g (20g x 5 gói),83700.0,73200.0,TOHOGENKAI
10007362,Pate gan heo Vissan hộp 170g,26600.0,23400.0,VISSAN
10181045,Rong Biển Giòn Trộn Gia Vị Miwon 30g,31400.0,28000.0,MIWON
10302891,Bột tẩm khô chiên giòn Aji-Quick Ajinomoto gói 210g,27100.0,24600.0,AJI-QUICK
10141764,Gạo thơm Nàng Hương WinMart Good túi 3 Kg,66000.0,60000.0,WINMART GOOD
10223985,Bột bánh rán pha sẵn Ajinomoto gói 200g,21500.0,19700.0,PANCAKE
10007445,Pate vịt Armagnac  Pate Royal lọ 180g,128800.0,128800.0,PATÉ ROYAL
10010327,Đậu đen Thu Dung gói 500g,45000.0,45000.0,THU DUNG
10011075,Ngũ cốc ăn Nestle S Fitnesse&Fruits 450g,123300.0,123300.0,NESTLE
10014401,Bột sương sáo trắng 3K gói 50g,16300.0,16300.0,3K
10141752,"Rong biển Genkai trộn cơm hạnhnhân, quả hạch 50g",48700.0,48700.0,TOHOGENKAI
10141925,Lốc 3 Miwon lá kim tảo biển cao cấp 5g,35200.0,35200.0,MIWON
10141926,Lốc 3 Miwon lá lim trẻ em 5g,35200.0,35200.0,MIWON
10141981,Rong nho tách nước  Trường Thọ 2 gói*20g,38300.0,38300.0,NOBRAND
10141982,Tảo truyền thống Jaban 40g,59800.0,59800.0,NOBRAND
10141983,Tảo cay Jaban 40g,59800.0,59800.0,NOBRAND
10142004,Yến mạch nho & chuối Oatta 300g,92000.0,92000.0,OATTA
10142006,Yến mạch mật ong  Xuân An hộp 384g,86000.0,86000.0,XUÂN AN
10142024,Gạo ST25 Bảo Minh lúa ruộng rươi 3kg,122000.0,122000.0,BẢO MINH
10142025,Rong nho tách nước  Trường Thọ 4 gói x 20g,71300.0,71300.0,NOBRAND
10183438,Mực khô giòn cháy tỏi SDC gói 100g,89900.0,89900.0,NOBRAND
