itemNo,name,price,salePrice,brand
10054981,Dứa/khóm,14900.0,9900.0,
10230585,Táo Gala Ba Lan,69900.0,49900.0,TÁO LIGOL
10054870,Bưởi hồng da xanh túi lưới,68500.0,52900.0,BƯỞI DA XANH
10283064,Dâu tây giống Nhật hộp 330g,139900.0,109900.0,DÂU TÂY NĐ
10314437,Dừa xiêm (Dừa tiện lợi),26500.0,20900.0,DỪA
10242408,Dưa lưới sạch Đế Vương Queen size ruột cam ,69000.0,55200.0,WINECO
10242407,Dưa lưới sạch Đế Vương King size ruột cam ,99000.0,79200.0,WINECO
10054875,Chuối dole,39500.0,31900.0,CHUỐI
10282995,Quýt Ai Cập,79900.0,64900.0,QUÝT NK
10242314,Nho xanh Nam Phi,169900.0,139900.0,NHO XANH
10618898,Cam Sành Hà Giang,29900.0,24900.0,CAM NĐ
10054804,Xoài hạt lép,35900.0,29900.0,XOÀI
10140219,Dâu tây Sơn La hộp 250g,99900.0,84900.0,DÂU TÂY NĐ
10281730,Dâu tây Sơn La 500g,199000.0,169900.0,DÂU TÂY NĐ
10140110,Bưởi Diễn (Quả ),17900.0,15900.0,BƯỞI DIỄN
10055105,Chuối vàng,27900.0,24900.0,CHUỐI
10242466,Bưởi 5 roi túi lưới loại 1,47900.0,43900.0,NOBRAND
10053985,Dưa hấu giống nhật,29900.0,29900.0,DƯA HẤU
10054787,Dưa hấu ruột vàng,29900.0,29900.0,DƯA HẤU
10054809,Xoài cát chu,69900.0,69900.0,
10054819,Bơ sáp,64900.0,64900.0,BƠ NĐ
10054842,Táo Ambrosia Canada,109900.0,109900.0,TÁO AMBROSIA
10054868,Bưởi 5 roi túi lưới,39900.0,39900.0,
10054919,Cam Sành Hàm Yên,19900.0,19900.0,CAM ĐẶC SẢN
10054924,Cherry đỏ Chile,399900.0,399900.0,CHERRY
10054979,Táo Jonagold Nhật 26-40,279900.0,279900.0,TÁO JONAGOLD
10054992,Táo Fuji Nhật 26-40,319900.0,319900.0,TÁO FUJI
10055052,Nho xanh Ninh Thuận,94900.0,94900.0,NHO NĐ
10055101,Táo Sekaiichi Nhật 8-12,529900.0,529900.0,TÁO SEKAIICHI
10055114,Táo Kinsei Nhật 24-40,319900.0,319900.0,TÁO KINSEI
10140160,Táo Joly Red Hà Lan hộp 3 quả,139900.0,139900.0,TÁO JOLY RED
10140161,Táo Joly Red Hà Lan hộp 6 quả,159900.0,159900.0,TÁO JOLY RED
10140162,Táo Koru Mỹ,129900.0,129900.0,TÁO KORU
10225636,Táo Đỏ Mỹ,79900.0,79900.0,TÁO ĐỎ
10241411,Táo Fuji Mỹ,89900.0,89900.0,TÁO FUJI
10241564,Táo Tessa Hà Lan,99900.0,99900.0,TÁO TESSA HÀ LAN
10242310,Xoài Cát Chu Chú Chín,79900.0,79900.0,XOÀI
10265836,Táo Cosmic Mỹ,115900.0,115900.0,COSMIC
10325695,Táo Envy Mỹ 6 trái/hộp,199900.0,199900.0,TÁO ENVY
10405228,Táo Kiku Mỹ,129900.0,129900.0,TÁO KIKU
10618509,Kiwi vàng Pháp 2 trái/hộp,102900.0,102900.0,KIWI
10055012,Lê Hàn Quốc,99900.0,99900.0,LÊ NK
10054782,Mận hậu,142900.0,142900.0,MẬN
10054783,Dưa lê trắng,46900.0,46900.0,DƯA LÊ
10054788,Dưa hấu không hạt,29900.0,29900.0,DƯA HẤU
10054790,Thanh long ruột đỏ,49900.0,49900.0,THANH LONG
10054792,Xoài dài giống Đài Loan,37900.0,37900.0,XOÀI
10054803,Chanh leo (chanh dây),41900.0,41900.0,CHANH DÂY/CHANH LEO
10054807,Xoài giống Úc,59900.0,59900.0,XOÀI
10054817,Táo xanh,45900.0,45900.0,TÁO NĐ
10054825,Hồng Xiêm (Sapo),51900.0,51900.0,HỒNG XIÊM
10054858,Cam Sành loại nhỏ,22900.0,22900.0,CAM SÀNH
10054877,Xoài keo,34900.0,34900.0,XOÀI
10054949,Cóc non giống thái,37500.0,37500.0,CÓC
10054968,Cam vàng Ai Cập,59900.0,59900.0,CAM VÀNG
10055026,Dưa hấu Hắc Mỹ Nhân (Long An),29900.0,29900.0,DƯA HẤU
10055099,Mận sữa,76900.0,76900.0,ROI/MẬN
10055103,Mận An Phước,49900.0,49900.0,ROI/MẬN
10055104,Vú sữa trắng,69900.0,69900.0,VÚ SỮA
10055126,Việt quất New Zealand hộp 125g,149000.0,149000.0,VIỆT QUẤT
10083920,Mận đá đường,49900.0,49900.0,ROI/MẬN
10140236, Cam Ai Cập,59900.0,59900.0,CAM NK
10235283,Táo Envy xuất xứ Mỹ (3Trái/Hộp),229900.0,229900.0,TÁO ENVY
10237453,Nho xanh Hàn Quốc Muscat,699000.0,699000.0,HÀN QUỐC
10242468,Cam sành loại 1,42900.0,42900.0,NOBRAND
10265989,Cơm sầu riêng Huỳnh Lâm tách vỏ,420000.0,420000.0,SẦU RIÊNG
10281214,Xoài Đỏ giống Đài Loan,53900.0,53900.0,XOÀI
10309060,Nho đen ngón tay Úc,359900.0,359900.0,NHO ĐEN NGÓN TAY
10316132,Chuối Fesepia,32900.0,32900.0,CHUỐI
10639713,Xoài keo bao vàng,45900.0,45900.0,XOÀI
