itemNo,name,price,salePrice,brand
10005172,Tàu hũ mềm Ichiban hộp 300g,12000.0,10600.0,ICHIBAN
10005169,Tàu hũ bổ dưỡng Tafu gói 300g,9800.0,8900.0,ICHIBAN
10195014,Trứng gà sạch O'LALA hộp 10 quả,29500.0,29500.0,O’LALA
10005170,Tàu hũ trứng bổ dưỡng Ichiban gói 240g,15400.0,15400.0,ICHIBAN
10005171,Tàu hũ chiên Ichiban hộp 300g,13900.0,13900.0,ICHIBAN
10005173,Tàu hũ trứng Ichiban Fuji San gói 240g,16500.0,16500.0,ICHIBAN
10006024,Trứng gà ta quê 729 Ba Vì giỏ 10 quả,55500.0,55500.0,729 BA VÌ
10006025,Trứng gà so 729 Ba Vì giỏ 10 quả,55500.0,55500.0,729 BA VÌ
10006026,Trứng gà ác 729 ba Vì giỏ 10 quả,60500.0,60500.0,729 BA VÌ
10006027,Trứng gà công nghiệp trang trại 729 Ba Vì hộp 10 quả,39500.0,39500.0,729 BA VÌ
10006028,Trứng vịt Ba Vì 729 thả đồng hộp 10 quả,48500.0,48500.0,729 BA VÌ
10006029,Trứng gà tươi Dabaco hộp 10 quả,34500.0,34500.0,DABACO
10006037,Trứng gà Omega 3 Dabaco hộp 10 quả,57000.0,57000.0,DABACO
10006067,Trứng gà quê Dabaco giỏ 10 quả,56500.0,56500.0,DABACO
10006068,Trứng gà J Dabaco giỏ 10 quả,53500.0,53500.0,DABACO
10006069,Trứng gà DHA Dabaco hộp 10 quả,59400.0,59400.0,DABACO
10006070,Trứng gà vỏ DABACO xanh hộp 12 quả,79000.0,79000.0,DABACO
10006085,Đậu phụ tươi Làng Mơ hộp 400g,12200.0,12200.0,LÀNG MƠ
10139161,Trứng gà ăn liền Dabaco Devi thường 5 quả,32700.0,32700.0,DABACO
10139164,Trứng gà ăn liền Dabaco Devi vị cay 10 quả,65500.0,65500.0,DABACO
10170044,Đậu hũ đậu hũ Làng Mơ Thai corp,14600.0,14600.0,LÀNG MƠ
10170120, Đậu hủ mềm WinMart Good 300g,10400.0,10400.0,WINMART GOOD
10170174,Tàu hũ chiên Ichi Sakura gói 500g,26200.0,26200.0,ICHI-SAKURA
10195050, Trứng gà bói hộp 12 quả Dabaco,43900.0,43900.0,DABACO
10195051, Trứng gà quê Dabaco 10 quả,51900.0,51900.0,DABACO
10195898,Trứng vịt sạch O'lala hộp 6 quả,29500.0,29500.0,O’LALA
10195899,Trứng cút sạch O'LALA hộp 30,34500.0,34500.0,O’LALA
10225936,Trứng chim cút 729 Ba Vì hộp 30 quả,36000.0,36000.0,729 BA VÌ
10225937,Trứng gà ta quê 729 Ba Vì hộp 10 quả,52500.0,52500.0,729 BA VÌ
10302981,Tàu hũ trứng CP 220g,13700.0,13700.0,CP
10606717,Trứng gà ta Ba Vì 729 Omega 3,60500.0,60500.0,729 BA VÌ
10640033,Trứng gà ăn liền Dabaco Devi thường 1 quả,7700.0,7700.0,DABACO
10640034,Trứng gà ăn liền Dabaco vị cay 1 quả,7700.0,7700.0,DABACO
